skill_category_id,skills_lower
100,data analysis
100,coding
100,software development
100,project management
100,cybersecurity
100,cloud computing
100,artificial intelligence
100,ai
100,machine learning
100,database management
100,web development
100,mobile app development
100,ux/ui design
100,graphic design
100,video production
100,seo/sem marketing
100,digital marketing
100,content writing
100,editing and proofreading
100,technical writing
100,blockchain technology
100,devops practices
100,network architecture
100,data visualization
100,crm software
100,erp systems
100,financial modeling
100,accounting software
100,e-commerce management
100,social media management
100,email marketing
100,cloud security
100,quantum computing
100,robotics
100,3d printing
100,augmented reality
100,virtual reality
100,iot
100,bioinformatics
100,computational thinking
100,statistical analysis
100,cad software
100,digital photography
100,podcasting
100,data mining
100,ethical hacking
100,linux system administration
100,cloud infrastructure management
100,quality assurance testing
100,regulatory compliance
200,technical support and troubleshooting
200,time management
200,reliability
200,professionalism
200,responsibility
200,punctuality
200,dedication
200,work-life balance
200,stress management
200,resilience
200,persistence
200,patience
200,proactivity
200,flexibility
200,adaptability
200,self-motivation
200,goal setting
200,self-discipline
200,organization
200,attention to detail
200,critical thinking
200,problem solving
200,decision making
200,creativity
200,innovation
200,entrepreneurship
200,active listening
200,verbal communication
200,written communication
200,public speaking
200,interpersonal skills
200,collaboration
200,teamwork
200,networking
200,persuasion
200,influence
200,critical observation
200,curiosity
200,open-mindedness
200,willingness to learn
200,cultural awareness
200,compassion
200,trustworthiness
200,honesty
200,integrity
200,ethical judgment
200,gratitude
200,positivity
200,confidence
200,humility
200,tolerance
200,diplomacy
200,assertiveness
200,mindfulness
200,dispute mediation
200,customer orientation
200,service mindset
200,personal branding
200,personal finance management
200,environmental awareness
200,health and safety awareness
200,digital literacy
200,information literacy
200,data privacy awareness
200,cybersecurity basics
200,e-literacy
200,online collaboration tools
200,remote work management
200,time zone sensitivity
200,virtual meeting etiquette
200,cloud storage and sharing
200,digital nomadism skills
200,online research
200,e-learning skills
200,self-paced learning
300,strategic planning
300,leadership
300,team building
300,conflict resolution
300,performance management
300,budgeting
300,negotiation
300,delegation
300,communication
300,empathy
300,emotional intelligence
300,feedback giving
300,diversity and inclusion
300,change management
300,risk management
300,project planning
300,resource allocation
300,stakeholder management
300,sales strategy
300,marketing strategy
300,product management
300,operations management
300,customer service management
300,supply chain management
300,business development
