years_experience_recorded,job_id
10,0
5,0
6,0
7,0
8,0
9,0
4,0
4,0
4,0
1,0
4,0
4,0
3,0
3,0
2,0
5,0
3,0
4,0
5,0
3,0
5,0
3,0
0,0
3,0
3,0
1,0
2,0
2,0
5,0
3,0
10,0
2,0
1,0
2,0
3,0
4,0
1,0
5,0
12,0
5,0
5,0
3,0
12,0
4,0
5,0
3,0
4,0
7,0
8,0
9,0
10,0
4,0
4,0
5,0
5,0
3,0
3,0
4,0
5,0
2,0
5,0
5,0
1,0
1,0
5,0
7,0
3,0
5,0
3,0
3,0
1,0
3,0
4,0
4,0
2,0
2,0
1,0
2,0
3,0
5,0
2,0
1,0
5,0
3,0
5,0
1,0
1,0
1,0
2,0
2,0
1,0
1,0
5,0
3,0
5,0
2,0
2,0
2,0
3,0
2,0
2,0
2,0
3,0
3,0
4,0
5,0
4,0
5,0
5,0
2,0
3,0
4,0
5,0
1,0
1,0
5,0
2,0
2,0
3,0
3,0
