programming_languages,frequency,job_id
javascript,1,2
python,13,2
java,3,2
c#,0,2
c++,1,2
typescript,0,2
php,0,2
swift,0,2
ruby,0,2
kotlin,0,2
rust,0,2
sql,36,2
dart,0,2
scala,1,2
shell,0,2
powershell,0,2
perl,1,2
r,7,2
groovy,0,2
matlab,0,2
vba,4,2
lua,0,2
julia,0,2
haskell,0,2
object-pascal,0,2
objective-c,0,2
clojure,0,2
elixir,0,2
elm,0,2
erlang,0,2
apex,0,2
fortran,0,2
cobol,0,2
f#,0,2
common-lisp,0,2
ada,0,2
scheme,0,2
prolog,0,2
assembly-language,0,2
vb.net,0,2
actionscript,0,2
crystal,0,2
coffeescript,0,2
ocaml,0,2
abap,0,2
scratch,1,2
racket,0,2
smalltalk,0,2
labview,0,2
pl/sql,0,2
sas,7,2
tcl,0,2
awk,0,2
nim,0,2
reason,1,2
solidity,0,2
puppet,0,2
purescript,0,2
zig,0,2
chapel,0,2
mercury,0,2
io,0,2
cobolscript,0,2
ring,0,2
bison,0,2
korn-shell,0,2
ceylon,0,2
vala,0,2
livescript,0,2
ballerina,0,2
picolisp,0,2
fantom,0,2
pike,0,2
haxe,0,2
idris,0,2
icon,0,2
q#,0,2
j#,0,2
applescript,0,2
squirrel,0,2
postscript,0,2
maple,0,2
mql4/5,0,2
ren'py,0,2
oberon,0,2
wolfram-language,0,2
xbase,0,2
sparql,1,2
angelscript,0,2
xojo,0,2
yacc,0,2
janus,0,2
raku,0,2
f*,0,2
systemverilog,0,2
json,1,2
yaml,0,2
excel-vba,0,2
shell-scripting,0,2
apl,0,2
spss,2,2
stata,0,2
