pay_low_end,pay_high_end,job_id
58400,133000,0
70720,83200,0
73100,166000,0
52000,58240,0
78000,118000,0
73100,166000,0
95000,100000,0
65300,149000,0
112000,179000,0
70000,90000,0
120000,150000,0
68900,124550,0
59469,101098,0
120000,150000,0
111119,155880,0
103281,145138,0
111561,156502,0
71500,150200,0
72000,155000,0
72000,155000,0
112000,179000,0
57000,85000,0
68900,124550,0
49800,102000,0
65300,149000,0
89150,133734,0
60000,90000,0
49800,102000,0
55500,111100,0
103800,181700,0
125500,219600,0
151700,265500,0
166800,291900,0
