skillset,frequency,job_id
complex-data,8,2
ad-hoc,6,2
data-analysis,41,2
coding,5,2
software-development,10,2
project-management,16,2
cybersecurity,0,2
cloud-computing,0,2
artificial-intelligence,0,2
ai,0,2
machine-learning,4,2
database-management,3,2
web-development,0,2
mobile-app-development,0,2
ux/ui-design,0,2
graphic-design,0,2
video-production,0,2
seo/sem-marketing,0,2
digital-marketing,0,2
content-writing,0,2
editing-and-proofreading,0,2
technical-writing,3,2
blockchain-technology,0,2
devops-practices,0,2
network-architecture,0,2
data-visualization,15,2
crm-software,0,2
erp-systems,1,2
financial-modeling,0,2
accounting-software,0,2
e-commerce-management,0,2
social-media-management,0,2
email-marketing,0,2
cloud-security,0,2
quantum-computing,0,2
robotics,0,2
3d-printing,0,2
augmented-reality,0,2
virtual-reality,0,2
iot,0,2
bioinformatics,0,2
computational-thinking,0,2
statistical-analysis,2,2
cad-software,0,2
digital-photography,0,2
podcasting,0,2
data-mining,1,2
ethical-hacking,0,2
linux-system-administration,0,2
cloud-infrastructure-management,0,2
quality-assurance-testing,0,2
regulatory-compliance,0,2
technical-support,0,2
troubleshooting,7,2
time-management,9,2
reliability,0,2
professionalism,0,2
responsibility,4,2
punctuality,0,2
dedication,3,2
work-life-balance,1,2
stress-management,0,2
resilience,2,2
persistence,0,2
patience,0,2
proactivity,0,2
flexibility,10,2
adaptability,0,2
self-motivation,0,2
goal-setting,0,2
self-discipline,0,2
organization,28,2
attention-to-detail,15,2
critical-thinking,3,2
problem-solving,15,2
decision-making,16,2
creativity,0,2
innovation,11,2
strategic-planning,2,2
leadership,27,2
team-building,0,2
conflict-resolution,0,2
performance-management,4,2
budgeting,1,2
negotiation,0,2
delegation,0,2
communication,37,2
empathy,0,2
emotional-intelligence,0,2
feedback-giving,0,2
diversity-and-inclusion,1,2
change-management,4,2
risk-management,3,2
project-planning,0,2
resource-allocation,0,2
stakeholder-management,2,2
sales-strategy,0,2
marketing-strategy,0,2
product-management,0,2
operations-management,0,2
customer-service,7,2
supply-chain,0,2
business-development,1,2
entrepreneurship,0,2
active-listening,0,2
verbal-communication,1,2
written-communication,8,2
public-speaking,0,2
interpersonal-skills,4,2
collaboration,12,2
teamwork,2,2
networking,3,2
persuasion,0,2
influence,4,2
critical-observation,0,2
curiosity,1,2
open-mindedness,0,2
willingness-to-learn,0,2
cultural-awareness,0,2
compassion,0,2
trustworthiness,0,2
honesty,0,2
integrity,7,2
ethical-judgment,0,2
gratitude,0,2
positivity,0,2
confidence,1,2
humility,0,2
tolerance,0,2
diplomacy,0,2
assertiveness,1,2
mindfulness,0,2
dispute-mediation,0,2
customer-orientation,0,2
service-mindset,0,2
personal-branding,0,2
personal-finance-management,0,2
environmental-awareness,0,2
health-and-safety-awareness,0,2
digital-literacy,0,2
information-literacy,0,2
data-privacy-awareness,0,2
cybersecurity-basics,0,2
e-literacy,0,2
online-collaboration-tools,0,2
remote-work,4,2
time-zone-sensitivity,0,2
virtual-meeting-etiquette,0,2
cloud-storage-and-sharing,0,2
digital-nomadism-skills,0,2
online-research,0,2
e-learning-skills,0,2
self-paced-learning,0,2
