software_category,software_name
cloud platforms,aws
cloud platforms,azure
cloud platforms,google-cloud
cloud platforms,terraform
cloud platforms,ibm-cloud
cloud platforms,oracle
cloud platforms,salesforce
cloud platforms,vmware-cloud
cloud platforms,alibaba-cloud
cloud platforms,digitalocean
cloud platforms,heroku
cloud platforms,openstack
cloud platforms,terraform
cloud platforms,google-compute-engine
cloud platforms,azure-virtual-machines
cloud platforms,google-cloud-functions
cloud platforms,google-cloud-storage
cloud platforms,salesforce
cloud platforms,sap-erp
cloud platforms,red-hat-openshift
cloud platforms,cloud-foundry
development tools & ides,ansible
development tools & ides,apache-hadoop
development tools & ides,spark
development tools & ides,pyspark
development tools & ides,ec2
development tools & ides,aws-lambda
development tools & ides,azure-functions
development tools & ides,s3
development tools & ides,visual-studio
development tools & ides,intellij-idea
development tools & ides,eclipse
development tools & ides,pycharm
development tools & ides,visual-studio
development tools & ides,atom
development tools & ides,sublime-text
development tools & ides,netbeans
development tools & ides,android-studio
development tools & ides,xcode
development tools & ides,webstorm
development tools & ides,phpstorm
development tools & ides,rubymine
development tools & ides,clion
development tools & ides,appcode
development tools & ides,rider
development tools & ides,goland
development tools & ides,komodo-ide
development tools & ides,aptana-studio
development tools & ides,code::blocks
development tools & ides,qt-creator
development tools & ides,jupyter-lab
development tools & ides,jupyter-notebook
development tools & ides,spyder
development tools & ides,rstudio
development tools & ides,anaconda
development tools & ides,light-table
development tools & ides,brackets
development tools & ides,bluej
development tools & ides,thonny
development tools & ides,wing-ide
development tools & ides,emacs
development tools & ides,vim
development tools & ides,coda
development tools & ides,komodo-edit
development tools & ides,monodevelop
development tools & ides,sharpdevelop
development tools & ides,codelite
development tools & ides,geany
development tools & ides,kdevelop
development tools & ides,labview
development tools & ides,greenfoot
development tools & ides,oracle-jdeveloper
development tools & ides,aws-cloud9
development tools & ides,zend-studio
development tools & ides,slickedit
development tools & ides,eclipse-che
development tools & ides,codewarrior
development tools & ides,delphi
development tools & ides,scratch
development tools & ides,power-bi
development tools & ides,google-analytics
development tools & ides,matlab
development tools & ides,tableau
development tools & ides,github-actions
development tools & ides,gitlab-ci/cd
development tools & ides,amazon-rds
development tools & ides,google-cloud-sql
development tools & ides,azure-sql-database
development tools & ides,mongodb-atlas
development tools & ides,cassandra
development tools & ides,redis
development tools & ides,elasticsearch
development tools & ides,rabbitmq
development tools & ides,apache-kafka
development tools & ides,docker
development tools & ides,jenkins
development tools & ides,kubernetes
development tools & ides,vmware
development tools & ides,oracle-database
development tools & ides,mysql
development tools & ides,microsoft-sql-server
development tools & ides,postgresql
development tools & ides,redis
development tools & ides,mongodb
development tools & ides,adobe
development tools & ides,excel
collaboration tools,microsoft-office-suite
collaboration tools,google-workspace
collaboration tools,slack
collaboration tools,zoom
collaboration tools,microsoft-teams
collaboration tools,trello
collaboration tools,asana
collaboration tools,monday.com
collaboration tools,notion
collaboration tools,evernote
collaboration tools,adobe-creative-cloud
collaboration tools,autocad
collaboration tools,sketch
collaboration tools,figma
collaboration tools,invision
collaboration tools,jira
collaboration tools,confluence
collaboration tools,wrike
collaboration tools,basecamp
collaboration tools,github
collaboration tools,gitlab
collaboration tools,bitbucket
collaboration tools,cisco-webex
collaboration tools,gotomeeting
collaboration tools,teamviewer
collaboration tools,ms-office
collaboration tools,microsoft-word
support software,zendesk
support software,freshdesk
storage management,canva
storage management,dropbox
storage management,google-drive
storage management,microsoft-onedrive
security,norton-antivirus
security,mcafee-security
3d design,sketchup
3d design,autodesk-revit
marketing software,hubspot
marketing software,mailchimp
marketing software,zoho-crm
marketing software,quickbooks
marketing software,hootsuite
marketing software,sprout-social
marketing software,buffer
