education,frequency,job_id,state,report_year
highschool-diploma,0,0,dmv,2024
high-school-diploma,4,0,dmv,2024
associates,5,0,dmv,2024
associates-degree,0,0,dmv,2024
associate-s-degree,0,0,dmv,2024
bachelors,6,0,dmv,2024
bachelor-s-degree,44,0,dmv,2024
bachelor's,0,0,dmv,2024
bachelors',0,0,dmv,2024
b.s,3,0,dmv,2024
b.s.,3,0,dmv,2024
masters,3,0,dmv,2024
master-s-degree,0,0,dmv,2024
masters-degree,1,0,dmv,2024
master's,0,0,dmv,2024
masters',0,0,dmv,2024
phd,5,0,dmv,2024
ph.d,2,0,dmv,2024
doctoral,0,0,dmv,2024
