years_experience_recorded,job_id
5,0
2,0
2,0
6,0
6,0
5,0
1,0
2,0
2,0
3,0
2,0
10,0
5,0
8,0
1,0
3,0
4,0
4,0
3,0
4,0
10,0
5,0
5,0
6,0
5,0
5,0
4,0
10,0
8,0
5,0
2,0
2,0
2,0
6,0
3,0
4,0
5,0
10,0
0,0
2,0
2,0
2,0
6,0
5,0
6,0
4,0
4,0
2,0
2,0
3,0
2,0
2,0
2,0
3,0
0,0
6,0
12,0
5,0
12,0
8,0
4,0
4,0
2,0
5,0
5,0
5,0
4,0
1,0
2,0
4,0
5,0
11,0
12,0
13,0
14,0
3,0
2,0
3,0
8,0
4,0
8,0
2,0
5,0
3,0
4,0
5,0
0,0
9,0
10,0
11,0
12,0
13,0
14,0
11,0
12,0
13,0
14,0
15,0
16,0
5,0
11,0
3,0
10,0
4,0
1,0
2,0
3,0
5,0
3,0
5,0
6,0
7,0
3,0
4,0
5,0
0,0
1,0
2,0
1,0
3,0
5,0
0,0
1,0
2,0
3,0
4,0
5,0
5,0
15,0
3,0
