years_experience_recorded,job_id
5,1
3,1
3,1
1,1
1,1
2,1
2,1
7,1
7,1
5,1
3,1
5,1
10,1
12,1
3,1
3,1
5,1
3,1
3,1
2,1
5,1
5,1
6,1
3,1
1,1
1,1
7,1
7,1
5,1
4,1
4,1
4,1
2,1
2,1
1,1
2,1
3,1
4,1
5,1
5,1
6,1
7,1
5,1
6,1
7,1
12,1
8,1
8,1
8,1
8,1
11,1
6,1
5,1
6,1
12,1
8,1
8,1
8,1
8,1
6,1
7,1
8,1
9,1
10,1
6,1
7,1
8,1
9,1
10,1
6,1
7,1
8,1
9,1
10,1
6,1
7,1
8,1
9,1
10,1
5,1
3,1
3,1
2,1
3,1
2,1
2,1
6,1
4,1
10,1
5,1
6,1
7,1
8,1
9,1
10,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
8,1
9,1
10,1
5,1
6,1
7,1
5,1
6,1
7,1
6,1
4,1
10,1
1,1
3,1
5,1
3,1
3,1
4,1
5,1
8,1
9,1
10,1
5,1
5,1
1,1
2,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
2,1
2,1
3,1
4,1
3,1
5,1
5,1
10,1
11,1
11,1
5,1
3,1
2,1
5,1
3,1
3,1
3,1
8,1
5,1
8,1
