years_experience_recorded,job_id
2,1
3,1
1,1
5,1
6,1
4,1
2,1
8,1
9,1
7,1
5,1
11,1
8,1
6,1
10,1
12,1
5,1
11,1
4,1
5,1
3,1
7,1
9,1
10,1
3,1
3,1
15,1
10,1
10,1
3,1
3,1
3,1
5,1
3,1
4,1
5,1
10,1
5,1
3,1
4,1
5,1
3,1
4,1
2,1
2,1
3,1
4,1
5,1
10,1
5,1
2,1
4,1
2,1
2,1
6,1
2,1
8,1
11,1
4,1
0,1
1,1
2,1
4,1
3,1
4,1
4,1
10,1
8,1
6,1
4,1
5,1
7,1
2,1
0,1
1,1
2,1
15,1
4,1
11,1
12,1
13,1
14,1
15,1
4,1
3,1
4,1
4,1
10,1
8,1
6,1
4,1
5,1
7,1
2,1
0,1
1,1
2,1
15,1
4,1
11,1
12,1
13,1
14,1
15,1
11,1
12,1
13,1
14,1
15,1
4,1
3,1
4,1
4,1
10,1
8,1
6,1
4,1
5,1
7,1
2,1
0,1
1,1
2,1
15,1
4,1
11,1
12,1
13,1
14,1
15,1
