personality_traits,frequency,job_id
abrasive,0,0
abrupt,0,0
agonizing,0,0
aimless,0,0
airy,0,0
aloof,0,0
amoral,0,0
angry,0,0
anxious,0,0
apathetic,0,0
arbitrary,0,0
argumentative,0,0
arrogant,0,0
asocial,0,0
assertive,1,0
astigmatic,0,0
barbaric,0,0
bewildered,0,0
bizarre,0,0
bland,0,0
blunt,0,0
biosterous,0,0
brittle,0,0
brutal,0,0
calculating,0,0
callous,0,0
cantakerous,0,0
careless,0,0
cautious,0,0
charmless,0,0
childish,0,0
clumsy,0,0
coarse,0,0
cold,0,0
colorless,0,0
complacent,0,0
complaintive,0,0
compulsive,0,0
conceited,0,0
condemnatory,0,0
conformist,0,0
confused,0,0
contemptible,0,0
conventional,0,0
cowardly,0,0
crafty,0,0
crass,0,0
crazy,0,0
criminal,3,0
critical,16,0
crude,0,0
cruel,0,0
cynical,0,0
decadent,0,0
deceitful,0,0
delicate,0,0
demanding,2,0
dependent,8,0
desperate,0,0
destructive,0,0
devious,0,0
difficult,2,0
dirty,0,0
disconcerting,0,0
discontented,0,0
discouraging,0,0
discourteous,0,0
dishonest,0,0
disloyal,0,0
disobedient,0,0
disorderly,0,0
disorganized,0,0
disputatious,0,0
disrespectful,0,0
disruptive,0,0
dissolute,0,0
dissonant,0,0
distractible,0,0
disturbing,0,0
dogmatic,0,0
domineering,0,0
dull,0,0
easily-discouraged,0,0
egocentric,0,0
enervated,0,0
envious,0,0
erratic,0,0
escapist,0,0
excitable,0,0
expedient,0,0
extravagant,0,0
extreme,1,0
faithless,0,0
fanatical,0,0
fanciful,0,0
fatalistic,0,0
fawning,0,0
fearful,0,0
fickle,0,0
fiery,0,0
fixed,0,0
flamboyant,0,0
foolish,0,0
forgetful,0,0
fraudulent,1,0
frightening,0,0
frivolous,0,0
gloomy,0,0
graceless,0,0
grand,0,0
greedy,0,0
grim,0,0
gullible,0,0
hateful,0,0
haughty,0,0
hedonistic,0,0
hesitant,0,0
hidebound,0,0
high-handed,0,0
hostile,0,0
ignorant,0,0
imitative,0,0
impatient,0,0
impractical,0,0
imprudent,0,0
impulsive,0,0
inconsiderate,0,0
incurious,0,0
indecisive,0,0
indulgent,0,0
inert,0,0
inhibited,0,0
insecure,0,0
insensitive,0,0
insincere,0,0
insulting,0,0
intolerant,0,0
irascible,0,0
irrational,0,0
irresponsible,0,0
irritable,0,0
lazy,0,0
libidinous,0,0
loquacious,0,0
malicious,0,0
mannered,0,0
mannerless,0,0
mawkish,0,0
mealymouthed,0,0
mechanical,0,0
meddlesome,0,0
melancholic,0,0
meretricious,0,0
messy,0,0
miserable,0,0
miserly,0,0
misguided,0,0
mistaken,0,0
money-minded,0,0
monstrous,0,0
moody,0,0
morbid,0,0
muddle-headed,0,0
naive,0,0
narcissistic,0,0
narrow,0,0
narrow-minded,0,0
natty,0,0
negativistic,0,0
neglectful,0,0
neurotic,0,0
nihilistic,0,0
obnoxious,0,0
obsessive,0,0
obvious,0,0
odd,0,0
offhand,0,0
one-dimensional,0,0
one-sided,0,0
opinionated,0,0
opportunistic,0,0
oppressed,0,0
outrageous,0,0
overimaginative,0,0
paranoid,0,0
passive,0,0
pedantic,0,0
perverse,0,0
petty,0,0
pharissical,0,0
phlegmatic,0,0
plodding,0,0
pompous,0,0
possessive,0,0
power-hungry,0,0
predatory,0,0
prejudiced,0,0
presumptuous,0,0
pretentious,0,0
prim,0,0
procrastinating,0,0
profligate,0,0
provocative,0,0
pugnacious,0,0
puritanical,0,0
quirky,0,0
reactionary,0,0
reactive,1,0
regimental,0,0
regretful,0,0
repentant,0,0
repressed,0,0
resentful,0,0
ridiculous,0,0
rigid,0,0
ritualistic,0,0
rowdy,0,0
ruined,0,0
sadistic,0,0
sanctimonious,0,0
scheming,0,0
scornful,0,0
secretive,0,0
sedentary,0,0
selfish,0,0
self-indulgent,0,0
shallow,0,0
shortsighted,0,0
shy,0,0
silly,0,0
single-minded,0,0
sloppy,0,0
slow,0,0
sly,0,0
small-thinking,0,0
softheaded,0,0
sordid,0,0
steely,0,0
stiff,0,0
strong-willed,0,0
stupid,0,0
submissive,0,0
superficial,0,0
superstitious,0,0
suspicious,4,0
tactless,0,0
tasteless,0,0
tense,0,0
thievish,0,0
thoughtless,0,0
timid,0,0
transparent,0,0
treacherous,0,0
trendy,0,0
troublesome,0,0
unappreciative,0,0
uncaring,0,0
uncharitable,0,0
unconvincing,0,0
uncooperative,0,0
uncreative,0,0
uncritical,0,0
unctuous,0,0
undisciplined,0,0
unfriendly,0,0
ungrateful,0,0
unhealthy,0,0
unimaginative,0,0
unimpressive,0,0
unlovable,0,0
unpolished,0,0
unprincipled,0,0
unrealistic,0,0
unreflective,0,0
unreliable,0,0
unrestrained,0,0
unself-critical,0,0
unstable,0,0
vacuous,0,0
vague,0,0
venal,0,0
venomous,0,0
vindictive,0,0
vulnerable,1,0
weak,0,0
weak-willed,0,0
well-meaning,0,0
willful,0,0
wishful,0,0
zany,0,0
absentminded,0,0
aggressive,0,0
ambitious,2,0
amusing,0,0
artful,0,0
ascetic,0,0
authoritarian,0,0
big-thinking,0,0
boyish,0,0
breezy,0,0
businesslike,0,0
busy,0,0
casual,1,0
crebral,0,0
chummy,0,0
circumspect,0,0
competitive,24,0
complex,51,0
confidential,2,0
conservative,0,0
contradictory,0,0
crisp,0,0
cute,0,0
deceptive,0,0
determined,12,0
dominating,0,0
dreamy,0,0
driving,11,0
droll,0,0
dry,0,0
earthy,0,0
effeminate,0,0
emotional,0,0
enigmatic,0,0
experimental,0,0
familial,1,0
folksy,0,0
formal,2,0
freewheeling,0,0
frugal,0,0
glamorous,0,0
guileless,0,0
high-spirited,0,0
huried,0,0
hypnotic,0,0
iconoclastic,0,0
idiosyncratic,0,0
impassive,0,0
impersonal,0,0
impressionable,0,0
intense,0,0
invisible,0,0
irreligious,0,0
irreverent,0,0
maternal,0,0
mellow,0,0
modern,4,0
moralistic,0,0
mystical,0,0
neutral,0,0
noncommittal,0,0
noncompetitive,0,0
obedient,0,0
old-fashined,0,0
ordinary,0,0
outspoken,0,0
paternalistic,0,0
physical,24,0
placid,0,0
political,6,0
predictable,0,0
preoccupied,0,0
private,11,0
progressive,0,0
proud,6,0
pure,0,0
questioning,0,0
quiet,0,0
religious,2,0
reserved,0,0
restrained,0,0
retiring,0,0
sarcastic,0,0
self-conscious,0,0
sensual,0,0
skeptical,0,0
smooth,1,0
soft,0,0
solemn,0,0
solitary,0,0
stern,0,0
stoiid,0,0
strict,1,0
stubborn,0,0
stylish,0,0
subjective,0,0
surprising,0,0
tough,1,0
unaggressive,0,0
unambitious,0,0
unceremonious,0,0
unchanging,0,0
undemanding,0,0
unfathomable,0,0
unhurried,0,0
uninhibited,0,0
unpatriotic,0,0
unpredicatable,0,0
unreligious,0,0
unsentimental,0,0
whimsical,0,0
accessible,2,0
active,22,0
adaptable,1,0
admirable,0,0
adventurous,0,0
agreeable,0,0
alert,0,0
allocentric,0,0
amiable,0,0
anticipative,0,0
appreciative,0,0
articulate,2,0
aspiring,0,0
athletic,0,0
attractive,0,0
balanced,5,0
benevolent,0,0
brilliant,0,0
calm,0,0
capable,1,0
captivating,0,0
caring,1,0
challenging,4,0
charismatic,0,0
charming,0,0
cheerful,0,0
clean,0,0
clear-headed,0,0
clever,0,0
colorful,0,0
companionly,0,0
compassionate,0,0
conciliatory,0,0
confident,0,0
conscientious,0,0
considerate,0,0
constant,0,0
contemplative,0,0
cooperative,1,0
courageous,0,0
courteous,0,0
creative,13,0
cultured,0,0
curious,0,0
daring,0,0
debonair,0,0
decent,0,0
decisive,0,0
dedicated,11,0
deep,5,0
dignified,0,0
directed,1,0
disciplined,0,0
discreet,0,0
dramatic,0,0
dutiful,0,0
dynamic,8,0
earnest,0,0
ebullient,0,0
educated,1,0
efficient,6,0
elegant,0,0
eloquent,0,0
empathetic,0,0
energetic,0,0
enthusiastic,2,0
esthetic,0,0
exciting,5,0
extraordinary,0,0
fair,5,0
faithful,0,0
farsighted,0,0
felicific,0,0
firm,18,0
flexible,22,0
focused,13,0
forecful,0,0
forgiving,0,0
forthright,0,0
freethinking,0,0
friendly,3,0
fun-loving,0,0
gallant,0,0
generous,9,0
gentle,0,0
genuine,0,0
good-natured,0,0
gracious,0,0
