personality_traits,frequency,job_id
abrasive,0,1
abrupt,0,1
agonizing,0,1
aimless,0,1
airy,0,1
aloof,0,1
amoral,0,1
angry,0,1
anxious,0,1
apathetic,0,1
arbitrary,0,1
argumentative,0,1
arrogant,0,1
asocial,0,1
assertive,0,1
astigmatic,0,1
barbaric,0,1
bewildered,0,1
bizarre,0,1
bland,0,1
blunt,0,1
biosterous,0,1
brittle,0,1
brutal,0,1
calculating,0,1
callous,0,1
cantakerous,0,1
careless,0,1
cautious,0,1
charmless,0,1
childish,0,1
clumsy,0,1
coarse,0,1
cold,0,1
colorless,0,1
complacent,0,1
complaintive,0,1
compulsive,0,1
conceited,0,1
condemnatory,0,1
conformist,0,1
confused,0,1
contemptible,0,1
conventional,0,1
cowardly,0,1
crafty,0,1
crass,0,1
crazy,0,1
criminal,19,1
critical,8,1
crude,0,1
cruel,0,1
cynical,0,1
decadent,0,1
deceitful,0,1
delicate,0,1
demanding,1,1
dependent,2,1
desperate,0,1
destructive,0,1
devious,0,1
difficult,3,1
dirty,0,1
disconcerting,0,1
discontented,0,1
discouraging,0,1
discourteous,0,1
dishonest,0,1
disloyal,0,1
disobedient,0,1
disorderly,0,1
disorganized,0,1
disputatious,0,1
disrespectful,0,1
disruptive,0,1
dissolute,0,1
dissonant,0,1
distractible,0,1
disturbing,0,1
dogmatic,0,1
domineering,0,1
dull,0,1
easily-discouraged,0,1
egocentric,0,1
enervated,0,1
envious,0,1
erratic,0,1
escapist,0,1
excitable,0,1
expedient,0,1
extravagant,0,1
extreme,0,1
faithless,0,1
fanatical,0,1
fanciful,0,1
fatalistic,0,1
fawning,0,1
fearful,0,1
fickle,0,1
fiery,0,1
fixed,0,1
flamboyant,0,1
foolish,0,1
forgetful,0,1
fraudulent,1,1
frightening,0,1
frivolous,0,1
gloomy,0,1
graceless,0,1
grand,0,1
greedy,0,1
grim,0,1
gullible,0,1
hateful,0,1
haughty,0,1
hedonistic,0,1
hesitant,0,1
hidebound,0,1
