personality_traits,frequency,job_id
abrasive,0,2
abrupt,0,2
agonizing,0,2
aimless,0,2
airy,0,2
aloof,0,2
amoral,0,2
angry,0,2
anxious,0,2
apathetic,0,2
arbitrary,0,2
argumentative,0,2
arrogant,0,2
asocial,0,2
assertive,0,2
astigmatic,0,2
barbaric,0,2
bewildered,0,2
bizarre,0,2
bland,0,2
blunt,0,2
biosterous,0,2
brittle,0,2
brutal,0,2
calculating,0,2
callous,0,2
cantakerous,0,2
careless,0,2
cautious,0,2
charmless,0,2
childish,0,2
clumsy,0,2
coarse,0,2
cold,0,2
colorless,0,2
complacent,0,2
complaintive,0,2
compulsive,0,2
conceited,0,2
condemnatory,0,2
conformist,0,2
confused,0,2
contemptible,0,2
conventional,0,2
cowardly,0,2
crafty,0,2
crass,0,2
crazy,0,2
criminal,6,2
critical,9,2
crude,0,2
cruel,0,2
cynical,0,2
decadent,0,2
deceitful,0,2
delicate,0,2
demanding,0,2
dependent,4,2
desperate,0,2
destructive,0,2
devious,0,2
difficult,0,2
dirty,0,2
disconcerting,0,2
discontented,0,2
discouraging,0,2
discourteous,0,2
dishonest,0,2
disloyal,0,2
disobedient,0,2
disorderly,0,2
disorganized,0,2
disputatious,0,2
disrespectful,0,2
disruptive,0,2
dissolute,0,2
dissonant,0,2
distractible,0,2
disturbing,0,2
dogmatic,0,2
domineering,0,2
dull,0,2
easily-discouraged,0,2
egocentric,0,2
enervated,0,2
envious,0,2
erratic,0,2
escapist,0,2
excitable,0,2
expedient,0,2
extravagant,0,2
extreme,2,2
faithless,0,2
fanatical,0,2
fanciful,0,2
fatalistic,0,2
fawning,0,2
fearful,0,2
fickle,0,2
fiery,0,2
fixed,0,2
flamboyant,0,2
foolish,0,2
forgetful,0,2
fraudulent,0,2
frightening,0,2
frivolous,0,2
gloomy,0,2
graceless,0,2
grand,0,2
greedy,0,2
grim,0,2
gullible,0,2
hateful,0,2
haughty,0,2
hedonistic,0,2
hesitant,0,2
hidebound,0,2
high-handed,0,2
hostile,0,2
ignorant,0,2
imitative,0,2
impatient,0,2
impractical,0,2
imprudent,0,2
impulsive,0,2
inconsiderate,0,2
incurious,0,2
indecisive,0,2
indulgent,0,2
inert,0,2
inhibited,0,2
insecure,0,2
insensitive,0,2
insincere,0,2
insulting,0,2
intolerant,0,2
irascible,0,2
irrational,0,2
irresponsible,0,2
irritable,0,2
lazy,0,2
libidinous,0,2
loquacious,0,2
malicious,0,2
mannered,0,2
mannerless,0,2
mawkish,0,2
mealymouthed,0,2
mechanical,1,2
meddlesome,0,2
melancholic,0,2
meretricious,0,2
messy,0,2
miserable,0,2
miserly,0,2
misguided,0,2
mistaken,0,2
money-minded,0,2
monstrous,0,2
moody,0,2
morbid,0,2
muddle-headed,0,2
naive,0,2
narcissistic,0,2
narrow,0,2
narrow-minded,0,2
natty,0,2
negativistic,0,2
neglectful,0,2
neurotic,0,2
nihilistic,0,2
obnoxious,0,2
obsessive,0,2
obvious,0,2
odd,0,2
offhand,0,2
one-dimensional,0,2
one-sided,0,2
opinionated,0,2
opportunistic,0,2
oppressed,0,2
outrageous,0,2
overimaginative,0,2
paranoid,0,2
passive,0,2
pedantic,0,2
perverse,0,2
petty,0,2
pharissical,0,2
phlegmatic,0,2
plodding,0,2
pompous,0,2
possessive,0,2
power-hungry,0,2
predatory,0,2
prejudiced,0,2
presumptuous,0,2
pretentious,0,2
prim,0,2
procrastinating,0,2
profligate,0,2
provocative,0,2
pugnacious,0,2
puritanical,0,2
quirky,0,2
reactionary,0,2
reactive,0,2
regimental,0,2
regretful,0,2
repentant,0,2
repressed,0,2
resentful,0,2
ridiculous,0,2
rigid,0,2
ritualistic,0,2
rowdy,0,2
ruined,0,2
sadistic,0,2
sanctimonious,0,2
scheming,0,2
scornful,0,2
secretive,0,2
sedentary,1,2
selfish,0,2
self-indulgent,0,2
shallow,0,2
shortsighted,0,2
shy,0,2
silly,0,2
single-minded,0,2
sloppy,0,2
slow,0,2
sly,0,2
small-thinking,0,2
softheaded,0,2
sordid,0,2
steely,0,2
