programming_languages,frequency,job_id
javascript,1,0
python,13,0
java,3,0
c#,0,0
c++,1,0
typescript,0,0
php,0,0
swift,0,0
ruby,0,0
kotlin,0,0
rust,0,0
sql,36,0
dart,0,0
scala,1,0
shell,0,0
powershell,0,0
perl,1,0
r,7,0
groovy,0,0
matlab,0,0
vba,4,0
lua,0,0
julia,0,0
haskell,0,0
object-pascal,0,0
objective-c,0,0
clojure,0,0
elixir,0,0
elm,0,0
erlang,0,0
apex,0,0
fortran,0,0
cobol,0,0
f#,0,0
common-lisp,0,0
ada,0,0
scheme,0,0
prolog,0,0
assembly-language,0,0
vb.net,0,0
actionscript,0,0
crystal,0,0
coffeescript,0,0
ocaml,0,0
abap,0,0
scratch,1,0
racket,0,0
smalltalk,0,0
labview,0,0
pl/sql,0,0
sas,7,0
tcl,0,0
awk,0,0
nim,0,0
reason,1,0
solidity,0,0
puppet,0,0
purescript,0,0
zig,0,0
chapel,0,0
mercury,0,0
io,0,0
cobolscript,0,0
ring,0,0
bison,0,0
korn-shell,0,0
ceylon,0,0
vala,0,0
livescript,0,0
ballerina,0,0
picolisp,0,0
fantom,0,0
pike,0,0
haxe,0,0
idris,0,0
icon,0,0
q#,0,0
j#,0,0
applescript,0,0
squirrel,0,0
postscript,0,0
maple,0,0
mql4/5,0,0
ren'py,0,0
oberon,0,0
wolfram-language,0,0
xbase,0,0
sparql,1,0
angelscript,0,0
xojo,0,0
yacc,0,0
janus,0,0
raku,0,0
f*,0,0
systemverilog,0,0
json,1,0
yaml,0,0
excel-vba,0,0
shell-scripting,0,0
apl,0,0
spss,2,0
stata,0,0
