programming_languages,frequency,job_id
javascript,4,1
python,15,1
java,6,1
c#,1,1
c++,0,1
typescript,0,1
php,0,1
swift,0,1
ruby,0,1
kotlin,0,1
rust,0,1
sql,25,1
dart,0,1
scala,1,1
shell,0,1
powershell,0,1
perl,0,1
r,8,1
groovy,0,1
matlab,3,1
vba,0,1
lua,0,1
julia,0,1
haskell,0,1
object-pascal,0,1
objective-c,0,1
clojure,0,1
elixir,0,1
elm,0,1
erlang,0,1
apex,0,1
fortran,0,1
cobol,0,1
f#,0,1
common-lisp,0,1
ada,0,1
scheme,0,1
prolog,0,1
assembly-language,0,1
vb.net,0,1
actionscript,0,1
crystal,0,1
coffeescript,0,1
ocaml,0,1
abap,0,1
scratch,0,1
racket,0,1
smalltalk,0,1
labview,0,1
pl/sql,0,1
sas,24,1
tcl,0,1
awk,0,1
nim,0,1
reason,1,1
solidity,0,1
puppet,0,1
purescript,0,1
zig,0,1
chapel,0,1
mercury,0,1
io,0,1
cobolscript,0,1
ring,0,1
bison,0,1
korn-shell,0,1
ceylon,0,1
vala,0,1
livescript,0,1
ballerina,0,1
picolisp,0,1
fantom,0,1
pike,0,1
haxe,0,1
idris,0,1
icon,1,1
q#,0,1
j#,0,1
applescript,0,1
squirrel,0,1
postscript,0,1
maple,0,1
mql4/5,0,1
ren'py,0,1
oberon,0,1
wolfram-language,0,1
xbase,0,1
sparql,0,1
angelscript,0,1
xojo,0,1
yacc,0,1
janus,0,1
raku,0,1
f*,0,1
systemverilog,0,1
json,0,1
yaml,0,1
excel-vba,2,1
shell-scripting,1,1
apl,0,1
spss,1,1
stata,1,1
