skillset,frequency,job_id
complex-data,10,0
ad-hoc,11,0
data-analysis,36,0
coding,1,0
software-development,17,0
project-management,20,0
cybersecurity,13,0
cloud-computing,2,0
artificial-intelligence,4,0
ai,7,0
machine-learning,6,0
database-management,1,0
web-development,0,0
mobile-app-development,0,0
ux/ui-design,0,0
graphic-design,0,0
video-production,0,0
seo/sem-marketing,0,0
digital-marketing,0,0
content-writing,0,0
editing-and-proofreading,0,0
technical-writing,3,0
blockchain-technology,0,0
devops-practices,0,0
network-architecture,0,0
data-visualization,15,0
crm-software,0,0
erp-systems,0,0
financial-modeling,1,0
accounting-software,0,0
e-commerce-management,0,0
social-media-management,0,0
email-marketing,0,0
cloud-security,0,0
quantum-computing,0,0
robotics,0,0
3d-printing,0,0
augmented-reality,2,0
virtual-reality,0,0
iot,0,0
bioinformatics,0,0
computational-thinking,0,0
statistical-analysis,7,0
cad-software,0,0
digital-photography,0,0
podcasting,0,0
data-mining,2,0
ethical-hacking,0,0
linux-system-administration,0,0
cloud-infrastructure-management,0,0
quality-assurance-testing,0,0
regulatory-compliance,2,0
technical-support,3,0
troubleshooting,1,0
time-management,4,0
reliability,0,0
professionalism,1,0
responsibility,9,0
punctuality,0,0
dedication,3,0
work-life-balance,0,0
stress-management,0,0
resilience,8,0
persistence,0,0
patience,0,0
proactivity,0,0
flexibility,11,0
adaptability,0,0
self-motivation,0,0
goal-setting,0,0
self-discipline,0,0
organization,43,0
attention-to-detail,17,0
critical-thinking,5,0
problem-solving,25,0
decision-making,23,0
creativity,4,0
innovation,17,0
strategic-planning,5,0
leadership,29,0
team-building,0,0
conflict-resolution,0,0
performance-management,1,0
budgeting,6,0
negotiation,3,0
delegation,0,0
communication,45,0
empathy,0,0
emotional-intelligence,0,0
feedback-giving,0,0
diversity-and-inclusion,1,0
change-management,7,0
risk-management,6,0
project-planning,2,0
resource-allocation,0,0
stakeholder-management,1,0
sales-strategy,0,0
marketing-strategy,0,0
product-management,0,0
operations-management,0,0
customer-service,5,0
supply-chain,1,0
business-development,2,0
entrepreneurship,0,0
active-listening,0,0
verbal-communication,2,0
written-communication,9,0
public-speaking,0,0
interpersonal-skills,10,0
collaboration,13,0
teamwork,6,0
networking,3,0
persuasion,0,0
influence,6,0
critical-observation,0,0
curiosity,4,0
open-mindedness,0,0
willingness-to-learn,1,0
cultural-awareness,0,0
compassion,1,0
trustworthiness,0,0
honesty,0,0
integrity,9,0
ethical-judgment,0,0
gratitude,0,0
positivity,1,0
confidence,3,0
humility,0,0
tolerance,1,0
diplomacy,1,0
assertiveness,0,0
mindfulness,0,0
dispute-mediation,0,0
customer-orientation,0,0
service-mindset,0,0
personal-branding,0,0
personal-finance-management,0,0
environmental-awareness,0,0
health-and-safety-awareness,0,0
digital-literacy,0,0
information-literacy,0,0
data-privacy-awareness,0,0
cybersecurity-basics,0,0
e-literacy,0,0
online-collaboration-tools,0,0
remote-work,2,0
time-zone-sensitivity,0,0
virtual-meeting-etiquette,0,0
cloud-storage-and-sharing,0,0
digital-nomadism-skills,0,0
online-research,0,0
e-learning-skills,0,0
self-paced-learning,0,0
