skillset,frequency,job_id,state,report_year
complex-data,9,0,dmv,2024
ad-hoc,11,0,dmv,2024
data-analysis,42,0,dmv,2024
coding,5,0,dmv,2024
software-development,21,0,dmv,2024
project-management,24,0,dmv,2024
cybersecurity,8,0,dmv,2024
cloud-computing,6,0,dmv,2024
artificial-intelligence,5,0,dmv,2024
ai,5,0,dmv,2024
machine-learning,11,0,dmv,2024
database-management,8,0,dmv,2024
web-development,1,0,dmv,2024
mobile-app-development,0,0,dmv,2024
ux/ui-design,0,0,dmv,2024
graphic-design,1,0,dmv,2024
video-production,0,0,dmv,2024
seo/sem-marketing,0,0,dmv,2024
digital-marketing,3,0,dmv,2024
content-writing,0,0,dmv,2024
editing-and-proofreading,0,0,dmv,2024
technical-writing,1,0,dmv,2024
blockchain-technology,0,0,dmv,2024
devops-practices,0,0,dmv,2024
network-architecture,0,0,dmv,2024
data-visualization,17,0,dmv,2024
crm-software,0,0,dmv,2024
erp-systems,0,0,dmv,2024
financial-modeling,1,0,dmv,2024
accounting-software,0,0,dmv,2024
e-commerce-management,0,0,dmv,2024
social-media-management,0,0,dmv,2024
email-marketing,0,0,dmv,2024
cloud-security,0,0,dmv,2024
quantum-computing,0,0,dmv,2024
robotics,0,0,dmv,2024
3d-printing,0,0,dmv,2024
augmented-reality,3,0,dmv,2024
virtual-reality,0,0,dmv,2024
iot,0,0,dmv,2024
bioinformatics,1,0,dmv,2024
computational-thinking,0,0,dmv,2024
statistical-analysis,7,0,dmv,2024
cad-software,0,0,dmv,2024
digital-photography,0,0,dmv,2024
podcasting,0,0,dmv,2024
data-mining,1,0,dmv,2024
ethical-hacking,0,0,dmv,2024
linux-system-administration,0,0,dmv,2024
cloud-infrastructure-management,0,0,dmv,2024
quality-assurance-testing,0,0,dmv,2024
regulatory-compliance,1,0,dmv,2024
technical-support,5,0,dmv,2024
troubleshooting,7,0,dmv,2024
time-management,11,0,dmv,2024
reliability,0,0,dmv,2024
professionalism,6,0,dmv,2024
responsibility,5,0,dmv,2024
punctuality,0,0,dmv,2024
dedication,3,0,dmv,2024
work-life-balance,0,0,dmv,2024
stress-management,0,0,dmv,2024
resilience,1,0,dmv,2024
persistence,0,0,dmv,2024
patience,0,0,dmv,2024
proactivity,0,0,dmv,2024
flexibility,8,0,dmv,2024
adaptability,1,0,dmv,2024
self-motivation,0,0,dmv,2024
goal-setting,1,0,dmv,2024
self-discipline,0,0,dmv,2024
organization,40,0,dmv,2024
attention-to-detail,11,0,dmv,2024
critical-thinking,4,0,dmv,2024
problem-solving,32,0,dmv,2024
decision-making,20,0,dmv,2024
creativity,6,0,dmv,2024
innovation,15,0,dmv,2024
strategic-planning,8,0,dmv,2024
leadership,30,0,dmv,2024
team-building,1,0,dmv,2024
conflict-resolution,0,0,dmv,2024
performance-management,2,0,dmv,2024
budgeting,4,0,dmv,2024
negotiation,1,0,dmv,2024
delegation,0,0,dmv,2024
communication,41,0,dmv,2024
empathy,0,0,dmv,2024
emotional-intelligence,0,0,dmv,2024
feedback-giving,0,0,dmv,2024
diversity-and-inclusion,5,0,dmv,2024
change-management,6,0,dmv,2024
risk-management,6,0,dmv,2024
project-planning,2,0,dmv,2024
resource-allocation,1,0,dmv,2024
stakeholder-management,2,0,dmv,2024
sales-strategy,0,0,dmv,2024
marketing-strategy,1,0,dmv,2024
product-management,3,0,dmv,2024
operations-management,0,0,dmv,2024
customer-service,3,0,dmv,2024
supply-chain,9,0,dmv,2024
business-development,3,0,dmv,2024
entrepreneurship,0,0,dmv,2024
active-listening,0,0,dmv,2024
verbal-communication,6,0,dmv,2024
written-communication,14,0,dmv,2024
public-speaking,1,0,dmv,2024
interpersonal-skills,10,0,dmv,2024
collaboration,16,0,dmv,2024
teamwork,2,0,dmv,2024
networking,2,0,dmv,2024
persuasion,0,0,dmv,2024
influence,1,0,dmv,2024
critical-observation,0,0,dmv,2024
curiosity,2,0,dmv,2024
open-mindedness,0,0,dmv,2024
willingness-to-learn,1,0,dmv,2024
cultural-awareness,0,0,dmv,2024
compassion,0,0,dmv,2024
trustworthiness,0,0,dmv,2024
honesty,0,0,dmv,2024
integrity,18,0,dmv,2024
ethical-judgment,0,0,dmv,2024
gratitude,0,0,dmv,2024
positivity,0,0,dmv,2024
confidence,4,0,dmv,2024
humility,0,0,dmv,2024
tolerance,0,0,dmv,2024
diplomacy,0,0,dmv,2024
assertiveness,0,0,dmv,2024
mindfulness,0,0,dmv,2024
dispute-mediation,0,0,dmv,2024
customer-orientation,0,0,dmv,2024
service-mindset,0,0,dmv,2024
personal-branding,0,0,dmv,2024
personal-finance-management,0,0,dmv,2024
environmental-awareness,0,0,dmv,2024
health-and-safety-awareness,0,0,dmv,2024
digital-literacy,0,0,dmv,2024
information-literacy,0,0,dmv,2024
data-privacy-awareness,0,0,dmv,2024
cybersecurity-basics,0,0,dmv,2024
e-literacy,0,0,dmv,2024
online-collaboration-tools,0,0,dmv,2024
remote-work,1,0,dmv,2024
time-zone-sensitivity,0,0,dmv,2024
virtual-meeting-etiquette,0,0,dmv,2024
cloud-storage-and-sharing,0,0,dmv,2024
digital-nomadism-skills,0,0,dmv,2024
online-research,0,0,dmv,2024
e-learning-skills,0,0,dmv,2024
self-paced-learning,0,0,dmv,2024
