skillset,frequency,job_id,state,report_year
complex-data,10,0,dmv,2024
ad-hoc,11,0,dmv,2024
data-analysis,36,0,dmv,2024
coding,1,0,dmv,2024
software-development,17,0,dmv,2024
project-management,20,0,dmv,2024
cybersecurity,13,0,dmv,2024
cloud-computing,2,0,dmv,2024
artificial-intelligence,4,0,dmv,2024
ai,7,0,dmv,2024
machine-learning,6,0,dmv,2024
database-management,1,0,dmv,2024
web-development,0,0,dmv,2024
mobile-app-development,0,0,dmv,2024
ux/ui-design,0,0,dmv,2024
graphic-design,0,0,dmv,2024
video-production,0,0,dmv,2024
seo/sem-marketing,0,0,dmv,2024
digital-marketing,0,0,dmv,2024
content-writing,0,0,dmv,2024
editing-and-proofreading,0,0,dmv,2024
technical-writing,3,0,dmv,2024
blockchain-technology,0,0,dmv,2024
devops-practices,0,0,dmv,2024
network-architecture,0,0,dmv,2024
data-visualization,15,0,dmv,2024
crm-software,0,0,dmv,2024
erp-systems,0,0,dmv,2024
financial-modeling,1,0,dmv,2024
accounting-software,0,0,dmv,2024
e-commerce-management,0,0,dmv,2024
social-media-management,0,0,dmv,2024
email-marketing,0,0,dmv,2024
cloud-security,0,0,dmv,2024
quantum-computing,0,0,dmv,2024
robotics,0,0,dmv,2024
3d-printing,0,0,dmv,2024
augmented-reality,2,0,dmv,2024
virtual-reality,0,0,dmv,2024
iot,0,0,dmv,2024
bioinformatics,0,0,dmv,2024
computational-thinking,0,0,dmv,2024
statistical-analysis,7,0,dmv,2024
cad-software,0,0,dmv,2024
digital-photography,0,0,dmv,2024
podcasting,0,0,dmv,2024
data-mining,2,0,dmv,2024
ethical-hacking,0,0,dmv,2024
linux-system-administration,0,0,dmv,2024
cloud-infrastructure-management,0,0,dmv,2024
quality-assurance-testing,0,0,dmv,2024
regulatory-compliance,2,0,dmv,2024
technical-support,3,0,dmv,2024
troubleshooting,1,0,dmv,2024
time-management,4,0,dmv,2024
reliability,0,0,dmv,2024
professionalism,1,0,dmv,2024
responsibility,9,0,dmv,2024
punctuality,0,0,dmv,2024
dedication,3,0,dmv,2024
work-life-balance,0,0,dmv,2024
stress-management,0,0,dmv,2024
resilience,8,0,dmv,2024
persistence,0,0,dmv,2024
patience,0,0,dmv,2024
proactivity,0,0,dmv,2024
flexibility,11,0,dmv,2024
adaptability,0,0,dmv,2024
self-motivation,0,0,dmv,2024
goal-setting,0,0,dmv,2024
self-discipline,0,0,dmv,2024
organization,43,0,dmv,2024
attention-to-detail,17,0,dmv,2024
critical-thinking,5,0,dmv,2024
problem-solving,25,0,dmv,2024
decision-making,23,0,dmv,2024
creativity,4,0,dmv,2024
innovation,17,0,dmv,2024
strategic-planning,5,0,dmv,2024
leadership,29,0,dmv,2024
team-building,0,0,dmv,2024
conflict-resolution,0,0,dmv,2024
performance-management,1,0,dmv,2024
budgeting,6,0,dmv,2024
negotiation,3,0,dmv,2024
delegation,0,0,dmv,2024
communication,45,0,dmv,2024
empathy,0,0,dmv,2024
emotional-intelligence,0,0,dmv,2024
feedback-giving,0,0,dmv,2024
diversity-and-inclusion,1,0,dmv,2024
change-management,7,0,dmv,2024
risk-management,6,0,dmv,2024
project-planning,2,0,dmv,2024
resource-allocation,0,0,dmv,2024
stakeholder-management,1,0,dmv,2024
sales-strategy,0,0,dmv,2024
marketing-strategy,0,0,dmv,2024
product-management,0,0,dmv,2024
operations-management,0,0,dmv,2024
customer-service,5,0,dmv,2024
supply-chain,1,0,dmv,2024
business-development,2,0,dmv,2024
entrepreneurship,0,0,dmv,2024
active-listening,0,0,dmv,2024
verbal-communication,2,0,dmv,2024
written-communication,9,0,dmv,2024
public-speaking,0,0,dmv,2024
interpersonal-skills,10,0,dmv,2024
collaboration,13,0,dmv,2024
teamwork,6,0,dmv,2024
networking,3,0,dmv,2024
persuasion,0,0,dmv,2024
influence,6,0,dmv,2024
critical-observation,0,0,dmv,2024
curiosity,4,0,dmv,2024
open-mindedness,0,0,dmv,2024
willingness-to-learn,1,0,dmv,2024
cultural-awareness,0,0,dmv,2024
compassion,1,0,dmv,2024
trustworthiness,0,0,dmv,2024
honesty,0,0,dmv,2024
integrity,9,0,dmv,2024
ethical-judgment,0,0,dmv,2024
gratitude,0,0,dmv,2024
positivity,1,0,dmv,2024
confidence,3,0,dmv,2024
humility,0,0,dmv,2024
tolerance,1,0,dmv,2024
diplomacy,1,0,dmv,2024
assertiveness,0,0,dmv,2024
mindfulness,0,0,dmv,2024
dispute-mediation,0,0,dmv,2024
customer-orientation,0,0,dmv,2024
service-mindset,0,0,dmv,2024
personal-branding,0,0,dmv,2024
personal-finance-management,0,0,dmv,2024
environmental-awareness,0,0,dmv,2024
health-and-safety-awareness,0,0,dmv,2024
digital-literacy,0,0,dmv,2024
information-literacy,0,0,dmv,2024
data-privacy-awareness,0,0,dmv,2024
cybersecurity-basics,0,0,dmv,2024
e-literacy,0,0,dmv,2024
online-collaboration-tools,0,0,dmv,2024
remote-work,2,0,dmv,2024
time-zone-sensitivity,0,0,dmv,2024
virtual-meeting-etiquette,0,0,dmv,2024
cloud-storage-and-sharing,0,0,dmv,2024
digital-nomadism-skills,0,0,dmv,2024
online-research,0,0,dmv,2024
e-learning-skills,0,0,dmv,2024
self-paced-learning,0,0,dmv,2024
