skillset,frequency,job_id,state,report_year
complex-data,3,1,dmv,2024
ad-hoc,2,1,dmv,2024
data-analysis,0,1,dmv,2024
coding,15,1,dmv,2024
software-development,89,1,dmv,2024
project-management,9,1,dmv,2024
cybersecurity,12,1,dmv,2024
cloud-computing,5,1,dmv,2024
artificial-intelligence,4,1,dmv,2024
ai,21,1,dmv,2024
machine-learning,9,1,dmv,2024
database-management,0,1,dmv,2024
web-development,8,1,dmv,2024
mobile-app-development,0,1,dmv,2024
ux/ui-design,0,1,dmv,2024
graphic-design,0,1,dmv,2024
video-production,0,1,dmv,2024
seo/sem-marketing,0,1,dmv,2024
digital-marketing,0,1,dmv,2024
content-writing,0,1,dmv,2024
editing-and-proofreading,0,1,dmv,2024
technical-writing,1,1,dmv,2024
blockchain-technology,0,1,dmv,2024
devops-practices,0,1,dmv,2024
network-architecture,0,1,dmv,2024
data-visualization,0,1,dmv,2024
crm-software,0,1,dmv,2024
erp-systems,0,1,dmv,2024
financial-modeling,0,1,dmv,2024
accounting-software,0,1,dmv,2024
e-commerce-management,0,1,dmv,2024
social-media-management,0,1,dmv,2024
email-marketing,0,1,dmv,2024
cloud-security,2,1,dmv,2024
quantum-computing,1,1,dmv,2024
robotics,0,1,dmv,2024
3d-printing,0,1,dmv,2024
augmented-reality,0,1,dmv,2024
virtual-reality,0,1,dmv,2024
iot,0,1,dmv,2024
bioinformatics,0,1,dmv,2024
computational-thinking,0,1,dmv,2024
statistical-analysis,2,1,dmv,2024
cad-software,0,1,dmv,2024
digital-photography,0,1,dmv,2024
podcasting,0,1,dmv,2024
data-mining,4,1,dmv,2024
ethical-hacking,0,1,dmv,2024
linux-system-administration,0,1,dmv,2024
cloud-infrastructure-management,0,1,dmv,2024
quality-assurance-testing,1,1,dmv,2024
regulatory-compliance,0,1,dmv,2024
technical-support,2,1,dmv,2024
troubleshooting,15,1,dmv,2024
time-management,0,1,dmv,2024
reliability,7,1,dmv,2024
professionalism,0,1,dmv,2024
responsibility,9,1,dmv,2024
punctuality,0,1,dmv,2024
dedication,6,1,dmv,2024
work-life-balance,2,1,dmv,2024
stress-management,0,1,dmv,2024
resilience,1,1,dmv,2024
persistence,0,1,dmv,2024
patience,0,1,dmv,2024
proactivity,0,1,dmv,2024
flexibility,9,1,dmv,2024
adaptability,0,1,dmv,2024
self-motivation,1,1,dmv,2024
goal-setting,0,1,dmv,2024
self-discipline,0,1,dmv,2024
organization,21,1,dmv,2024
attention-to-detail,4,1,dmv,2024
critical-thinking,0,1,dmv,2024
problem-solving,13,1,dmv,2024
decision-making,0,1,dmv,2024
creativity,9,1,dmv,2024
innovation,26,1,dmv,2024
strategic-planning,0,1,dmv,2024
leadership,27,1,dmv,2024
team-building,0,1,dmv,2024
conflict-resolution,2,1,dmv,2024
performance-management,0,1,dmv,2024
budgeting,0,1,dmv,2024
negotiation,1,1,dmv,2024
delegation,0,1,dmv,2024
communication,18,1,dmv,2024
empathy,1,1,dmv,2024
emotional-intelligence,0,1,dmv,2024
feedback-giving,0,1,dmv,2024
diversity-and-inclusion,1,1,dmv,2024
change-management,1,1,dmv,2024
risk-management,1,1,dmv,2024
project-planning,0,1,dmv,2024
resource-allocation,0,1,dmv,2024
stakeholder-management,0,1,dmv,2024
sales-strategy,0,1,dmv,2024
marketing-strategy,0,1,dmv,2024
product-management,2,1,dmv,2024
operations-management,0,1,dmv,2024
customer-service,2,1,dmv,2024
supply-chain,2,1,dmv,2024
business-development,1,1,dmv,2024
entrepreneurship,0,1,dmv,2024
active-listening,0,1,dmv,2024
verbal-communication,2,1,dmv,2024
written-communication,5,1,dmv,2024
public-speaking,0,1,dmv,2024
interpersonal-skills,1,1,dmv,2024
collaboration,9,1,dmv,2024
teamwork,2,1,dmv,2024
networking,10,1,dmv,2024
persuasion,0,1,dmv,2024
influence,3,1,dmv,2024
critical-observation,0,1,dmv,2024
curiosity,3,1,dmv,2024
open-mindedness,0,1,dmv,2024
willingness-to-learn,2,1,dmv,2024
cultural-awareness,0,1,dmv,2024
compassion,0,1,dmv,2024
trustworthiness,0,1,dmv,2024
honesty,0,1,dmv,2024
integrity,8,1,dmv,2024
ethical-judgment,0,1,dmv,2024
gratitude,0,1,dmv,2024
positivity,0,1,dmv,2024
confidence,0,1,dmv,2024
humility,1,1,dmv,2024
tolerance,0,1,dmv,2024
diplomacy,0,1,dmv,2024
assertiveness,0,1,dmv,2024
mindfulness,0,1,dmv,2024
dispute-mediation,0,1,dmv,2024
customer-orientation,0,1,dmv,2024
service-mindset,0,1,dmv,2024
personal-branding,0,1,dmv,2024
personal-finance-management,0,1,dmv,2024
environmental-awareness,0,1,dmv,2024
health-and-safety-awareness,0,1,dmv,2024
digital-literacy,0,1,dmv,2024
information-literacy,0,1,dmv,2024
data-privacy-awareness,0,1,dmv,2024
cybersecurity-basics,0,1,dmv,2024
e-literacy,0,1,dmv,2024
online-collaboration-tools,0,1,dmv,2024
remote-work,1,1,dmv,2024
time-zone-sensitivity,0,1,dmv,2024
virtual-meeting-etiquette,0,1,dmv,2024
cloud-storage-and-sharing,0,1,dmv,2024
digital-nomadism-skills,0,1,dmv,2024
online-research,0,1,dmv,2024
e-learning-skills,0,1,dmv,2024
self-paced-learning,0,1,dmv,2024
