software,frequency,job_id,state,report_year
aws,10,0,dmv,2024
azure,3,0,dmv,2024
google-cloud,0,0,dmv,2024
ibm-cloud,0,0,dmv,2024
oracle,18,0,dmv,2024
salesforce,0,0,dmv,2024
vmware-cloud,0,0,dmv,2024
alibaba-cloud,0,0,dmv,2024
digitalocean,0,0,dmv,2024
heroku,0,0,dmv,2024
openstack,0,0,dmv,2024
kubernetes,0,0,dmv,2024
docker,0,0,dmv,2024
ansible,0,0,dmv,2024
terraform,0,0,dmv,2024
apache-hadoop,0,0,dmv,2024
spark,2,0,dmv,2024
ec2,0,0,dmv,2024
google-compute-engine,0,0,dmv,2024
azure-virtual-machines,0,0,dmv,2024
aws-lambda,0,0,dmv,2024
google-cloud-functions,0,0,dmv,2024
azure-functions,0,0,dmv,2024
s3,1,0,dmv,2024
google-cloud-storage,0,0,dmv,2024
azure-blob-storage,0,0,dmv,2024
red-hat-openshift,0,0,dmv,2024
cloud-foundry,0,0,dmv,2024
jenkins,0,0,dmv,2024
github-actions,0,0,dmv,2024
gitlab-ci/cd,0,0,dmv,2024
amazon-rds,0,0,dmv,2024
google-cloud-sql,0,0,dmv,2024
azure-sql-database,0,0,dmv,2024
mongodb-atlas,0,0,dmv,2024
cassandra,0,0,dmv,2024
redis,1,0,dmv,2024
elasticsearch,0,0,dmv,2024
rabbitmq,0,0,dmv,2024
apache-kafka,0,0,dmv,2024
visual-studio,0,0,dmv,2024
intellij-idea,0,0,dmv,2024
eclipse,0,0,dmv,2024
pycharm,0,0,dmv,2024
atom,0,0,dmv,2024
sublime-text,0,0,dmv,2024
netbeans,0,0,dmv,2024
android-studio,0,0,dmv,2024
xcode,0,0,dmv,2024
webstorm,0,0,dmv,2024
phpstorm,0,0,dmv,2024
rubymine,0,0,dmv,2024
clion,0,0,dmv,2024
appcode,0,0,dmv,2024
rider,0,0,dmv,2024
goland,0,0,dmv,2024
komodo-ide,0,0,dmv,2024
aptana-studio,0,0,dmv,2024
code::blocks,0,0,dmv,2024
qt-creator,0,0,dmv,2024
jupyter-notebook,0,0,dmv,2024
spyder,0,0,dmv,2024
rstudio,0,0,dmv,2024
anaconda,1,0,dmv,2024
light-table,0,0,dmv,2024
brackets,0,0,dmv,2024
bluej,0,0,dmv,2024
thonny,0,0,dmv,2024
wing-ide,0,0,dmv,2024
emacs,0,0,dmv,2024
vim,0,0,dmv,2024
coda,0,0,dmv,2024
komodo-edit,0,0,dmv,2024
monodevelop,0,0,dmv,2024
sharpdevelop,0,0,dmv,2024
codelite,0,0,dmv,2024
geany,0,0,dmv,2024
kdevelop,0,0,dmv,2024
labview,0,0,dmv,2024
greenfoot,0,0,dmv,2024
oracle-jdeveloper,0,0,dmv,2024
aws-cloud9,0,0,dmv,2024
zend-studio,0,0,dmv,2024
slickedit,0,0,dmv,2024
eclipse-che,0,0,dmv,2024
codewarrior,0,0,dmv,2024
delphi,0,0,dmv,2024
scratch,0,0,dmv,2024
microsoft-office-suite,4,0,dmv,2024
google-workspace,0,0,dmv,2024
slack,1,0,dmv,2024
zoom,0,0,dmv,2024
microsoft-teams,1,0,dmv,2024
trello,0,0,dmv,2024
asana,0,0,dmv,2024
monday.com,0,0,dmv,2024
notion,0,0,dmv,2024
evernote,0,0,dmv,2024
adobe-creative-cloud,0,0,dmv,2024
autocad,0,0,dmv,2024
sketch,0,0,dmv,2024
figma,0,0,dmv,2024
invision,0,0,dmv,2024
jira,10,0,dmv,2024
confluence,9,0,dmv,2024
hubspot,0,0,dmv,2024
mailchimp,0,0,dmv,2024
zoho-crm,0,0,dmv,2024
quickbooks,0,0,dmv,2024
sap-erp,0,0,dmv,2024
oracle-erp-cloud,1,0,dmv,2024
tableau,18,0,dmv,2024
power-bi,12,0,dmv,2024
google-analytics,0,0,dmv,2024
matlab,0,0,dmv,2024
wrike,0,0,dmv,2024
basecamp,0,0,dmv,2024
github,0,0,dmv,2024
gitlab,0,0,dmv,2024
bitbucket,0,0,dmv,2024
vmware,0,0,dmv,2024
oracle-database,0,0,dmv,2024
mysql,0,0,dmv,2024
microsoft-sql-server,2,0,dmv,2024
postgresql,1,0,dmv,2024
mongodb,3,0,dmv,2024
adobe,3,0,dmv,2024
canva,0,0,dmv,2024
hootsuite,0,0,dmv,2024
sprout-social,0,0,dmv,2024
buffer,0,0,dmv,2024
zendesk,0,0,dmv,2024
freshdesk,0,0,dmv,2024
dropbox,0,0,dmv,2024
google-drive,0,0,dmv,2024
microsoft-onedrive,0,0,dmv,2024
norton-antivirus,0,0,dmv,2024
mcafee-security,0,0,dmv,2024
cisco-webex,0,0,dmv,2024
gotomeeting,0,0,dmv,2024
teamviewer,0,0,dmv,2024
sketchup,0,0,dmv,2024
autodesk-revit,0,0,dmv,2024
ms-office,2,0,dmv,2024
excel,24,0,dmv,2024
word,18,0,dmv,2024
