software,frequency,job_id
aws,3,1
azure,3,1
google-cloud,0,1
ibm-cloud,0,1
oracle,6,1
salesforce,7,1
vmware-cloud,0,1
alibaba-cloud,0,1
digitalocean,0,1
heroku,0,1
openstack,0,1
kubernetes,0,1
docker,0,1
ansible,0,1
terraform,0,1
apache-hadoop,0,1
spark,1,1
ec2,1,1
google-compute-engine,0,1
azure-virtual-machines,0,1
aws-lambda,0,1
google-cloud-functions,0,1
azure-functions,0,1
s3,2,1
google-cloud-storage,0,1
azure-blob-storage,0,1
red-hat-openshift,0,1
cloud-foundry,0,1
jenkins,1,1
github-actions,0,1
gitlab-ci/cd,0,1
amazon-rds,0,1
google-cloud-sql,0,1
azure-sql-database,0,1
mongodb-atlas,0,1
cassandra,0,1
redis,0,1
elasticsearch,0,1
rabbitmq,0,1
apache-kafka,0,1
visual-studio,0,1
intellij-idea,0,1
eclipse,0,1
pycharm,0,1
atom,0,1
sublime-text,0,1
netbeans,0,1
android-studio,0,1
xcode,0,1
webstorm,0,1
phpstorm,0,1
rubymine,0,1
clion,0,1
appcode,0,1
rider,0,1
goland,0,1
komodo-ide,0,1
aptana-studio,0,1
code::blocks,0,1
qt-creator,0,1
jupyter-notebook,0,1
spyder,0,1
rstudio,0,1
anaconda,0,1
light-table,0,1
brackets,0,1
bluej,0,1
thonny,0,1
wing-ide,0,1
emacs,0,1
vim,0,1
coda,0,1
komodo-edit,0,1
monodevelop,0,1
sharpdevelop,0,1
codelite,0,1
geany,0,1
kdevelop,0,1
labview,0,1
greenfoot,0,1
oracle-jdeveloper,0,1
aws-cloud9,0,1
zend-studio,0,1
slickedit,0,1
eclipse-che,0,1
codewarrior,0,1
borland-c++-builder,0,1
delphi,0,1
scratch,0,1
microsoft-office-suite,5,1
google-workspace,0,1
slack,0,1
zoom,0,1
microsoft-teams,0,1
trello,0,1
asana,0,1
monday.com,0,1
notion,0,1
evernote,0,1
adobe-creative-cloud,0,1
autocad,0,1
sketch,0,1
figma,0,1
invision,0,1
jira,13,1
confluence,4,1
hubspot,0,1
mailchimp,0,1
zoho-crm,0,1
quickbooks,0,1
sap-erp,0,1
oracle-erp-cloud,0,1
tableau,11,1
power-bi,5,1
google-analytics,1,1
matlab,3,1
wrike,0,1
basecamp,0,1
github,0,1
gitlab,0,1
bitbucket,0,1
vmware,0,1
oracle-database,1,1
mysql,0,1
microsoft-sql-server,0,1
postgresql,1,1
mongodb,0,1
adobe,2,1
canva,0,1
hootsuite,0,1
sprout-social,0,1
buffer,0,1
zendesk,0,1
freshdesk,0,1
dropbox,0,1
google-drive,0,1
microsoft-onedrive,0,1
norton-antivirus,0,1
mcafee-security,0,1
cisco-webex,0,1
gotomeeting,0,1
teamviewer,0,1
sketchup,0,1
autodesk-revit,0,1
ms-office,7,1
excel,33,1
word,26,1
