software,frequency,job_id
aws,11,2
azure,5,2
google-cloud,0,2
ibm-cloud,0,2
oracle,14,2
salesforce,5,2
vmware-cloud,0,2
alibaba-cloud,0,2
digitalocean,0,2
heroku,0,2
openstack,0,2
kubernetes,0,2
docker,0,2
ansible,0,2
terraform,0,2
apache-hadoop,1,2
spark,3,2
ec2,1,2
google-compute-engine,0,2
azure-virtual-machines,0,2
aws-lambda,0,2
google-cloud-functions,0,2
azure-functions,0,2
s3,1,2
google-cloud-storage,0,2
azure-blob-storage,0,2
red-hat-openshift,0,2
cloud-foundry,0,2
jenkins,0,2
github-actions,0,2
gitlab-ci/cd,0,2
amazon-rds,0,2
google-cloud-sql,0,2
azure-sql-database,0,2
mongodb-atlas,0,2
cassandra,0,2
redis,0,2
elasticsearch,0,2
rabbitmq,0,2
apache-kafka,0,2
visual-studio,0,2
intellij-idea,0,2
eclipse,0,2
pycharm,0,2
atom,0,2
sublime-text,0,2
netbeans,0,2
android-studio,0,2
xcode,0,2
webstorm,0,2
phpstorm,0,2
rubymine,0,2
clion,0,2
appcode,0,2
rider,0,2
goland,0,2
komodo-ide,0,2
aptana-studio,0,2
code::blocks,0,2
qt-creator,0,2
jupyter-notebook,0,2
spyder,0,2
rstudio,0,2
anaconda,0,2
light-table,0,2
brackets,0,2
bluej,0,2
thonny,0,2
wing-ide,0,2
emacs,0,2
vim,0,2
coda,0,2
komodo-edit,0,2
monodevelop,0,2
sharpdevelop,0,2
codelite,0,2
geany,0,2
kdevelop,0,2
labview,0,2
greenfoot,0,2
oracle-jdeveloper,0,2
aws-cloud9,0,2
zend-studio,0,2
slickedit,0,2
eclipse-che,0,2
codewarrior,0,2
delphi,0,2
scratch,1,2
microsoft-office-suite,1,2
google-workspace,0,2
slack,0,2
zoom,1,2
microsoft-teams,1,2
trello,0,2
asana,0,2
monday.com,0,2
notion,0,2
evernote,0,2
adobe-creative-cloud,0,2
autocad,0,2
sketch,0,2
figma,0,2
invision,0,2
jira,8,2
confluence,0,2
hubspot,0,2
mailchimp,0,2
zoho-crm,0,2
quickbooks,0,2
sap-erp,0,2
oracle-erp-cloud,0,2
tableau,19,2
power-bi,26,2
google-analytics,1,2
matlab,0,2
wrike,0,2
basecamp,0,2
github,1,2
gitlab,0,2
bitbucket,0,2
vmware,0,2
oracle-database,0,2
mysql,1,2
microsoft-sql-server,0,2
postgresql,0,2
mongodb,0,2
adobe,2,2
canva,0,2
hootsuite,0,2
sprout-social,0,2
buffer,0,2
zendesk,0,2
freshdesk,0,2
dropbox,0,2
google-drive,0,2
microsoft-onedrive,0,2
norton-antivirus,0,2
mcafee-security,0,2
cisco-webex,0,2
gotomeeting,0,2
teamviewer,0,2
sketchup,0,2
autodesk-revit,0,2
ms-office,7,2
excel,32,2
word,11,2
