software,frequency,job_id,state,report_year
aws,95,1,dmv,2024
azure,33,1,dmv,2024
google-cloud,0,1,dmv,2024
ibm-cloud,0,1,dmv,2024
oracle,16,1,dmv,2024
salesforce,1,1,dmv,2024
vmware-cloud,1,1,dmv,2024
alibaba-cloud,0,1,dmv,2024
digitalocean,0,1,dmv,2024
heroku,1,1,dmv,2024
openstack,1,1,dmv,2024
kubernetes,36,1,dmv,2024
docker,12,1,dmv,2024
ansible,10,1,dmv,2024
terraform,4,1,dmv,2024
apache-hadoop,1,1,dmv,2024
spark,0,1,dmv,2024
ec2,2,1,dmv,2024
google-compute-engine,0,1,dmv,2024
azure-virtual-machines,0,1,dmv,2024
aws-lambda,1,1,dmv,2024
google-cloud-functions,0,1,dmv,2024
azure-functions,0,1,dmv,2024
s3,3,1,dmv,2024
google-cloud-storage,0,1,dmv,2024
azure-blob-storage,0,1,dmv,2024
red-hat-openshift,0,1,dmv,2024
cloud-foundry,0,1,dmv,2024
jenkins,12,1,dmv,2024
github-actions,0,1,dmv,2024
gitlab-ci/cd,0,1,dmv,2024
amazon-rds,0,1,dmv,2024
google-cloud-sql,0,1,dmv,2024
azure-sql-database,0,1,dmv,2024
mongodb-atlas,1,1,dmv,2024
cassandra,0,1,dmv,2024
redis,3,1,dmv,2024
elasticsearch,14,1,dmv,2024
rabbitmq,3,1,dmv,2024
apache-kafka,0,1,dmv,2024
visual-studio,0,1,dmv,2024
intellij-idea,0,1,dmv,2024
eclipse,2,1,dmv,2024
pycharm,0,1,dmv,2024
atom,0,1,dmv,2024
sublime-text,0,1,dmv,2024
netbeans,0,1,dmv,2024
android-studio,0,1,dmv,2024
xcode,0,1,dmv,2024
webstorm,0,1,dmv,2024
phpstorm,0,1,dmv,2024
rubymine,0,1,dmv,2024
clion,0,1,dmv,2024
appcode,0,1,dmv,2024
rider,0,1,dmv,2024
goland,0,1,dmv,2024
komodo-ide,0,1,dmv,2024
aptana-studio,0,1,dmv,2024
code::blocks,0,1,dmv,2024
qt-creator,0,1,dmv,2024
jupyter-notebook,0,1,dmv,2024
spyder,0,1,dmv,2024
rstudio,0,1,dmv,2024
anaconda,0,1,dmv,2024
light-table,0,1,dmv,2024
brackets,0,1,dmv,2024
bluej,0,1,dmv,2024
thonny,0,1,dmv,2024
wing-ide,0,1,dmv,2024
emacs,0,1,dmv,2024
vim,0,1,dmv,2024
coda,0,1,dmv,2024
komodo-edit,0,1,dmv,2024
monodevelop,0,1,dmv,2024
sharpdevelop,0,1,dmv,2024
codelite,0,1,dmv,2024
geany,0,1,dmv,2024
kdevelop,0,1,dmv,2024
labview,0,1,dmv,2024
greenfoot,0,1,dmv,2024
oracle-jdeveloper,0,1,dmv,2024
aws-cloud9,0,1,dmv,2024
zend-studio,0,1,dmv,2024
slickedit,0,1,dmv,2024
eclipse-che,0,1,dmv,2024
codewarrior,0,1,dmv,2024
delphi,0,1,dmv,2024
scratch,0,1,dmv,2024
microsoft-office-suite,0,1,dmv,2024
google-workspace,0,1,dmv,2024
slack,0,1,dmv,2024
zoom,0,1,dmv,2024
microsoft-teams,1,1,dmv,2024
trello,0,1,dmv,2024
asana,0,1,dmv,2024
monday.com,0,1,dmv,2024
notion,0,1,dmv,2024
evernote,0,1,dmv,2024
adobe-creative-cloud,0,1,dmv,2024
autocad,0,1,dmv,2024
sketch,0,1,dmv,2024
figma,0,1,dmv,2024
invision,0,1,dmv,2024
jira,3,1,dmv,2024
confluence,3,1,dmv,2024
hubspot,0,1,dmv,2024
mailchimp,0,1,dmv,2024
zoho-crm,0,1,dmv,2024
quickbooks,0,1,dmv,2024
sap-erp,0,1,dmv,2024
oracle-erp-cloud,0,1,dmv,2024
tableau,1,1,dmv,2024
power-bi,1,1,dmv,2024
google-analytics,0,1,dmv,2024
matlab,2,1,dmv,2024
wrike,0,1,dmv,2024
basecamp,0,1,dmv,2024
github,2,1,dmv,2024
gitlab,7,1,dmv,2024
bitbucket,2,1,dmv,2024
vmware,6,1,dmv,2024
oracle-database,0,1,dmv,2024
mysql,1,1,dmv,2024
microsoft-sql-server,1,1,dmv,2024
postgresql,3,1,dmv,2024
mongodb,6,1,dmv,2024
adobe,0,1,dmv,2024
canva,0,1,dmv,2024
hootsuite,0,1,dmv,2024
sprout-social,0,1,dmv,2024
buffer,0,1,dmv,2024
zendesk,0,1,dmv,2024
freshdesk,0,1,dmv,2024
dropbox,0,1,dmv,2024
google-drive,0,1,dmv,2024
microsoft-onedrive,0,1,dmv,2024
norton-antivirus,0,1,dmv,2024
mcafee-security,0,1,dmv,2024
cisco-webex,0,1,dmv,2024
gotomeeting,0,1,dmv,2024
teamviewer,0,1,dmv,2024
sketchup,0,1,dmv,2024
autodesk-revit,0,1,dmv,2024
ms-office,0,1,dmv,2024
excel,1,1,dmv,2024
word,1,1,dmv,2024
