education,frequency,job_id,state,report_year
highschool-diploma,0,3,dmv,2024
high-school-diploma,0,3,dmv,2024
associates-degree,0,3,dmv,2024
associate-s-degree,1,3,dmv,2024
bachelors,5,3,dmv,2024
bachelor-s,4,3,dmv,2024
bachelor-s-degree,36,3,dmv,2024
bachelor's,0,3,dmv,2024
bachelors',0,3,dmv,2024
b.s,1,3,dmv,2024
masters,0,3,dmv,2024
master-s,2,3,dmv,2024
master-s-degree,8,3,dmv,2024
master's,0,3,dmv,2024
masters',0,3,dmv,2024
phd,2,3,dmv,2024
ph.d,1,3,dmv,2024
doctoral,0,3,dmv,2024
doctorate,0,3,dmv,2024
