years_experience_recorded,job_id,state,report_year
5,3,dmv,2024
1,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
3,3,dmv,2024
3,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
7,3,dmv,2024
8,3,dmv,2024
9,3,dmv,2024
7,3,dmv,2024
10,3,dmv,2024
5,3,dmv,2024
3,3,dmv,2024
2,3,dmv,2024
10,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
3,3,dmv,2024
3,3,dmv,2024
2,3,dmv,2024
2,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
10,3,dmv,2024
10,3,dmv,2024
3,3,dmv,2024
10,3,dmv,2024
14,3,dmv,2024
12,3,dmv,2024
4,3,dmv,2024
5,3,dmv,2024
3,3,dmv,2024
7,3,dmv,2024
8,3,dmv,2024
9,3,dmv,2024
7,3,dmv,2024
4,3,dmv,2024
3,3,dmv,2024
2,3,dmv,2024
1,3,dmv,2024
6,3,dmv,2024
3,3,dmv,2024
2,3,dmv,2024
5,3,dmv,2024
8,3,dmv,2024
7,3,dmv,2024
8,3,dmv,2024
5,3,dmv,2024
5,3,dmv,2024
8,3,dmv,2024
5,3,dmv,2024
2,3,dmv,2024
2,3,dmv,2024
12,3,dmv,2024
12,3,dmv,2024
12,3,dmv,2024
3,3,dmv,2024
15,3,dmv,2024
2,3,dmv,2024
1,3,dmv,2024
1,3,dmv,2024
2,3,dmv,2024
3,3,dmv,2024
2,3,dmv,2024
3,3,dmv,2024
1,3,dmv,2024
1,3,dmv,2024
1,3,dmv,2024
10,3,dmv,2024
3,3,dmv,2024
6,3,dmv,2024
10,3,dmv,2024
3,3,dmv,2024
8,3,dmv,2024
3,3,dmv,2024
3,3,dmv,2024
1,3,dmv,2024
0,3,dmv,2024
