years_experience_recorded,job_id,state,report_year
15,4,dmv,2024
5,4,dmv,2024
4,4,dmv,2024
4,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
8,4,dmv,2024
4,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
6,4,dmv,2024
7,4,dmv,2024
2,4,dmv,2024
1,4,dmv,2024
2,4,dmv,2024
3,4,dmv,2024
15,4,dmv,2024
12,4,dmv,2024
10,4,dmv,2024
8,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
7,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
1,4,dmv,2024
5,4,dmv,2024
11,4,dmv,2024
8,4,dmv,2024
4,4,dmv,2024
6,4,dmv,2024
3,4,dmv,2024
1,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
3,4,dmv,2024
8,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
3,4,dmv,2024
4,4,dmv,2024
5,4,dmv,2024
4,4,dmv,2024
6,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
6,4,dmv,2024
6,4,dmv,2024
7,4,dmv,2024
7,4,dmv,2024
7,4,dmv,2024
7,4,dmv,2024
7,4,dmv,2024
5,4,dmv,2024
7,4,dmv,2024
5,4,dmv,2024
8,4,dmv,2024
9,4,dmv,2024
10,4,dmv,2024
11,4,dmv,2024
12,4,dmv,2024
6,4,dmv,2024
5,4,dmv,2024
5,4,dmv,2024
7,4,dmv,2024
5,4,dmv,2024
3,4,dmv,2024
5,4,dmv,2024
8,4,dmv,2024
6,4,dmv,2024
6,4,dmv,2024
5,4,dmv,2024
2,4,dmv,2024
3,4,dmv,2024
4,4,dmv,2024
5,4,dmv,2024
12,4,dmv,2024
