programming_languages,frequency,job_id,state,report_year
javascript,1,0,dmv,2024
python,8,0,dmv,2024
java,1,0,dmv,2024
c#,0,0,dmv,2024
c++,0,0,dmv,2024
typescript,0,0,dmv,2024
php,0,0,dmv,2024
swift,0,0,dmv,2024
ruby,0,0,dmv,2024
kotlin,0,0,dmv,2024
rust,0,0,dmv,2024
sql,15,0,dmv,2024
nosql,1,0,dmv,2024
postgresql,0,0,dmv,2024
dart,0,0,dmv,2024
scala,0,0,dmv,2024
shell,0,0,dmv,2024
powershell,0,0,dmv,2024
perl,0,0,dmv,2024
r,6,0,dmv,2024
groovy,0,0,dmv,2024
matlab,0,0,dmv,2024
vba,2,0,dmv,2024
lua,0,0,dmv,2024
julia,0,0,dmv,2024
haskell,0,0,dmv,2024
object-pascal,0,0,dmv,2024
objective-c,0,0,dmv,2024
clojure,0,0,dmv,2024
elixir,0,0,dmv,2024
elm,0,0,dmv,2024
erlang,0,0,dmv,2024
apex,0,0,dmv,2024
fortran,0,0,dmv,2024
cobol,0,0,dmv,2024
f#,0,0,dmv,2024
common-lisp,0,0,dmv,2024
ada,0,0,dmv,2024
scheme,0,0,dmv,2024
prolog,0,0,dmv,2024
assembly-language,0,0,dmv,2024
vb.net,0,0,dmv,2024
actionscript,0,0,dmv,2024
crystal,0,0,dmv,2024
coffeescript,0,0,dmv,2024
ocaml,0,0,dmv,2024
abap,0,0,dmv,2024
scratch,0,0,dmv,2024
racket,0,0,dmv,2024
smalltalk,0,0,dmv,2024
labview,0,0,dmv,2024
pl/sql,0,0,dmv,2024
sas,20,0,dmv,2024
tcl,0,0,dmv,2024
awk,0,0,dmv,2024
nim,0,0,dmv,2024
reason,0,0,dmv,2024
solidity,0,0,dmv,2024
puppet,1,0,dmv,2024
purescript,0,0,dmv,2024
zig,0,0,dmv,2024
chapel,0,0,dmv,2024
mercury,0,0,dmv,2024
io,0,0,dmv,2024
cobolscript,0,0,dmv,2024
ring,0,0,dmv,2024
bison,0,0,dmv,2024
korn-shell,0,0,dmv,2024
ceylon,0,0,dmv,2024
vala,0,0,dmv,2024
livescript,0,0,dmv,2024
ballerina,0,0,dmv,2024
picolisp,0,0,dmv,2024
fantom,0,0,dmv,2024
pike,0,0,dmv,2024
haxe,0,0,dmv,2024
idris,0,0,dmv,2024
icon,0,0,dmv,2024
q#,0,0,dmv,2024
j#,0,0,dmv,2024
applescript,0,0,dmv,2024
squirrel,0,0,dmv,2024
postscript,0,0,dmv,2024
maple,0,0,dmv,2024
mql4/5,0,0,dmv,2024
ren'py,0,0,dmv,2024
oberon,0,0,dmv,2024
wolfram-language,0,0,dmv,2024
xbase,0,0,dmv,2024
sparql,0,0,dmv,2024
angelscript,0,0,dmv,2024
xojo,0,0,dmv,2024
yacc,0,0,dmv,2024
janus,0,0,dmv,2024
raku,0,0,dmv,2024
f*,0,0,dmv,2024
systemverilog,0,0,dmv,2024
json,1,0,dmv,2024
yaml,0,0,dmv,2024
excel-vba,0,0,dmv,2024
shell-scripting,0,0,dmv,2024
apl,0,0,dmv,2024
spss,1,0,dmv,2024
stata,0,0,dmv,2024
