pay_low_end,pay_high_end,job_id,state,report_year
112000,179000,3,dmv,2024
100000,110000,3,dmv,2024
84600,193000,3,dmv,2024
115889,197011,3,dmv,2024
170560,187200,3,dmv,2024
101566,133400,3,dmv,2024
100000,160000,3,dmv,2024
80000,160000,3,dmv,2024
150000,185000,3,dmv,2024
135000,216000,3,dmv,2024
100000,110000,3,dmv,2024
102900,216200,3,dmv,2024
120000,300500,3,dmv,2024
143600,239300,3,dmv,2024
86030,159770,3,dmv,2024
86000,138000,3,dmv,2024
151700,237050,3,dmv,2024
125500,196075,3,dmv,2024
103800,162225,3,dmv,2024
70800,133750,3,dmv,2024
102900,216200,3,dmv,2024
120001,160000,3,dmv,2024
140000,160000,3,dmv,2024
151700,237050,3,dmv,2024
138000,215625,3,dmv,2024
114100,178300,3,dmv,2024
77800,147225,3,dmv,2024
74600,156700,3,dmv,2024
76000,185000,3,dmv,2024
96600,220000,3,dmv,2024
86000,138000,3,dmv,2024
122000,182000,3,dmv,2024
120001,160000,3,dmv,2024
120000,130000,3,dmv,2024
180000,200000,3,dmv,2024
