pay_low_end,pay_high_end,job_id,state,report_year
181100,425500,4,dmv,2024
72035,79064,4,dmv,2024
165000,185000,4,dmv,2024
80000,107000,4,dmv,2024
68900,124550,4,dmv,2024
90000,115000,4,dmv,2024
93000,110000,4,dmv,2024
140690,239140,4,dmv,2024
79816,83856,4,dmv,2024
85800,180200,4,dmv,2024
100100,170200,4,dmv,2024
79816,83856,4,dmv,2024
68640,118560,4,dmv,2024
90000,110000,4,dmv,2024
90000,110000,4,dmv,2024
100000,115042,4,dmv,2024
85800,180200,4,dmv,2024
150000,160000,4,dmv,2024
120001,160000,4,dmv,2024
150000,160000,4,dmv,2024
100000,115042,4,dmv,2024
