software,frequency,job_id,state,report_year
aws,88,3,dmv,2024
azure,166,3,dmv,2024
google-cloud,5,3,dmv,2024
terraform,22,3,dmv,2024
ibm-cloud,0,3,dmv,2024
oracle,3,3,dmv,2024
salesforce,2,3,dmv,2024
vmware-cloud,0,3,dmv,2024
alibaba-cloud,1,3,dmv,2024
digitalocean,0,3,dmv,2024
heroku,0,3,dmv,2024
openstack,0,3,dmv,2024
google-compute-engine,0,3,dmv,2024
azure-virtual-machines,3,3,dmv,2024
google-cloud-functions,0,3,dmv,2024
google-cloud-storage,0,3,dmv,2024
sap-erp,0,3,dmv,2024
red-hat-openshift,0,3,dmv,2024
cloud-foundry,0,3,dmv,2024
ansible,12,3,dmv,2024
apache-hadoop,0,3,dmv,2024
spark,3,3,dmv,2024
pyspark,1,3,dmv,2024
ec2,1,3,dmv,2024
aws-lambda,0,3,dmv,2024
azure-functions,3,3,dmv,2024
s3,1,3,dmv,2024
visual-studio,0,3,dmv,2024
intellij-idea,0,3,dmv,2024
eclipse,0,3,dmv,2024
pycharm,0,3,dmv,2024
atom,0,3,dmv,2024
sublime-text,0,3,dmv,2024
netbeans,0,3,dmv,2024
android-studio,0,3,dmv,2024
xcode,0,3,dmv,2024
webstorm,0,3,dmv,2024
phpstorm,0,3,dmv,2024
rubymine,0,3,dmv,2024
clion,0,3,dmv,2024
appcode,0,3,dmv,2024
rider,0,3,dmv,2024
goland,0,3,dmv,2024
komodo-ide,0,3,dmv,2024
aptana-studio,0,3,dmv,2024
code::blocks,0,3,dmv,2024
qt-creator,0,3,dmv,2024
jupyter-lab,0,3,dmv,2024
jupyter-notebook,0,3,dmv,2024
spyder,0,3,dmv,2024
rstudio,0,3,dmv,2024
anaconda,0,3,dmv,2024
light-table,0,3,dmv,2024
brackets,0,3,dmv,2024
bluej,0,3,dmv,2024
thonny,0,3,dmv,2024
wing-ide,0,3,dmv,2024
emacs,0,3,dmv,2024
vim,0,3,dmv,2024
coda,0,3,dmv,2024
komodo-edit,0,3,dmv,2024
monodevelop,0,3,dmv,2024
sharpdevelop,0,3,dmv,2024
codelite,0,3,dmv,2024
geany,0,3,dmv,2024
kdevelop,0,3,dmv,2024
labview,0,3,dmv,2024
greenfoot,0,3,dmv,2024
oracle-jdeveloper,0,3,dmv,2024
aws-cloud9,0,3,dmv,2024
zend-studio,0,3,dmv,2024
slickedit,0,3,dmv,2024
eclipse-che,0,3,dmv,2024
codewarrior,0,3,dmv,2024
delphi,0,3,dmv,2024
scratch,0,3,dmv,2024
power-bi,1,3,dmv,2024
google-analytics,0,3,dmv,2024
matlab,2,3,dmv,2024
tableau,3,3,dmv,2024
github-actions,0,3,dmv,2024
gitlab-ci/cd,0,3,dmv,2024
amazon-rds,0,3,dmv,2024
google-cloud-sql,0,3,dmv,2024
azure-sql-database,4,3,dmv,2024
mongodb-atlas,0,3,dmv,2024
cassandra,2,3,dmv,2024
redis,1,3,dmv,2024
elasticsearch,3,3,dmv,2024
rabbitmq,0,3,dmv,2024
apache-kafka,0,3,dmv,2024
docker,16,3,dmv,2024
jenkins,9,3,dmv,2024
kubernetes,25,3,dmv,2024
vmware,16,3,dmv,2024
oracle-database,0,3,dmv,2024
mysql,2,3,dmv,2024
microsoft-sql-server,1,3,dmv,2024
postgresql,4,3,dmv,2024
mongodb,2,3,dmv,2024
adobe,0,3,dmv,2024
excel,11,3,dmv,2024
microsoft-office-suite,1,3,dmv,2024
google-workspace,0,3,dmv,2024
slack,0,3,dmv,2024
zoom,0,3,dmv,2024
microsoft-teams,0,3,dmv,2024
trello,0,3,dmv,2024
asana,0,3,dmv,2024
monday.com,0,3,dmv,2024
notion,0,3,dmv,2024
evernote,0,3,dmv,2024
adobe-creative-cloud,0,3,dmv,2024
autocad,0,3,dmv,2024
sketch,0,3,dmv,2024
figma,0,3,dmv,2024
invision,0,3,dmv,2024
jira,6,3,dmv,2024
confluence,4,3,dmv,2024
wrike,0,3,dmv,2024
basecamp,0,3,dmv,2024
github,4,3,dmv,2024
gitlab,2,3,dmv,2024
bitbucket,1,3,dmv,2024
cisco-webex,0,3,dmv,2024
gotomeeting,0,3,dmv,2024
teamviewer,0,3,dmv,2024
ms-office,0,3,dmv,2024
microsoft-word,1,3,dmv,2024
zendesk,0,3,dmv,2024
freshdesk,0,3,dmv,2024
canva,0,3,dmv,2024
dropbox,0,3,dmv,2024
google-drive,0,3,dmv,2024
microsoft-onedrive,0,3,dmv,2024
norton-antivirus,0,3,dmv,2024
mcafee-security,0,3,dmv,2024
sketchup,0,3,dmv,2024
autodesk-revit,0,3,dmv,2024
hubspot,0,3,dmv,2024
mailchimp,0,3,dmv,2024
zoho-crm,0,3,dmv,2024
quickbooks,0,3,dmv,2024
hootsuite,0,3,dmv,2024
sprout-social,0,3,dmv,2024
buffer,0,3,dmv,2024
