education,frequency,job_id,state,report_year
highschool-diploma,0,4,dmv,2024
high-school-diploma,3,4,dmv,2024
associates-degree,0,4,dmv,2024
associate-s-degree,1,4,dmv,2024
bachelors,2,4,dmv,2024
bachelor-s,1,4,dmv,2024
bachelor-s-degree,34,4,dmv,2024
bachelor's,0,4,dmv,2024
bachelors',0,4,dmv,2024
b.s,1,4,dmv,2024
masters,1,4,dmv,2024
master-s,1,4,dmv,2024
master-s-degree,11,4,dmv,2024
master's,0,4,dmv,2024
masters',0,4,dmv,2024
phd,9,4,dmv,2024
ph.d,1,4,dmv,2024
doctoral,0,4,dmv,2024
doctorate,0,4,dmv,2024
