years_experience_recorded,job_id,state,report_year
5,2,dmv,2024
5,2,dmv,2024
5,2,dmv,2024
5,2,dmv,2024
2,2,dmv,2024
5,2,dmv,2024
5,2,dmv,2024
6,2,dmv,2024
7,2,dmv,2024
8,2,dmv,2024
9,2,dmv,2024
10,2,dmv,2024
8,2,dmv,2024
9,2,dmv,2024
10,2,dmv,2024
5,2,dmv,2024
5,2,dmv,2024
7,2,dmv,2024
3,2,dmv,2024
5,2,dmv,2024
3,2,dmv,2024
5,2,dmv,2024
2,2,dmv,2024
5,2,dmv,2024
8,2,dmv,2024
9,2,dmv,2024
10,2,dmv,2024
5,2,dmv,2024
6,2,dmv,2024
7,2,dmv,2024
8,2,dmv,2024
9,2,dmv,2024
10,2,dmv,2024
5,2,dmv,2024
5,2,dmv,2024
3,2,dmv,2024
3,2,dmv,2024
5,2,dmv,2024
1,2,dmv,2024
9,2,dmv,2024
2,2,dmv,2024
5,2,dmv,2024
3,2,dmv,2024
3,2,dmv,2024
5,2,dmv,2024
2,2,dmv,2024
1,2,dmv,2024
