personality_traits,frequency,job_id,state,report_year
abrasive,0,4,dmv,2024
abrupt,0,4,dmv,2024
agonizing,0,4,dmv,2024
aimless,0,4,dmv,2024
airy,0,4,dmv,2024
aloof,0,4,dmv,2024
amoral,0,4,dmv,2024
angry,0,4,dmv,2024
anxious,0,4,dmv,2024
apathetic,0,4,dmv,2024
arbitrary,0,4,dmv,2024
argumentative,0,4,dmv,2024
arrogant,0,4,dmv,2024
asocial,0,4,dmv,2024
assertive,0,4,dmv,2024
astigmatic,0,4,dmv,2024
barbaric,0,4,dmv,2024
bewildered,0,4,dmv,2024
bizarre,0,4,dmv,2024
bland,0,4,dmv,2024
blunt,0,4,dmv,2024
biosterous,0,4,dmv,2024
brittle,0,4,dmv,2024
brutal,0,4,dmv,2024
calculating,0,4,dmv,2024
callous,0,4,dmv,2024
cantakerous,0,4,dmv,2024
careless,0,4,dmv,2024
cautious,0,4,dmv,2024
charmless,0,4,dmv,2024
childish,0,4,dmv,2024
clumsy,0,4,dmv,2024
coarse,0,4,dmv,2024
cold,0,4,dmv,2024
colorless,0,4,dmv,2024
complacent,0,4,dmv,2024
complaintive,0,4,dmv,2024
compulsive,0,4,dmv,2024
conceited,0,4,dmv,2024
condemnatory,0,4,dmv,2024
conformist,0,4,dmv,2024
confused,0,4,dmv,2024
contemptible,0,4,dmv,2024
conventional,0,4,dmv,2024
cowardly,0,4,dmv,2024
crafty,0,4,dmv,2024
crass,0,4,dmv,2024
crazy,0,4,dmv,2024
criminal,1,4,dmv,2024
critical,14,4,dmv,2024
crude,0,4,dmv,2024
cruel,0,4,dmv,2024
cynical,0,4,dmv,2024
decadent,0,4,dmv,2024
deceitful,0,4,dmv,2024
delicate,0,4,dmv,2024
demanding,0,4,dmv,2024
dependent,7,4,dmv,2024
desperate,0,4,dmv,2024
destructive,0,4,dmv,2024
devious,0,4,dmv,2024
difficult,1,4,dmv,2024
dirty,0,4,dmv,2024
disconcerting,0,4,dmv,2024
discontented,0,4,dmv,2024
discouraging,0,4,dmv,2024
discourteous,0,4,dmv,2024
dishonest,0,4,dmv,2024
disloyal,0,4,dmv,2024
disobedient,0,4,dmv,2024
disorderly,0,4,dmv,2024
disorganized,0,4,dmv,2024
disputatious,0,4,dmv,2024
disrespectful,0,4,dmv,2024
disruptive,0,4,dmv,2024
dissolute,0,4,dmv,2024
dissonant,0,4,dmv,2024
distractible,0,4,dmv,2024
disturbing,0,4,dmv,2024
dogmatic,0,4,dmv,2024
domineering,0,4,dmv,2024
dull,0,4,dmv,2024
easily-discouraged,0,4,dmv,2024
egocentric,0,4,dmv,2024
enervated,0,4,dmv,2024
envious,0,4,dmv,2024
erratic,0,4,dmv,2024
escapist,0,4,dmv,2024
excitable,0,4,dmv,2024
expedient,0,4,dmv,2024
extravagant,0,4,dmv,2024
extreme,0,4,dmv,2024
faithless,0,4,dmv,2024
fanatical,0,4,dmv,2024
fanciful,0,4,dmv,2024
fatalistic,0,4,dmv,2024
fawning,0,4,dmv,2024
fearful,0,4,dmv,2024
fickle,0,4,dmv,2024
fiery,0,4,dmv,2024
fixed,0,4,dmv,2024
flamboyant,0,4,dmv,2024
foolish,0,4,dmv,2024
forgetful,0,4,dmv,2024
fraudulent,0,4,dmv,2024
frightening,0,4,dmv,2024
frivolous,0,4,dmv,2024
gloomy,0,4,dmv,2024
graceless,0,4,dmv,2024
grand,1,4,dmv,2024
greedy,0,4,dmv,2024
grim,0,4,dmv,2024
gullible,0,4,dmv,2024
hateful,0,4,dmv,2024
haughty,0,4,dmv,2024
hedonistic,0,4,dmv,2024
hesitant,0,4,dmv,2024
hidebound,0,4,dmv,2024
high-handed,0,4,dmv,2024
hostile,0,4,dmv,2024
ignorant,0,4,dmv,2024
imitative,0,4,dmv,2024
impatient,0,4,dmv,2024
impractical,0,4,dmv,2024
imprudent,0,4,dmv,2024
impulsive,0,4,dmv,2024
inconsiderate,0,4,dmv,2024
incurious,0,4,dmv,2024
indecisive,0,4,dmv,2024
indulgent,0,4,dmv,2024
inert,0,4,dmv,2024
inhibited,0,4,dmv,2024
insecure,0,4,dmv,2024
insensitive,0,4,dmv,2024
insincere,0,4,dmv,2024
insulting,0,4,dmv,2024
intolerant,0,4,dmv,2024
irascible,0,4,dmv,2024
irrational,0,4,dmv,2024
irresponsible,0,4,dmv,2024
irritable,0,4,dmv,2024
lazy,0,4,dmv,2024
libidinous,0,4,dmv,2024
loquacious,0,4,dmv,2024
malicious,0,4,dmv,2024
mannered,0,4,dmv,2024
mannerless,0,4,dmv,2024
mawkish,0,4,dmv,2024
mealymouthed,0,4,dmv,2024
mechanical,2,4,dmv,2024
meddlesome,0,4,dmv,2024
melancholic,0,4,dmv,2024
meretricious,0,4,dmv,2024
messy,0,4,dmv,2024
miserable,0,4,dmv,2024
miserly,0,4,dmv,2024
misguided,0,4,dmv,2024
mistaken,0,4,dmv,2024
money-minded,0,4,dmv,2024
monstrous,0,4,dmv,2024
moody,0,4,dmv,2024
morbid,0,4,dmv,2024
muddle-headed,0,4,dmv,2024
naive,0,4,dmv,2024
narcissistic,0,4,dmv,2024
narrow,0,4,dmv,2024
narrow-minded,0,4,dmv,2024
natty,0,4,dmv,2024
negativistic,0,4,dmv,2024
neglectful,0,4,dmv,2024
neurotic,0,4,dmv,2024
nihilistic,0,4,dmv,2024
obnoxious,0,4,dmv,2024
obsessive,0,4,dmv,2024
obvious,0,4,dmv,2024
odd,0,4,dmv,2024
offhand,0,4,dmv,2024
one-dimensional,0,4,dmv,2024
one-sided,0,4,dmv,2024
opinionated,0,4,dmv,2024
opportunistic,0,4,dmv,2024
oppressed,0,4,dmv,2024
outrageous,0,4,dmv,2024
overimaginative,0,4,dmv,2024
paranoid,0,4,dmv,2024
passive,0,4,dmv,2024
pedantic,0,4,dmv,2024
perverse,0,4,dmv,2024
petty,0,4,dmv,2024
pharissical,0,4,dmv,2024
phlegmatic,0,4,dmv,2024
plodding,0,4,dmv,2024
pompous,0,4,dmv,2024
possessive,0,4,dmv,2024
power-hungry,0,4,dmv,2024
predatory,0,4,dmv,2024
prejudiced,0,4,dmv,2024
presumptuous,0,4,dmv,2024
pretentious,0,4,dmv,2024
prim,0,4,dmv,2024
procrastinating,0,4,dmv,2024
profligate,0,4,dmv,2024
provocative,0,4,dmv,2024
pugnacious,0,4,dmv,2024
puritanical,0,4,dmv,2024
quirky,0,4,dmv,2024
reactionary,0,4,dmv,2024
reactive,0,4,dmv,2024
regimental,0,4,dmv,2024
regretful,0,4,dmv,2024
repentant,0,4,dmv,2024
repressed,0,4,dmv,2024
resentful,0,4,dmv,2024
ridiculous,0,4,dmv,2024
rigid,0,4,dmv,2024
ritualistic,0,4,dmv,2024
rowdy,0,4,dmv,2024
ruined,0,4,dmv,2024
sadistic,0,4,dmv,2024
sanctimonious,0,4,dmv,2024
scheming,0,4,dmv,2024
scornful,0,4,dmv,2024
secretive,0,4,dmv,2024
sedentary,0,4,dmv,2024
selfish,0,4,dmv,2024
self-indulgent,0,4,dmv,2024
shallow,0,4,dmv,2024
shortsighted,0,4,dmv,2024
shy,0,4,dmv,2024
silly,0,4,dmv,2024
single-minded,0,4,dmv,2024
sloppy,0,4,dmv,2024
slow,0,4,dmv,2024
sly,0,4,dmv,2024
small-thinking,0,4,dmv,2024
softheaded,0,4,dmv,2024
sordid,0,4,dmv,2024
steely,0,4,dmv,2024
stiff,0,4,dmv,2024
strong-willed,0,4,dmv,2024
stupid,0,4,dmv,2024
submissive,0,4,dmv,2024
superficial,0,4,dmv,2024
superstitious,0,4,dmv,2024
suspicious,0,4,dmv,2024
tactless,0,4,dmv,2024
tasteless,0,4,dmv,2024
tense,0,4,dmv,2024
thievish,0,4,dmv,2024
thoughtless,0,4,dmv,2024
timid,0,4,dmv,2024
transparent,2,4,dmv,2024
treacherous,0,4,dmv,2024
trendy,0,4,dmv,2024
troublesome,0,4,dmv,2024
unappreciative,0,4,dmv,2024
uncaring,0,4,dmv,2024
uncharitable,0,4,dmv,2024
unconvincing,0,4,dmv,2024
uncooperative,0,4,dmv,2024
uncreative,0,4,dmv,2024
uncritical,0,4,dmv,2024
unctuous,0,4,dmv,2024
undisciplined,0,4,dmv,2024
unfriendly,0,4,dmv,2024
ungrateful,0,4,dmv,2024
unhealthy,0,4,dmv,2024
unimaginative,0,4,dmv,2024
unimpressive,0,4,dmv,2024
unlovable,0,4,dmv,2024
unpolished,0,4,dmv,2024
unprincipled,0,4,dmv,2024
unrealistic,0,4,dmv,2024
unreflective,0,4,dmv,2024
unreliable,0,4,dmv,2024
unrestrained,0,4,dmv,2024
unself-critical,0,4,dmv,2024
unstable,0,4,dmv,2024
vacuous,0,4,dmv,2024
vague,0,4,dmv,2024
venal,0,4,dmv,2024
venomous,0,4,dmv,2024
vindictive,0,4,dmv,2024
vulnerable,0,4,dmv,2024
weak,0,4,dmv,2024
weak-willed,0,4,dmv,2024
well-meaning,0,4,dmv,2024
willful,0,4,dmv,2024
wishful,0,4,dmv,2024
zany,0,4,dmv,2024
absentminded,0,4,dmv,2024
aggressive,0,4,dmv,2024
ambitious,0,4,dmv,2024
amusing,0,4,dmv,2024
artful,0,4,dmv,2024
ascetic,0,4,dmv,2024
authoritarian,0,4,dmv,2024
big-thinking,0,4,dmv,2024
boyish,0,4,dmv,2024
breezy,0,4,dmv,2024
businesslike,0,4,dmv,2024
busy,0,4,dmv,2024
casual,0,4,dmv,2024
crebral,0,4,dmv,2024
chummy,0,4,dmv,2024
circumspect,0,4,dmv,2024
competitive,17,4,dmv,2024
complex,15,4,dmv,2024
confidential,0,4,dmv,2024
conservative,0,4,dmv,2024
contradictory,0,4,dmv,2024
crisp,0,4,dmv,2024
cute,0,4,dmv,2024
deceptive,0,4,dmv,2024
determined,2,4,dmv,2024
dominating,0,4,dmv,2024
dreamy,0,4,dmv,2024
driving,1,4,dmv,2024
droll,0,4,dmv,2024
dry,0,4,dmv,2024
earthy,0,4,dmv,2024
effeminate,0,4,dmv,2024
emotional,0,4,dmv,2024
enigmatic,0,4,dmv,2024
experimental,0,4,dmv,2024
familial,0,4,dmv,2024
folksy,0,4,dmv,2024
formal,0,4,dmv,2024
freewheeling,0,4,dmv,2024
frugal,0,4,dmv,2024
glamorous,0,4,dmv,2024
guileless,0,4,dmv,2024
high-spirited,0,4,dmv,2024
huried,0,4,dmv,2024
hypnotic,0,4,dmv,2024
iconoclastic,0,4,dmv,2024
idiosyncratic,0,4,dmv,2024
impassive,0,4,dmv,2024
impersonal,0,4,dmv,2024
impressionable,0,4,dmv,2024
intense,0,4,dmv,2024
invisible,0,4,dmv,2024
irreligious,0,4,dmv,2024
irreverent,0,4,dmv,2024
maternal,0,4,dmv,2024
mellow,0,4,dmv,2024
modern,0,4,dmv,2024
moralistic,0,4,dmv,2024
mystical,0,4,dmv,2024
neutral,0,4,dmv,2024
noncommittal,0,4,dmv,2024
noncompetitive,0,4,dmv,2024
obedient,0,4,dmv,2024
old-fashined,0,4,dmv,2024
ordinary,0,4,dmv,2024
outspoken,0,4,dmv,2024
paternalistic,0,4,dmv,2024
physical,5,4,dmv,2024
placid,0,4,dmv,2024
political,2,4,dmv,2024
predictable,0,4,dmv,2024
preoccupied,0,4,dmv,2024
private,0,4,dmv,2024
progressive,0,4,dmv,2024
proud,2,4,dmv,2024
pure,0,4,dmv,2024
questioning,0,4,dmv,2024
quiet,0,4,dmv,2024
religious,0,4,dmv,2024
reserved,2,4,dmv,2024
restrained,0,4,dmv,2024
retiring,0,4,dmv,2024
sarcastic,0,4,dmv,2024
self-conscious,0,4,dmv,2024
sensual,0,4,dmv,2024
skeptical,0,4,dmv,2024
smooth,0,4,dmv,2024
soft,0,4,dmv,2024
solemn,0,4,dmv,2024
solitary,0,4,dmv,2024
stern,0,4,dmv,2024
stoiid,0,4,dmv,2024
strict,0,4,dmv,2024
stubborn,0,4,dmv,2024
stylish,0,4,dmv,2024
subjective,0,4,dmv,2024
surprising,0,4,dmv,2024
tough,0,4,dmv,2024
unaggressive,0,4,dmv,2024
unambitious,0,4,dmv,2024
unceremonious,0,4,dmv,2024
unchanging,0,4,dmv,2024
undemanding,0,4,dmv,2024
unfathomable,0,4,dmv,2024
unhurried,0,4,dmv,2024
uninhibited,0,4,dmv,2024
unpatriotic,0,4,dmv,2024
unpredicatable,0,4,dmv,2024
unreligious,0,4,dmv,2024
unsentimental,0,4,dmv,2024
whimsical,0,4,dmv,2024
accessible,5,4,dmv,2024
active,34,4,dmv,2024
adaptable,0,4,dmv,2024
admirable,0,4,dmv,2024
adventurous,0,4,dmv,2024
agreeable,0,4,dmv,2024
alert,0,4,dmv,2024
allocentric,0,4,dmv,2024
amiable,0,4,dmv,2024
anticipative,0,4,dmv,2024
appreciative,0,4,dmv,2024
articulate,0,4,dmv,2024
aspiring,0,4,dmv,2024
athletic,0,4,dmv,2024
attractive,1,4,dmv,2024
balanced,1,4,dmv,2024
benevolent,0,4,dmv,2024
brilliant,0,4,dmv,2024
calm,0,4,dmv,2024
capable,1,4,dmv,2024
captivating,0,4,dmv,2024
caring,0,4,dmv,2024
challenging,0,4,dmv,2024
charismatic,0,4,dmv,2024
charming,0,4,dmv,2024
cheerful,0,4,dmv,2024
clean,0,4,dmv,2024
clear-headed,0,4,dmv,2024
clever,0,4,dmv,2024
colorful,0,4,dmv,2024
companionly,0,4,dmv,2024
compassionate,0,4,dmv,2024
conciliatory,0,4,dmv,2024
confident,0,4,dmv,2024
conscientious,0,4,dmv,2024
considerate,0,4,dmv,2024
constant,0,4,dmv,2024
contemplative,0,4,dmv,2024
cooperative,0,4,dmv,2024
courageous,0,4,dmv,2024
courteous,0,4,dmv,2024
creative,4,4,dmv,2024
cultured,0,4,dmv,2024
curious,0,4,dmv,2024
daring,0,4,dmv,2024
debonair,0,4,dmv,2024
decent,0,4,dmv,2024
decisive,0,4,dmv,2024
dedicated,3,4,dmv,2024
deep,1,4,dmv,2024
dignified,0,4,dmv,2024
directed,0,4,dmv,2024
disciplined,0,4,dmv,2024
discreet,0,4,dmv,2024
dramatic,0,4,dmv,2024
dutiful,0,4,dmv,2024
dynamic,1,4,dmv,2024
earnest,0,4,dmv,2024
ebullient,0,4,dmv,2024
educated,0,4,dmv,2024
efficient,0,4,dmv,2024
elegant,0,4,dmv,2024
eloquent,0,4,dmv,2024
empathetic,0,4,dmv,2024
energetic,0,4,dmv,2024
enthusiastic,0,4,dmv,2024
esthetic,0,4,dmv,2024
exciting,1,4,dmv,2024
extraordinary,0,4,dmv,2024
fair,3,4,dmv,2024
faithful,0,4,dmv,2024
farsighted,0,4,dmv,2024
felicific,0,4,dmv,2024
firm,0,4,dmv,2024
flexible,6,4,dmv,2024
focused,0,4,dmv,2024
forecful,0,4,dmv,2024
forgiving,0,4,dmv,2024
forthright,0,4,dmv,2024
freethinking,0,4,dmv,2024
friendly,0,4,dmv,2024
fun-loving,0,4,dmv,2024
gallant,0,4,dmv,2024
generous,3,4,dmv,2024
gentle,0,4,dmv,2024
genuine,0,4,dmv,2024
good-natured,0,4,dmv,2024
gracious,0,4,dmv,2024
hardworking,0,4,dmv,2024
healthy,0,4,dmv,2024
hearty,0,4,dmv,2024
helpful,0,4,dmv,2024
herioc,0,4,dmv,2024
high-minded,0,4,dmv,2024
honest,0,4,dmv,2024
honorable,0,4,dmv,2024
humble,0,4,dmv,2024
humorous,0,4,dmv,2024
