personality_traits,frequency,job_id,state,report_year
abrasive,0,0,dmv,2024
abrupt,0,0,dmv,2024
agonizing,0,0,dmv,2024
aimless,0,0,dmv,2024
airy,0,0,dmv,2024
aloof,0,0,dmv,2024
amoral,0,0,dmv,2024
angry,0,0,dmv,2024
anxious,0,0,dmv,2024
apathetic,0,0,dmv,2024
arbitrary,0,0,dmv,2024
argumentative,0,0,dmv,2024
arrogant,0,0,dmv,2024
asocial,0,0,dmv,2024
assertive,0,0,dmv,2024
astigmatic,0,0,dmv,2024
barbaric,0,0,dmv,2024
bewildered,0,0,dmv,2024
bizarre,0,0,dmv,2024
bland,0,0,dmv,2024
blunt,0,0,dmv,2024
biosterous,0,0,dmv,2024
brittle,0,0,dmv,2024
brutal,0,0,dmv,2024
calculating,0,0,dmv,2024
callous,0,0,dmv,2024
cantakerous,0,0,dmv,2024
careless,0,0,dmv,2024
cautious,0,0,dmv,2024
charmless,0,0,dmv,2024
childish,0,0,dmv,2024
clumsy,0,0,dmv,2024
coarse,0,0,dmv,2024
cold,0,0,dmv,2024
colorless,0,0,dmv,2024
complacent,0,0,dmv,2024
complaintive,0,0,dmv,2024
compulsive,0,0,dmv,2024
conceited,0,0,dmv,2024
condemnatory,0,0,dmv,2024
conformist,0,0,dmv,2024
confused,0,0,dmv,2024
contemptible,0,0,dmv,2024
conventional,0,0,dmv,2024
cowardly,0,0,dmv,2024
crafty,0,0,dmv,2024
crass,0,0,dmv,2024
crazy,0,0,dmv,2024
criminal,6,0,dmv,2024
critical,9,0,dmv,2024
crude,0,0,dmv,2024
cruel,0,0,dmv,2024
cynical,0,0,dmv,2024
decadent,0,0,dmv,2024
deceitful,0,0,dmv,2024
delicate,0,0,dmv,2024
demanding,0,0,dmv,2024
dependent,4,0,dmv,2024
desperate,0,0,dmv,2024
destructive,0,0,dmv,2024
devious,0,0,dmv,2024
difficult,0,0,dmv,2024
dirty,0,0,dmv,2024
disconcerting,0,0,dmv,2024
discontented,0,0,dmv,2024
discouraging,0,0,dmv,2024
discourteous,0,0,dmv,2024
dishonest,0,0,dmv,2024
disloyal,0,0,dmv,2024
disobedient,0,0,dmv,2024
disorderly,0,0,dmv,2024
disorganized,0,0,dmv,2024
disputatious,0,0,dmv,2024
disrespectful,0,0,dmv,2024
disruptive,0,0,dmv,2024
dissolute,0,0,dmv,2024
dissonant,0,0,dmv,2024
distractible,0,0,dmv,2024
disturbing,0,0,dmv,2024
dogmatic,0,0,dmv,2024
domineering,0,0,dmv,2024
dull,0,0,dmv,2024
easily-discouraged,0,0,dmv,2024
egocentric,0,0,dmv,2024
enervated,0,0,dmv,2024
envious,0,0,dmv,2024
erratic,0,0,dmv,2024
escapist,0,0,dmv,2024
excitable,0,0,dmv,2024
expedient,0,0,dmv,2024
extravagant,0,0,dmv,2024
extreme,2,0,dmv,2024
faithless,0,0,dmv,2024
fanatical,0,0,dmv,2024
fanciful,0,0,dmv,2024
fatalistic,0,0,dmv,2024
fawning,0,0,dmv,2024
fearful,0,0,dmv,2024
fickle,0,0,dmv,2024
fiery,0,0,dmv,2024
fixed,0,0,dmv,2024
flamboyant,0,0,dmv,2024
foolish,0,0,dmv,2024
forgetful,0,0,dmv,2024
fraudulent,0,0,dmv,2024
frightening,0,0,dmv,2024
frivolous,0,0,dmv,2024
gloomy,0,0,dmv,2024
graceless,0,0,dmv,2024
grand,0,0,dmv,2024
greedy,0,0,dmv,2024
grim,0,0,dmv,2024
gullible,0,0,dmv,2024
hateful,0,0,dmv,2024
haughty,0,0,dmv,2024
hedonistic,0,0,dmv,2024
hesitant,0,0,dmv,2024
hidebound,0,0,dmv,2024
high-handed,0,0,dmv,2024
hostile,0,0,dmv,2024
ignorant,0,0,dmv,2024
imitative,0,0,dmv,2024
impatient,0,0,dmv,2024
impractical,0,0,dmv,2024
imprudent,0,0,dmv,2024
impulsive,0,0,dmv,2024
inconsiderate,0,0,dmv,2024
incurious,0,0,dmv,2024
indecisive,0,0,dmv,2024
indulgent,0,0,dmv,2024
inert,0,0,dmv,2024
inhibited,0,0,dmv,2024
insecure,0,0,dmv,2024
insensitive,0,0,dmv,2024
insincere,0,0,dmv,2024
insulting,0,0,dmv,2024
intolerant,0,0,dmv,2024
irascible,0,0,dmv,2024
irrational,0,0,dmv,2024
irresponsible,0,0,dmv,2024
irritable,0,0,dmv,2024
lazy,0,0,dmv,2024
libidinous,0,0,dmv,2024
loquacious,0,0,dmv,2024
malicious,0,0,dmv,2024
mannered,0,0,dmv,2024
mannerless,0,0,dmv,2024
mawkish,0,0,dmv,2024
mealymouthed,0,0,dmv,2024
mechanical,1,0,dmv,2024
meddlesome,0,0,dmv,2024
melancholic,0,0,dmv,2024
meretricious,0,0,dmv,2024
messy,0,0,dmv,2024
miserable,0,0,dmv,2024
miserly,0,0,dmv,2024
misguided,0,0,dmv,2024
mistaken,0,0,dmv,2024
money-minded,0,0,dmv,2024
monstrous,0,0,dmv,2024
moody,0,0,dmv,2024
morbid,0,0,dmv,2024
