personality_traits,frequency,job_id,state,report_year
abrasive,0,1,dmv,2024
abrupt,0,1,dmv,2024
agonizing,0,1,dmv,2024
aimless,0,1,dmv,2024
airy,0,1,dmv,2024
aloof,0,1,dmv,2024
amoral,0,1,dmv,2024
angry,0,1,dmv,2024
anxious,0,1,dmv,2024
apathetic,0,1,dmv,2024
arbitrary,0,1,dmv,2024
argumentative,0,1,dmv,2024
arrogant,0,1,dmv,2024
asocial,0,1,dmv,2024
assertive,0,1,dmv,2024
astigmatic,0,1,dmv,2024
barbaric,0,1,dmv,2024
bewildered,0,1,dmv,2024
bizarre,0,1,dmv,2024
bland,0,1,dmv,2024
blunt,0,1,dmv,2024
biosterous,0,1,dmv,2024
brittle,0,1,dmv,2024
brutal,0,1,dmv,2024
calculating,0,1,dmv,2024
callous,0,1,dmv,2024
cantakerous,0,1,dmv,2024
careless,0,1,dmv,2024
cautious,0,1,dmv,2024
charmless,0,1,dmv,2024
childish,0,1,dmv,2024
clumsy,0,1,dmv,2024
coarse,0,1,dmv,2024
cold,0,1,dmv,2024
colorless,0,1,dmv,2024
complacent,0,1,dmv,2024
complaintive,0,1,dmv,2024
compulsive,0,1,dmv,2024
conceited,0,1,dmv,2024
condemnatory,0,1,dmv,2024
conformist,0,1,dmv,2024
confused,0,1,dmv,2024
contemptible,0,1,dmv,2024
conventional,0,1,dmv,2024
cowardly,0,1,dmv,2024
crafty,0,1,dmv,2024
crass,0,1,dmv,2024
crazy,0,1,dmv,2024
criminal,13,1,dmv,2024
critical,18,1,dmv,2024
crude,0,1,dmv,2024
cruel,0,1,dmv,2024
cynical,0,1,dmv,2024
decadent,0,1,dmv,2024
deceitful,0,1,dmv,2024
delicate,0,1,dmv,2024
demanding,1,1,dmv,2024
dependent,11,1,dmv,2024
desperate,0,1,dmv,2024
destructive,0,1,dmv,2024
devious,0,1,dmv,2024
difficult,0,1,dmv,2024
dirty,0,1,dmv,2024
disconcerting,0,1,dmv,2024
discontented,0,1,dmv,2024
discouraging,0,1,dmv,2024
discourteous,0,1,dmv,2024
dishonest,0,1,dmv,2024
disloyal,0,1,dmv,2024
disobedient,0,1,dmv,2024
disorderly,0,1,dmv,2024
disorganized,0,1,dmv,2024
disputatious,0,1,dmv,2024
disrespectful,0,1,dmv,2024
disruptive,0,1,dmv,2024
dissolute,0,1,dmv,2024
dissonant,0,1,dmv,2024
distractible,0,1,dmv,2024
disturbing,0,1,dmv,2024
dogmatic,0,1,dmv,2024
domineering,0,1,dmv,2024
dull,0,1,dmv,2024
easily-discouraged,0,1,dmv,2024
egocentric,0,1,dmv,2024
enervated,0,1,dmv,2024
envious,0,1,dmv,2024
erratic,0,1,dmv,2024
escapist,0,1,dmv,2024
excitable,0,1,dmv,2024
expedient,0,1,dmv,2024
extravagant,0,1,dmv,2024
extreme,0,1,dmv,2024
faithless,0,1,dmv,2024
fanatical,0,1,dmv,2024
fanciful,0,1,dmv,2024
fatalistic,0,1,dmv,2024
fawning,0,1,dmv,2024
fearful,0,1,dmv,2024
fickle,0,1,dmv,2024
fiery,0,1,dmv,2024
fixed,0,1,dmv,2024
flamboyant,0,1,dmv,2024
foolish,0,1,dmv,2024
forgetful,0,1,dmv,2024
fraudulent,0,1,dmv,2024
frightening,0,1,dmv,2024
frivolous,0,1,dmv,2024
gloomy,0,1,dmv,2024
graceless,0,1,dmv,2024
grand,0,1,dmv,2024
greedy,0,1,dmv,2024
grim,0,1,dmv,2024
gullible,0,1,dmv,2024
hateful,0,1,dmv,2024
haughty,0,1,dmv,2024
hedonistic,0,1,dmv,2024
hesitant,0,1,dmv,2024
hidebound,0,1,dmv,2024
high-handed,0,1,dmv,2024
hostile,0,1,dmv,2024
ignorant,0,1,dmv,2024
imitative,0,1,dmv,2024
impatient,0,1,dmv,2024
impractical,0,1,dmv,2024
imprudent,0,1,dmv,2024
impulsive,0,1,dmv,2024
inconsiderate,0,1,dmv,2024
incurious,0,1,dmv,2024
indecisive,0,1,dmv,2024
indulgent,0,1,dmv,2024
inert,0,1,dmv,2024
inhibited,0,1,dmv,2024
insecure,0,1,dmv,2024
insensitive,0,1,dmv,2024
insincere,0,1,dmv,2024
insulting,0,1,dmv,2024
intolerant,0,1,dmv,2024
irascible,0,1,dmv,2024
irrational,0,1,dmv,2024
irresponsible,0,1,dmv,2024
irritable,0,1,dmv,2024
lazy,0,1,dmv,2024
libidinous,0,1,dmv,2024
loquacious,0,1,dmv,2024
malicious,0,1,dmv,2024
mannered,0,1,dmv,2024
mannerless,0,1,dmv,2024
mawkish,0,1,dmv,2024
mealymouthed,0,1,dmv,2024
mechanical,0,1,dmv,2024
meddlesome,0,1,dmv,2024
melancholic,0,1,dmv,2024
meretricious,0,1,dmv,2024
messy,0,1,dmv,2024
miserable,0,1,dmv,2024
miserly,0,1,dmv,2024
misguided,0,1,dmv,2024
mistaken,0,1,dmv,2024
money-minded,0,1,dmv,2024
monstrous,0,1,dmv,2024
moody,0,1,dmv,2024
morbid,0,1,dmv,2024
muddle-headed,0,1,dmv,2024
naive,0,1,dmv,2024
narcissistic,0,1,dmv,2024
narrow,0,1,dmv,2024
narrow-minded,0,1,dmv,2024
natty,0,1,dmv,2024
negativistic,0,1,dmv,2024
neglectful,0,1,dmv,2024
neurotic,0,1,dmv,2024
nihilistic,0,1,dmv,2024
obnoxious,0,1,dmv,2024
obsessive,0,1,dmv,2024
obvious,0,1,dmv,2024
odd,0,1,dmv,2024
offhand,0,1,dmv,2024
one-dimensional,0,1,dmv,2024
one-sided,0,1,dmv,2024
opinionated,0,1,dmv,2024
opportunistic,0,1,dmv,2024
oppressed,0,1,dmv,2024
outrageous,0,1,dmv,2024
overimaginative,0,1,dmv,2024
paranoid,0,1,dmv,2024
passive,0,1,dmv,2024
pedantic,0,1,dmv,2024
perverse,0,1,dmv,2024
petty,0,1,dmv,2024
pharissical,0,1,dmv,2024
phlegmatic,0,1,dmv,2024
plodding,0,1,dmv,2024
pompous,0,1,dmv,2024
possessive,0,1,dmv,2024
power-hungry,0,1,dmv,2024
predatory,0,1,dmv,2024
prejudiced,0,1,dmv,2024
presumptuous,0,1,dmv,2024
pretentious,0,1,dmv,2024
prim,0,1,dmv,2024
procrastinating,0,1,dmv,2024
profligate,0,1,dmv,2024
provocative,0,1,dmv,2024
pugnacious,0,1,dmv,2024
puritanical,0,1,dmv,2024
quirky,0,1,dmv,2024
reactionary,0,1,dmv,2024
reactive,0,1,dmv,2024
regimental,0,1,dmv,2024
regretful,0,1,dmv,2024
repentant,0,1,dmv,2024
repressed,0,1,dmv,2024
resentful,0,1,dmv,2024
ridiculous,0,1,dmv,2024
rigid,0,1,dmv,2024
ritualistic,0,1,dmv,2024
rowdy,0,1,dmv,2024
ruined,0,1,dmv,2024
sadistic,0,1,dmv,2024
sanctimonious,0,1,dmv,2024
scheming,0,1,dmv,2024
scornful,0,1,dmv,2024
secretive,0,1,dmv,2024
sedentary,0,1,dmv,2024
selfish,0,1,dmv,2024
self-indulgent,0,1,dmv,2024
shallow,0,1,dmv,2024
shortsighted,0,1,dmv,2024
shy,0,1,dmv,2024
silly,0,1,dmv,2024
single-minded,0,1,dmv,2024
sloppy,0,1,dmv,2024
slow,0,1,dmv,2024
sly,0,1,dmv,2024
small-thinking,0,1,dmv,2024
softheaded,0,1,dmv,2024
sordid,0,1,dmv,2024
steely,0,1,dmv,2024
stiff,0,1,dmv,2024
strong-willed,0,1,dmv,2024
stupid,0,1,dmv,2024
submissive,0,1,dmv,2024
superficial,0,1,dmv,2024
superstitious,0,1,dmv,2024
suspicious,0,1,dmv,2024
tactless,0,1,dmv,2024
tasteless,0,1,dmv,2024
tense,0,1,dmv,2024
thievish,0,1,dmv,2024
thoughtless,0,1,dmv,2024
timid,0,1,dmv,2024
transparent,0,1,dmv,2024
treacherous,0,1,dmv,2024
trendy,0,1,dmv,2024
troublesome,0,1,dmv,2024
unappreciative,0,1,dmv,2024
uncaring,0,1,dmv,2024
uncharitable,0,1,dmv,2024
unconvincing,0,1,dmv,2024
uncooperative,0,1,dmv,2024
uncreative,0,1,dmv,2024
uncritical,0,1,dmv,2024
unctuous,0,1,dmv,2024
undisciplined,0,1,dmv,2024
unfriendly,0,1,dmv,2024
ungrateful,0,1,dmv,2024
unhealthy,0,1,dmv,2024
unimaginative,0,1,dmv,2024
unimpressive,0,1,dmv,2024
unlovable,0,1,dmv,2024
unpolished,0,1,dmv,2024
unprincipled,0,1,dmv,2024
unrealistic,0,1,dmv,2024
unreflective,0,1,dmv,2024
unreliable,0,1,dmv,2024
unrestrained,0,1,dmv,2024
unself-critical,0,1,dmv,2024
unstable,0,1,dmv,2024
vacuous,0,1,dmv,2024
vague,0,1,dmv,2024
venal,0,1,dmv,2024
venomous,0,1,dmv,2024
vindictive,0,1,dmv,2024
vulnerable,2,1,dmv,2024
weak,0,1,dmv,2024
weak-willed,0,1,dmv,2024
well-meaning,0,1,dmv,2024
willful,0,1,dmv,2024
wishful,0,1,dmv,2024
zany,0,1,dmv,2024
absentminded,0,1,dmv,2024
aggressive,0,1,dmv,2024
ambitious,0,1,dmv,2024
amusing,0,1,dmv,2024
artful,0,1,dmv,2024
ascetic,0,1,dmv,2024
authoritarian,0,1,dmv,2024
big-thinking,0,1,dmv,2024
boyish,0,1,dmv,2024
breezy,0,1,dmv,2024
businesslike,0,1,dmv,2024
busy,0,1,dmv,2024
casual,3,1,dmv,2024
crebral,0,1,dmv,2024
chummy,0,1,dmv,2024
circumspect,0,1,dmv,2024
competitive,24,1,dmv,2024
complex,40,1,dmv,2024
confidential,5,1,dmv,2024
conservative,0,1,dmv,2024
contradictory,0,1,dmv,2024
crisp,0,1,dmv,2024
cute,0,1,dmv,2024
deceptive,0,1,dmv,2024
determined,4,1,dmv,2024
dominating,0,1,dmv,2024
dreamy,0,1,dmv,2024
driving,5,1,dmv,2024
droll,0,1,dmv,2024
dry,0,1,dmv,2024
earthy,0,1,dmv,2024
effeminate,0,1,dmv,2024
emotional,0,1,dmv,2024
enigmatic,0,1,dmv,2024
experimental,0,1,dmv,2024
familial,4,1,dmv,2024
folksy,0,1,dmv,2024
formal,9,1,dmv,2024
freewheeling,0,1,dmv,2024
frugal,0,1,dmv,2024
glamorous,0,1,dmv,2024
guileless,0,1,dmv,2024
high-spirited,0,1,dmv,2024
huried,0,1,dmv,2024
hypnotic,0,1,dmv,2024
iconoclastic,0,1,dmv,2024
idiosyncratic,0,1,dmv,2024
impassive,0,1,dmv,2024
impersonal,0,1,dmv,2024
impressionable,0,1,dmv,2024
intense,0,1,dmv,2024
invisible,0,1,dmv,2024
irreligious,0,1,dmv,2024
irreverent,0,1,dmv,2024
maternal,0,1,dmv,2024
mellow,0,1,dmv,2024
modern,8,1,dmv,2024
moralistic,0,1,dmv,2024
mystical,0,1,dmv,2024
neutral,0,1,dmv,2024
noncommittal,0,1,dmv,2024
noncompetitive,0,1,dmv,2024
obedient,0,1,dmv,2024
