programming_languages,frequency,job_id,state,report_year
javascript,0,2,dmv,2024
python,0,2,dmv,2024
java,0,2,dmv,2024
c#,0,2,dmv,2024
c++,0,2,dmv,2024
typescript,0,2,dmv,2024
php,0,2,dmv,2024
swift,0,2,dmv,2024
ruby,0,2,dmv,2024
kotlin,0,2,dmv,2024
rust,0,2,dmv,2024
sql,0,2,dmv,2024
nosql,0,2,dmv,2024
postgresql,0,2,dmv,2024
dart,0,2,dmv,2024
scala,0,2,dmv,2024
shell,0,2,dmv,2024
powershell,0,2,dmv,2024
perl,0,2,dmv,2024
r,0,2,dmv,2024
groovy,0,2,dmv,2024
matlab,0,2,dmv,2024
vba,0,2,dmv,2024
lua,0,2,dmv,2024
julia,0,2,dmv,2024
haskell,0,2,dmv,2024
object-pascal,0,2,dmv,2024
objective-c,0,2,dmv,2024
clojure,0,2,dmv,2024
elixir,0,2,dmv,2024
elm,0,2,dmv,2024
erlang,0,2,dmv,2024
apex,0,2,dmv,2024
fortran,0,2,dmv,2024
cobol,0,2,dmv,2024
f#,0,2,dmv,2024
common-lisp,0,2,dmv,2024
ada,0,2,dmv,2024
scheme,0,2,dmv,2024
prolog,0,2,dmv,2024
assembly-language,0,2,dmv,2024
vb.net,0,2,dmv,2024
actionscript,0,2,dmv,2024
crystal,0,2,dmv,2024
coffeescript,0,2,dmv,2024
ocaml,0,2,dmv,2024
abap,0,2,dmv,2024
scratch,0,2,dmv,2024
racket,0,2,dmv,2024
smalltalk,0,2,dmv,2024
labview,0,2,dmv,2024
pl/sql,0,2,dmv,2024
sas,0,2,dmv,2024
tcl,0,2,dmv,2024
awk,0,2,dmv,2024
nim,0,2,dmv,2024
reason,0,2,dmv,2024
solidity,0,2,dmv,2024
puppet,0,2,dmv,2024
purescript,0,2,dmv,2024
zig,0,2,dmv,2024
chapel,0,2,dmv,2024
mercury,0,2,dmv,2024
io,0,2,dmv,2024
cobolscript,0,2,dmv,2024
ring,0,2,dmv,2024
bison,0,2,dmv,2024
korn-shell,0,2,dmv,2024
ceylon,0,2,dmv,2024
vala,0,2,dmv,2024
livescript,0,2,dmv,2024
ballerina,0,2,dmv,2024
picolisp,0,2,dmv,2024
fantom,0,2,dmv,2024
pike,0,2,dmv,2024
haxe,0,2,dmv,2024
idris,0,2,dmv,2024
icon,0,2,dmv,2024
q#,0,2,dmv,2024
j#,0,2,dmv,2024
applescript,0,2,dmv,2024
squirrel,0,2,dmv,2024
postscript,0,2,dmv,2024
maple,0,2,dmv,2024
mql4/5,0,2,dmv,2024
ren'py,0,2,dmv,2024
oberon,0,2,dmv,2024
wolfram-language,0,2,dmv,2024
xbase,0,2,dmv,2024
sparql,0,2,dmv,2024
angelscript,0,2,dmv,2024
xojo,0,2,dmv,2024
yacc,0,2,dmv,2024
janus,0,2,dmv,2024
raku,0,2,dmv,2024
f*,0,2,dmv,2024
systemverilog,0,2,dmv,2024
json,0,2,dmv,2024
yaml,0,2,dmv,2024
excel-vba,0,2,dmv,2024
shell-scripting,0,2,dmv,2024
apl,0,2,dmv,2024
spss,0,2,dmv,2024
stata,0,2,dmv,2024
