pay_low_end,pay_high_end,job_id,state,report_year
114000,195400,4,dmv,2024
115889,197011,4,dmv,2024
143600,239300,4,dmv,2024
146000,234000,4,dmv,2024
84600,193000,4,dmv,2024
111845,170147,4,dmv,2024
196880,295320,4,dmv,2024
96400,168700,4,dmv,2024
76000,236500,4,dmv,2024
150000,160000,4,dmv,2024
96038,209169,4,dmv,2024
96038,190154,4,dmv,2024
116205,209169,4,dmv,2024
96038,209169,4,dmv,2024
105641,190154,4,dmv,2024
96038,209169,4,dmv,2024
92290,156860,4,dmv,2024
96038,209169,4,dmv,2024
96038,190154,4,dmv,2024
116205,209169,4,dmv,2024
96038,209169,4,dmv,2024
105641,190154,4,dmv,2024
96038,209169,4,dmv,2024
98000,140000,4,dmv,2024
111845,170147,4,dmv,2024
76000,236500,4,dmv,2024
150000,175000,4,dmv,2024
146000,234000,4,dmv,2024
94400,126000,4,dmv,2024
