pay_low_end,pay_high_end,job_id,state,report_year
42000,62500,0,dmv,2024
50000,65000,0,dmv,2024
66900,93400,0,dmv,2024
66900,93400,0,dmv,2024
88000,173200,0,dmv,2024
78000,118000,0,dmv,2024
59469,101098,0,dmv,2024
58400,133000,0,dmv,2024
68900,124550,0,dmv,2024
147300,250400,0,dmv,2024
70720,83200,0,dmv,2024
70720,83200,0,dmv,2024
68900,124550,0,dmv,2024
73100,166000,0,dmv,2024
68000,88000,0,dmv,2024
60000,90000,0,dmv,2024
95000,100000,0,dmv,2024
68900,124550,0,dmv,2024
68000,88000,0,dmv,2024
68900,124550,0,dmv,2024
147300,250400,0,dmv,2024
