pay_low_end,pay_high_end,job_id,state,report_year
83550,178603,1,dmv,2024
83550,162366,1,dmv,2024
101096,178603,1,dmv,2024
83550,178603,1,dmv,2024
83550,178603,1,dmv,2024
95000,115000,1,dmv,2024
160000,180000,1,dmv,2024
105000,125000,1,dmv,2024
80000,120000,1,dmv,2024
200000,250000,1,dmv,2024
150000,180000,1,dmv,2024
160000,250000,1,dmv,2024
125000,270000,1,dmv,2024
100000,215000,1,dmv,2024
123219,167565,1,dmv,2024
100000,215000,1,dmv,2024
96400,168700,1,dmv,2024
118129,200864,1,dmv,2024
143000,200000,1,dmv,2024
155000,165000,1,dmv,2024
118129,200864,1,dmv,2024
96400,168700,1,dmv,2024
110100,250000,1,dmv,2024
180000,196000,1,dmv,2024
175000,250000,1,dmv,2024
108000,131000,1,dmv,2024
108000,131000,1,dmv,2024
146000,234000,1,dmv,2024
112000,218400,1,dmv,2024
145800,238600,1,dmv,2024
130000,270000,1,dmv,2024
145000,150000,1,dmv,2024
102900,216200,1,dmv,2024
84600,193000,1,dmv,2024
