skillset,frequency,job_id,state,report_year
data-analysis,21,0,dmv,2024
coding,1,0,dmv,2024
software-development,16,0,dmv,2024
project-management,10,0,dmv,2024
cybersecurity,1,0,dmv,2024
cloud-computing,0,0,dmv,2024
artificial-intelligence,3,0,dmv,2024
ai,4,0,dmv,2024
machine-learning,12,0,dmv,2024
database-management,1,0,dmv,2024
web-development,0,0,dmv,2024
mobile-app-development,0,0,dmv,2024
ui-design,0,0,dmv,2024
ux-design,0,0,dmv,2024
graphic-design,0,0,dmv,2024
video-production,0,0,dmv,2024
seo/sem-marketing,0,0,dmv,2024
digital-marketing,0,0,dmv,2024
content-writing,0,0,dmv,2024
editing,1,0,dmv,2024
proofreading,0,0,dmv,2024
technical-writing,0,0,dmv,2024
blockchain,0,0,dmv,2024
devops,0,0,dmv,2024
network-architecture,0,0,dmv,2024
data-visualization,16,0,dmv,2024
crm-software,0,0,dmv,2024
erp-systems,0,0,dmv,2024
financial-modeling,0,0,dmv,2024
accounting-software,0,0,dmv,2024
e-commerce,0,0,dmv,2024
social-media-management,0,0,dmv,2024
email-marketing,0,0,dmv,2024
cloud-security,1,0,dmv,2024
quantum-computing,0,0,dmv,2024
robotics,0,0,dmv,2024
3d-printing,0,0,dmv,2024
augmented-reality,0,0,dmv,2024
virtual-reality,0,0,dmv,2024
iot,0,0,dmv,2024
bioinformatics,1,0,dmv,2024
biometrics,0,0,dmv,2024
computational-thinking,0,0,dmv,2024
statistical-analysis,1,0,dmv,2024
cad-software,0,0,dmv,2024
digital-photography,0,0,dmv,2024
podcasting,0,0,dmv,2024
data-mining,0,0,dmv,2024
ethical-hacking,0,0,dmv,2024
linux-system-administration,0,0,dmv,2024
cloud-infrastructure-management,0,0,dmv,2024
quality-assurance-testing,0,0,dmv,2024
regulatory-compliance,0,0,dmv,2024
technical-support,3,0,dmv,2024
troubleshooting,4,0,dmv,2024
time-management,8,0,dmv,2024
reliability,8,0,dmv,2024
professionalism,0,0,dmv,2024
responsibility,3,0,dmv,2024
punctuality,0,0,dmv,2024
dedication,0,0,dmv,2024
work-life-balance,0,0,dmv,2024
stress-management,0,0,dmv,2024
resilience,1,0,dmv,2024
persistence,0,0,dmv,2024
patience,0,0,dmv,2024
proactivity,0,0,dmv,2024
flexibility,4,0,dmv,2024
adaptability,2,0,dmv,2024
self-motivation,0,0,dmv,2024
goal-setting,2,0,dmv,2024
self-discipline,0,0,dmv,2024
organization,25,0,dmv,2024
attention-to-detail,5,0,dmv,2024
critical-thinking,1,0,dmv,2024
problem-solving,10,0,dmv,2024
decision-making,13,0,dmv,2024
creativity,1,0,dmv,2024
innovation,2,0,dmv,2024
entrepreneurship,0,0,dmv,2024
active-listening,0,0,dmv,2024
verbal-communication,4,0,dmv,2024
written-communication,9,0,dmv,2024
public-speaking,0,0,dmv,2024
interpersonal-skills,8,0,dmv,2024
collaboration,7,0,dmv,2024
teamwork,2,0,dmv,2024
networking,2,0,dmv,2024
persuasion,0,0,dmv,2024
influence,5,0,dmv,2024
critical-observation,0,0,dmv,2024
curiosity,1,0,dmv,2024
open-mindedness,0,0,dmv,2024
willingness-to-learn,0,0,dmv,2024
cultural-awareness,0,0,dmv,2024
compassion,0,0,dmv,2024
trustworthiness,0,0,dmv,2024
honesty,0,0,dmv,2024
integrity,8,0,dmv,2024
ethical-judgment,0,0,dmv,2024
gratitude,0,0,dmv,2024
positivity,1,0,dmv,2024
confidence,2,0,dmv,2024
humility,0,0,dmv,2024
tolerance,1,0,dmv,2024
diplomacy,0,0,dmv,2024
assertiveness,0,0,dmv,2024
mindfulness,0,0,dmv,2024
dispute-mediation,0,0,dmv,2024
customer-orientation,0,0,dmv,2024
service-mindset,0,0,dmv,2024
personal-branding,0,0,dmv,2024
personal-finance-management,0,0,dmv,2024
environmental-awareness,0,0,dmv,2024
health-and-safety-awareness,0,0,dmv,2024
digital-literacy,0,0,dmv,2024
information-literacy,0,0,dmv,2024
data-privacy-awareness,0,0,dmv,2024
cybersecurity-basics,0,0,dmv,2024
e-literacy,0,0,dmv,2024
online-collaboration-tools,0,0,dmv,2024
remote-work-management,0,0,dmv,2024
time-zone-sensitivity,0,0,dmv,2024
virtual-meeting-etiquette,0,0,dmv,2024
cloud-storage-and-sharing,0,0,dmv,2024
digital-nomadism-skills,0,0,dmv,2024
online-research,0,0,dmv,2024
e-learning-skills,0,0,dmv,2024
self-paced-learning,0,0,dmv,2024
strategic-planning,2,0,dmv,2024
leadership,29,0,dmv,2024
team-building,0,0,dmv,2024
conflict-resolution,0,0,dmv,2024
performance-management,0,0,dmv,2024
budgeting,7,0,dmv,2024
negotiation,0,0,dmv,2024
delegation,0,0,dmv,2024
communication,28,0,dmv,2024
empathy,0,0,dmv,2024
emotional-intelligence,0,0,dmv,2024
feedback-giving,0,0,dmv,2024
diversity-and-inclusion,1,0,dmv,2024
change-management,5,0,dmv,2024
risk-management,3,0,dmv,2024
project-planning,3,0,dmv,2024
resource-allocation,1,0,dmv,2024
stakeholder-management,0,0,dmv,2024
sales-strategy,0,0,dmv,2024
marketing-strategy,0,0,dmv,2024
product-management,0,0,dmv,2024
operations-management,0,0,dmv,2024
customer-service-management,0,0,dmv,2024
supply-chain-management,1,0,dmv,2024
business-development,3,0,dmv,2024
