skillset,frequency,job_id,state,report_year
data-analysis,2,1,dmv,2024
coding,13,1,dmv,2024
software-development,60,1,dmv,2024
project-management,8,1,dmv,2024
cybersecurity,20,1,dmv,2024
cloud-computing,7,1,dmv,2024
artificial-intelligence,5,1,dmv,2024
ai,27,1,dmv,2024
machine-learning,14,1,dmv,2024
database-management,2,1,dmv,2024
web-development,13,1,dmv,2024
mobile-app-development,0,1,dmv,2024
ui-design,0,1,dmv,2024
ux-design,3,1,dmv,2024
graphic-design,1,1,dmv,2024
video-production,0,1,dmv,2024
seo/sem-marketing,0,1,dmv,2024
digital-marketing,1,1,dmv,2024
content-writing,0,1,dmv,2024
editing,0,1,dmv,2024
proofreading,0,1,dmv,2024
technical-writing,0,1,dmv,2024
blockchain,0,1,dmv,2024
devops,33,1,dmv,2024
network-architecture,1,1,dmv,2024
data-visualization,3,1,dmv,2024
crm-software,0,1,dmv,2024
erp-systems,0,1,dmv,2024
financial-modeling,0,1,dmv,2024
accounting-software,0,1,dmv,2024
e-commerce,0,1,dmv,2024
social-media-management,0,1,dmv,2024
email-marketing,0,1,dmv,2024
cloud-security,2,1,dmv,2024
quantum-computing,0,1,dmv,2024
robotics,1,1,dmv,2024
3d-printing,0,1,dmv,2024
augmented-reality,0,1,dmv,2024
virtual-reality,0,1,dmv,2024
iot,2,1,dmv,2024
bioinformatics,0,1,dmv,2024
biometrics,0,1,dmv,2024
computational-thinking,0,1,dmv,2024
statistical-analysis,1,1,dmv,2024
cad-software,0,1,dmv,2024
digital-photography,0,1,dmv,2024
podcasting,0,1,dmv,2024
data-mining,0,1,dmv,2024
ethical-hacking,0,1,dmv,2024
linux-system-administration,0,1,dmv,2024
cloud-infrastructure-management,0,1,dmv,2024
quality-assurance-testing,0,1,dmv,2024
regulatory-compliance,0,1,dmv,2024
technical-support,5,1,dmv,2024
troubleshooting,14,1,dmv,2024
time-management,2,1,dmv,2024
reliability,8,1,dmv,2024
professionalism,0,1,dmv,2024
responsibility,4,1,dmv,2024
punctuality,0,1,dmv,2024
dedication,6,1,dmv,2024
work-life-balance,2,1,dmv,2024
stress-management,0,1,dmv,2024
resilience,0,1,dmv,2024
persistence,0,1,dmv,2024
patience,0,1,dmv,2024
proactivity,0,1,dmv,2024
flexibility,9,1,dmv,2024
adaptability,1,1,dmv,2024
self-motivation,0,1,dmv,2024
goal-setting,0,1,dmv,2024
self-discipline,0,1,dmv,2024
organization,26,1,dmv,2024
attention-to-detail,4,1,dmv,2024
critical-thinking,1,1,dmv,2024
problem-solving,26,1,dmv,2024
decision-making,5,1,dmv,2024
creativity,8,1,dmv,2024
innovation,15,1,dmv,2024
entrepreneurship,0,1,dmv,2024
active-listening,0,1,dmv,2024
verbal-communication,2,1,dmv,2024
written-communication,9,1,dmv,2024
public-speaking,0,1,dmv,2024
interpersonal-skills,0,1,dmv,2024
collaboration,8,1,dmv,2024
teamwork,7,1,dmv,2024
networking,27,1,dmv,2024
persuasion,0,1,dmv,2024
influence,3,1,dmv,2024
critical-observation,0,1,dmv,2024
curiosity,0,1,dmv,2024
open-mindedness,0,1,dmv,2024
willingness-to-learn,2,1,dmv,2024
cultural-awareness,0,1,dmv,2024
compassion,0,1,dmv,2024
trustworthiness,0,1,dmv,2024
honesty,0,1,dmv,2024
integrity,4,1,dmv,2024
ethical-judgment,0,1,dmv,2024
gratitude,0,1,dmv,2024
positivity,0,1,dmv,2024
confidence,3,1,dmv,2024
humility,0,1,dmv,2024
tolerance,0,1,dmv,2024
diplomacy,0,1,dmv,2024
assertiveness,0,1,dmv,2024
mindfulness,0,1,dmv,2024
dispute-mediation,0,1,dmv,2024
customer-orientation,0,1,dmv,2024
service-mindset,0,1,dmv,2024
personal-branding,0,1,dmv,2024
personal-finance-management,0,1,dmv,2024
environmental-awareness,0,1,dmv,2024
health-and-safety-awareness,0,1,dmv,2024
digital-literacy,0,1,dmv,2024
information-literacy,0,1,dmv,2024
data-privacy-awareness,0,1,dmv,2024
cybersecurity-basics,0,1,dmv,2024
e-literacy,0,1,dmv,2024
online-collaboration-tools,0,1,dmv,2024
remote-work-management,0,1,dmv,2024
time-zone-sensitivity,0,1,dmv,2024
virtual-meeting-etiquette,0,1,dmv,2024
cloud-storage-and-sharing,0,1,dmv,2024
digital-nomadism-skills,0,1,dmv,2024
online-research,0,1,dmv,2024
e-learning-skills,0,1,dmv,2024
self-paced-learning,0,1,dmv,2024
strategic-planning,1,1,dmv,2024
leadership,15,1,dmv,2024
team-building,1,1,dmv,2024
conflict-resolution,0,1,dmv,2024
performance-management,0,1,dmv,2024
budgeting,1,1,dmv,2024
negotiation,0,1,dmv,2024
delegation,0,1,dmv,2024
communication,26,1,dmv,2024
empathy,1,1,dmv,2024
emotional-intelligence,0,1,dmv,2024
feedback-giving,0,1,dmv,2024
diversity-and-inclusion,10,1,dmv,2024
change-management,0,1,dmv,2024
risk-management,0,1,dmv,2024
project-planning,0,1,dmv,2024
resource-allocation,0,1,dmv,2024
stakeholder-management,1,1,dmv,2024
sales-strategy,0,1,dmv,2024
marketing-strategy,0,1,dmv,2024
product-management,0,1,dmv,2024
operations-management,0,1,dmv,2024
customer-service-management,0,1,dmv,2024
supply-chain-management,1,1,dmv,2024
business-development,1,1,dmv,2024
