numb_description,job_description
1,"job description:  about aegis the aegis companies provide expert project control services to the construction industry s most respected contractors, owners, and operators. headquartered in silver spring, md, we employ driven professionals dedicated to keeping construction projects on time and within budget. aegis provides all new employees with the training, opportunities, and tools to be the top project controls professionals in the industry. experienced construction professionals contribute their unique experience and ideas to strengthen our organization. employees new to the industry learn the “aegis way” and earn the opportunity to become trusted senior staff. with over two decades of experience solving the industry s toughest challenges, our regional offices throughout the united states and europe enable our team members to work on projects anywhere in the world. about the role we seek a project controls engineer to provide scheduling support services to our valued clients. this position will work with a team of professionals, including client project managers, construction professionals, and project stakeholders, to develop, manage, and monitor cpm schedules and project control systems throughout a project s life cycle. if you are ready for an opportunity with tremendous growth potential, join our team! general responsibilities include: development, maintenance, and monitoring of construction cpm schedules. review project documents and specifications to accurately develop baseline schedules, including all required dates, activities, and milestones. perform progress schedule updates to include comprehensive reporting and narratives. review project schedules and provide recommendations based on execution goals. perform critical path analyses, identify schedule-related problems, and recommend corrective actions. conduct site walks for progress validation and prepare monthly reporting packages for the project site team. review contractor s progress and present to management for decision-making develop metrics, kpis, and benchmarks to support the program cost and resource management and reporting. identification and evaluation of risk and impacts within project schedules. communicate project status and challenges effectively meet with project teams, clients, owners, and various stakeholders. requirements: five or more years of experience in project controls and cpm scheduling within the vertical construction industry. bachelor s degree in architecture, engineering, construction, project management, or a related field. this requirement may be waived with five or more years of direct, vertical construction industry experience. proficiency in oracle primavera p6 ability to accurately interpret construction documents knowledge of construction means, methods, and sequences experience developing construction project schedules for projects over $100m cost and resource management and reporting familiarity with contractual clauses as they apply to planning and scheduling excellent oral and written communication skills ability to work in a fast-paced environment and handle multiple projects simultaneously aacei psp or pmi-sp certification(s) preferred this role may include travel to site construction locations within the region. benefits and perks: healthcare, dental, and vision insurance 401(k) + employer match life and ad&amp;d coverage 100% employer-paid voluntary life, accident, critical illness, and hospital indemnity insurance life assistance program paid time off + 10 paid holidays wellness program squishy rhinos team events 

 "
2," 

 job description:  cloud infrastructure support engineer key role: manage, administer, support, and enhance cloud environments, ensuring continuous improvement and rapid problem resolution. design, install, configure, and maintain the organization s it infrastructure, including cloud, hybrid, or on-prem to meet the business needs. monitor and troubleshoot problems. develop innovative solutions to complex problems. work without considerable direction. mentor and may supervise team members. work with different it, infrastructure, and security teams. basic qualifications 5+ years of experience in devops experience with configuring and fine-tuning cloud infrastructure experience with provisioning and managing infrastructure and applications in cloud environments, including amazon web services (aws), azure, or google cloud platform (gcp) experience with devops and agile methodologies experience with managing git-based version control systems, including gitlab and github experience with performing services, including patching and software upgrades experience with creating backups and managing disaster recovery experience with maintaining access control and the integrity of data throughout the platform ability to obtain a security clearance bachelor s degree additional qualifications experience with health federal projects experience with devops to better maintain pipeline enhancements knowledge of metrics, monitors, and the utilization of aws resources on a full scale using amazon cloudwatch or datadog aws cloud certification, certified solutions architect associate certification clearance: applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. create your career: grow with us your growth matters to us—that s why we offer a variety of ways for you to develop your career. with professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms. a place where you belong diverse perspectives cultivate collective ingenuity. booz allen s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. with an array of business resource groups and other opportunities for connection, you ll build your community in no time. support your well-being our comprehensive benefits package includes wellness programs with hsa contributions, paid holidays, paid parental leave, a generous 401(k) match, and more. with these benefits, plus the option for flexible schedules and remote and hybrid locations, we ll support you as you pursue a balanced, fulfilling life—at work and at home. your candidate journey at booz allen, we know our people are what propel us forward, and we value relationships most of all. here, we ve compiled a list of resources so you ll know what to expect as we forge a connection with you during your journey as a candidate with us. compensation at booz allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in booz allen s benefit programs. individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. we encourage you to learn more about our total benefits by visiting the resource page on our careers site and reviewing our employee benefits page. salary at booz allen is determined by various factors, including but not limited to location, the individual s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. the projected compensation range for this position is $84,600 to $193,000 (annualized usd). the estimate displayed represents the typical salary range for this position and is just one component of booz allen s total compensation package for employees. this posting will close within 90 days from the posting date. work model our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely. if this position is listed as remote or hybrid, you ll periodically work from a booz allen or client site facility. if this position is listed as onsite, you ll work with colleagues and clients in person, as needed for the specific role. eeo commitment we re an equal employment opportunity affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law. v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
3," 

 job description:  at accenture federal services, nothing matters more than helping the us federal government make the nation stronger and safer and life better for people. our 13,000+ people are united in a shared purpose to pursue the limitless potential of technology and ingenuity for clients across defense, national security, public safety, civilian, and military health organizations. join accenture federal services to do the work you love in an inclusive, collaborative, and caring community, where you can be empowered to grow, learn and thrive through hands-on experience, certifications, industry training and more. join us to drive positive, lasting change that moves missions and the government forward! job description: design and maintain scalable cloud architectures utilizing a combination of aws services, cots, and custom code. this position will support the end users on the devops tools specifically jira, confluence and github. over time, this position could evolve to support the day-to-day maintenance of the software to include patching, upgrades and accreditation. must have: 1 year experience in it operations, cloud, or software engineering experience with devops tools to include jira, confluence or github experience working with end users nice to have: experience with linux and aws experience with docker, podman, or kubernetes security clearance: active ts sci with polygraph what we believe we have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. as a business imperative, every person at accenture federal services has the responsibility to create and sustain an inclusive environment. inclusion and diversity are fundamental to our culture and core values. our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. read more here equal employment opportunity statement accenture federal services is an equal opportunity employer. we believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation. all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. accenture is committed to providing veteran employment opportunities to our service men and women. for details, view a copy of the accenture equal opportunity and affirmative action policy statement . requesting an accommodation accenture federal services is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. if you are hired by accenture federal services and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired. if you are being considered for employment opportunities with accenture federal services and need an accommodation for a disability or religious observance during the interview process or for the job you are interviewing for, please speak with your recruiter. other employment statements applicants for employment in the us must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the united states. candidates who are currently employed by a client of accenture federal services or an affiliated accenture business may not be eligible for consideration. job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process. the company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the company s legal duty to furnish information. v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
4," 

 job description:  cloud data engineer the opportunity: ever-expanding technology like iot, machine learning, and artificial intelligence means that there s more structured and unstructured data available today than ever before. as a data engineer, you know that organizing big data can yield pivotal insights when it s gathered from disparate sources. we need an experienced data engineer like you to help our clients find answers in their big data to impact important missions—from fraud detection to cancer research to national intelligence. as a big data engineer at booz allen, you ll implement data engineering activities on some of the most mission-driven projects in the industry. you ll deploy and develop pipelines and platforms that organize and make disparate data meaningful. here, you ll work with and guide a multi-disciplinary team of analysts, data engineers, developers, and data consumers in a fast-paced, agile environment. you ll use your experience in analytical exploration and data examination while you manage the assessment, design, building, and maintenance of scalable platforms for your clients. join us. the world can t wait. you have: 5+ years of experience in application development 5+ years of experience with designing, developing, operationalizing, and maintaining complex data applications at an enterprise scale 3+ years of experience with creating software for retrieving, parsing, and processing structured and unstructured data 3+ years of experience with building scalable etl elt workflows for reporting and analytics experience in creating solutions within a collaborative, cross-functional team environment ability to develop scripts and programs for converting various types of data into usable formats ability to support project team to scale, monitor, and operate data platforms bachelor s degree nice if you have: experience with python, sql, scala, or java experience with unix linux, including basic commands and shell scripting experience with a public cloud, including aws experience with distributed data and computing tools, including spark, databricks, or aws emr experience working on real-time data and streaming applications experience with data warehousing using aws redshift, mysql, or snowflake experience with agile engineering practices create your career: grow with us your growth matters to us—that s why we offer a variety of ways for you to develop your career. with professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms. a place where you belong diverse perspectives cultivate collective ingenuity. booz allen s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. with an array of business resource groups and other opportunities for connection, you ll build your community in no time. support your well-being our comprehensive benefits package includes wellness programs with hsa contributions, paid holidays, paid parental leave, a generous 401(k) match, and more. with these benefits, plus the option for flexible schedules and remote and hybrid locations, we ll support you as you pursue a balanced, fulfilling life—at work and at home. your candidate journey at booz allen, we know our people are what propel us forward, and we value relationships most of all. here, we ve compiled a list of resources so you ll know what to expect as we forge a connection with you during your journey as a candidate with us. compensation at booz allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in booz allen s benefit programs. individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. we encourage you to learn more about our total benefits by visiting the resource page on our careers site and reviewing our employee benefits page. salary at booz allen is determined by various factors, including but not limited to location, the individual s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. the projected compensation range for this position is $75,600 to $172,000 (annualized usd). the estimate displayed represents the typical salary range for this position and is just one component of booz allen s total compensation package for employees. this posting will close within 90 days from the posting date. work model our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely. if this position is listed as remote or hybrid, you ll periodically work from a booz allen or client site facility. if this position is listed as onsite, you ll work with colleagues and clients in person, as needed for the specific role. eeo commitment we re an equal employment opportunity affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law. v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
5," 

 job description:  the aerospace corporation is the trusted partner to the nation s space programs, solving the hardest problems and providing unmatched technical expertise. as the operator of a federally funded research and development center (ffrdc), we are broadly engaged across all aspects of space— delivering innovative solutions that span satellite, launch, ground, and cyber systems for defense, civil and commercial customers. when you join our team, you ll be part of a special collection of problem solvers, thought leaders, and innovators. join us and take your place in space. at aerospace, we are committed to providing an inclusive and diverse workplace for all employees to share in our common passion and aspiration – to carry out a mission much bigger than ourselves. information systems and cyber division (iscd) staff couple the latest in information system technologies, such as elastic compute clouds, containerization, microservices, real-time operating systems, and visualization frameworks, with expertise in cyber security, software architecture, software engineering, process improvement, and software development to deliver responsive, resilient, high-performance software intensive systems to our ic, dod, and civilian customers. the cloud platforms and architectures department goes beyond traditional software systems design and it application hosting environments to provide our customers with guidance and solutions for developing deploying managing highly secure, available, resilient, and scalable software systems utilizing cloud technologies and cloud native application architectures. the cloud systems engineer (senior member of technical staff engineering specialist - cloud computing &amp; cyber security architecture) contributes to delivery of these services. if you re a passionate and driven individual who is excited about developing advanced computing solutions that keep our nation at the forefront of space systems capabilities, consider joining our team of talented engineers. work model this is a full-time position based in either chantilly, va or el segundo, ca offering a hybrid work model that combines 3 regular onsite workdays and remote flexibility as the business needs allow. what you ll be doing providing cloud technologies, cloud application platform infrastructure architecture, site reliability engineering, cloud systems engineering, and cloud security expertise to dod, ic, and civil space customers. services to these customers include: product analysis of alternatives and proof-of-concept prototyping architecture risk analysis assessments reference cloud architectures and cloud architectural design solutions, such as multi hybrid cloud; serverless; and edge computing models, tailored to a particular domain (e.g., ground enterprise, space) and customer requirements development of software engineering processes and procedures to support provisioning and management of cloud infrastructures and platforms cloud cost estimation and migration strategies mentoring junior technical staff and growing departmental knowledge through work and training assignments, and technical leadership. what you need to be successful - senior member of technical staff - cloud computing &amp; cyber security architecture) minimum requirements: bachelor s degree in computer science or other sciences engineering discipline five or more years of relevant experience directly related to developing and delivering complex large-scale distributed software systems solutions and technical products in-depth, hands-on experience in at least one of the following four technical disciplines: cloud infrastructure commercial cloud providers (e.g., aws, azure, google cloud) virtualization (e.g., vmware, linux kvm) unix linux operating system internals and administration tcp ip networking infrastructure as code (e.g., ansible, terraform) cloud platforms container runtimes (e.g., docker engine, contained, cri-o) kubernetes (e.g., vanilla, rke, eks, aks, gke) service meshes (e.g., istio) cloud native application development application design, implementation, and containerization devsecops ci cd pipelines microservices architecture twelve-factor application methodology cloud security identity and access management logging and monitoring cloud network security ability to establish and maintain effective interpersonal and working relationships with various levels of corporate staff, peers, management, program offices, customers, and contractors outstanding communication skills: interpersonal (demonstrated in working diplomatically across organizations and tactfully advising decision makers), presentation (demonstrated in briefings), and written communications skills (demonstrated in design documents, technical reports or publications) a commitment to delivering on organizational goals this position requires ability to obtain and maintain a security clearance, which is issued by the u.s. government. u.s. citizenship is required to obtain a security clearance. what you need to be successful - engineering specialist - cloud computing &amp; cyber security architecture minimum requirements: all of the above requirements for cloud platforms engineer - sr. mts eight or more years of relevant experience directly related to developing and delivering complex large-scale distributed software systems solutions and technical products how you can stand out it would be impressive if you have one or more of these: advanced degree from an accredited program in computer science or other sciences engineering discipline hands-on experience designing, implementing, and operating cloud platforms and infrastructures supporting real users hands-on experience designing and implementing complex, distributed cloud native applications supporting real users working knowledge of every layer in a cloud technology stack (e.g., physical infrastructure, virtualization infrastructure, operating systems, application hosting platforms, cloud native application design) we offer a competitive compensation package where you ll be rewarded based on your performance and recognized for the value you bring to our business. the grade-based pay range for this job is listed below. individual salaries within that range are determined through a wide variety of factors including but not limited to education, experience, knowledge and skills. (min - max) $110,400 - $193,500 pay basis: annual leadership competencies our leadership philosophy is simple: every employee, regardless of level and role, can demonstrate leadership. at aerospace, our commitment is our people. to cultivate our talent and ensure that we have a strong pipeline of future leaders, we want individuals who: operate strategically lead change engage with impact foster innovation deliver results ways we reward our employees during your interview process, our team will provide details of our industry-leading benefits. benefits vary and are applicable based on job type. a few highlights include: comprehensive health care and wellness plans paid holidays, sick time, and vacation standard and alternate work schedules, including telework options 401(k) plan — employees receive a total company-paid benefit of 8%, 10%, or 12% of eligible compensation based on years of service and matching contributions; employees are immediately eligible and vested in the plan upon hire flexible spending accounts variable pay program for exceptional contributions relocation assistance professional growth and development programs to help advance your career education assistance programs an inclusive work environment built on teamwork, flexibility, and respect we are all unique, from diverse backgrounds and all walks of life, yet one thing bonds all of us to each other—the belief that we can make a difference. this core belief empowers us to do our best work at the aerospace corporation. equal opportunity commitment the aerospace corporation is an equal opportunity affirmative action employer. we believe that a diverse workforce creates an environment in which unique ideas are developed and differing perspectives are valued, producing superior customer solutions. all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, age, sex (including pregnancy, childbirth, and related medical conditions), sexual orientation, gender, gender identity or expression, color, religion, genetic information, marital status, ancestry, national origin, protected veteran status, physical disability, medical condition, mental disability, or disability status and any other characteristic protected by state or federal law. if you re an individual with a disability or a disabled veteran who needs assistance using our online job search and application tools or need reasonable accommodation to complete the job application process, please contact us by phone at  or by email at ieo.mailbox@aero.org . you can also review know your rights : workplace discrimination is illegal , as well as the pay transparency policy statement . 

 "
6," 

 job description:  position overview: nira, inc., a rapidly expanding women-owned small business, is seeking a security cloud engineer to join our team supporting the federal aviation administration (faa). you will support transformative projects at the federal aviation administration (faa). this pivotal role will drive cutting edge solutions and have a vital role in creating, executing, and managing security protocols to safeguard cloud-based systems and information. be part of a mission that not only advances technology but also ensures the safety and efficiency of u.s. aviation on a grand scale. key responsibilities: deploy robust strategies to protect vital cloud data and infrastructure from emerging threats, ensuring our aviation operations systems remain secure. regularly update and secure hardened red hat linux amazon machine images (amis) to prevent vulnerabilities, keeping our systems safe from threats. provide continuous, comprehensive security oversight for our cloud-based data distribution services, including monitoring of system logs and endpoint protection agents. provide configuration management for the cloud-based data distribution service. support the faa configuration control board (ccb) activities, contributing to critical governance decisions that impact and shape the future systems enhancements. create templates or scripts to automate routine tasks performed by developers or operations staff, streamlining processes and improving efficiency. implement new automation tools to enhance and scale cloud hosting infrastructure efficiently. key requirements: bachelor s degree in the science or engineering field. 5+ years of work experience in system administration, cloud administration, or a similar role. experience with red hat system administration. experience with aws or other cloud technologies. ability to manage configurations of production systems and ensure robust infrastructure security. experience with monitoring identity management accounts and system logs. experience with large scale system integrations. this position is a hybrid role that requires a flexible schedule, with the expectation of working one to two days per week on-site in our washington, dc office. nira, inc. is an equal opportunity affirmative action employer and does not discriminate on the basis of race, color, religion, gender, age, national origin, disability, protected veteran status, sexual orientation, or any other characteristic protected by federal, state or local law. 

 "
7," 

 job description:  senior applications engineer, configuration management the senior applications engineer, configuration management, ensures adherence to and adoption of itsm processes within the applications team. they provide guidance and expertise on itsm practices related to the portfolio of solutions and services. this role involves owning and driving processes and activities related to iso 27001 compliance, change management, asset management, reporting, configuration management, and business continuity. this position will be a hybrid model in washinton d.c. what you will be doing: implement and maintain itsm processes for enterprise applications, including change and incident management, asset ci management, reporting metrics, configuration management, business continuity, and monitoring. collaborate with the it service management team to enhance and mature overall processes, compliance, and documentation. work with the business continuity disaster recovery team to improve and refine processes, compliance, and documentation. partner with the noc team to define, implement, and optimize system monitoring and escalation response paths. assist in obtaining and maintaining iso certification to reduce risks, adhere to standards, and meet client requirements; prepare for, document, support, and participate in periodic recertification. provide guidance and expertise in change management. develop reports and dashboards for key team metrics such as incidents, system health and stability, and vulnerabilities. possess a strong understanding of servicenow and related itsm tools. communicate effectively with the itsm team to analyze processes, application features and configurations, and address end-user questions. build and maintain strong relationships with relevant vendors. stay informed about the roadmap for specific offerings and demonstrate a strong knowledge of the itsm space. monitor, track, and report on performance and capacity, and manage capacity planning. required skills &amp; experience: expertise in itil and servicenow best practices in sacm (service assets and configuration management). proficiency in itil and servicenow best practices in ham (hardware asset management) and sam (software asset management). comprehensive understanding of cmdb structure. strong communication, organization, negotiation, critical thinking, and leadership skills, along with exceptional customer service and collaboration abilities. experience in project management, planning, task management, and resource management using tools such as confluence and jira. familiarity with system integrations including apis, web services, ftp, and database-to-database connections. knowledge of sql server, sql development queries, and reporting tools. familiarity with windows server, including iis, services, scheduled tasks, logging, and configurations. awareness of security best practices and procedures. understanding of data governance best practices and procedures. applicants must be currently authorized to work in the united states on a full-time basis now and in the future. this position doesn t provide sponsorship. 

 "
8," 

 job description:   class=""jobsearch-jobcomponent-description css-16y4thd eu4oa1w0"">evans &amp; chambers technology is seeking a highly motivated full stack developer to join our team! evans &amp; chambers partners with the us national defense community to create fully integrated, resilient, and innovative digital solutions that enable them to make smart decisions in real-time. we work with our customers on everything from conquering their data to improving and safeguarding it infrastructure. our ultimate goal? to enhance our nation s ability to identify, address, and act – no matter what challenges arise. work location(s): mostly remote (90-100%). periodic meetings required in dc area. clearance requirement: active secret description: evans &amp; chambers technology is seeking a cloud engineer to join our team! this engineer will develop multiple applications in aws and be responsible for using cloud native services to build modern, progressive, and responsive applications in an agile, iterative development practices. basic requirements: ba bs degree or equivalent experience experience working with agile methodology; breaking down work into user stories and delivering iteratively demonstrated expertise with aws landing zone, iam policies, lambda, api gateway, and database implementations experience with infrastructure-as-code (iac) tooling such as aws cloudformation and or aws cloud development kit (cdk) experience building and deploying code using ci cd pipelines minimum 5 years of design and implementation experience infrastructure architectures and solutions using aws services minimum of 5 years of react, typescript, node.js, next.js, and java experience preferred qualifications: aws solutions architect associate certification experience with mobile application development all employment opportunities are made without regard to age, race, creed, color, religion, sex national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status or any other basis protected by law. v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
9," 

 job description:  at freddie mac, you will do important work to build a better housing finance system and you ll be part of a team helping to make homeownership and rental housing more accessible and affordable across the nation. position overview: < h1> we are seeking an experienced active directory subject matter expert (sme) with a strong background in automation to join our team. as an active directory sme with automation, you will be responsible for designing, implementing, and maintaining our active directory infrastructure while leveraging automation tools and techniques to streamline processes and increase efficiency. the candidate should have extensive knowledge and hands-on experience in active directory, azure ad, azure ad domain services, adfs ms-sso, azure ad connect, windows server 2012 to 2022, and windows security. the ideal candidate should have 7-9 years of ad experience in large environments to lead upgrade projects and proactively ensure best practices and high security measures are crafted and completed on-premises and in the cloud. in addition to troubleshooting complex technical issues and providing support for our operations team, this candidate will bring a product-led service ownership mentality to own and solve issues\gaps in our environment and develop comprehensive solutions for our platform. join our team and take on a key role in shaping the future of our active directory infrastructure through automation and innovation. responsibilities: < h1> design, deploy, and manage active directory services, including domains, forests, trusts, group policies, and replication. serve as the primary point of contact for all active directory-related issues, providing troubleshooting and resolution for complex problems. develop and implement automation solutions using scripting languages such as powershell to automate repetitive tasks, provisioning, and configuration management. collaborate with cross-functional teams to integrate active directory services with other systems and applications, ensuring seamless authentication and access control. evaluate and recommend improvements to the existing active directory infrastructure, keeping abreast of industry standard processes and emerging technologies. lead projects related to active directory migration, consolidation, and upgrade initiatives, ensuring minimal disruption to business operations. create and maintain documentation, including standard operating procedures, architecture diagrams, and configuration guides. stay current with security trends and vulnerabilities related to active directory, implementing measures to enhance security posture and mitigate risks. provide mentorship and knowledge transfer to junior team members, fostering a culture of continuous learning and development. requirements: < h1> bachelor s degree in computer science, information technology, or work-related experience. (master s degree preferred) 7+ years of experience in designing, implementing, and managing active directory environments in enterprise-level organizations. proficiency in automation tools and scripting languages, particularly powershell\python, for automating active directory tasks and processes. ansible a plus. strong understanding of identity and access management principles, including ldap, kerberos, saml, and multi-factor authentication. experience with directory services integration, including ldap, azure ad, and third-party identity providers. solid grasp of networking concepts, including tcp ip, dns, dhcp, and vpn technologies. certifications such as microsoft certified: azure solutions architect expert, microsoft certified: identity and access administrator associate, or equivalent certifications are a plus. excellent communication skills with the ability to effectively communicate technical concepts to both technical and non-technical stakeholders. strong analytical and problem-solving skills, with a keen attention to detail and the ability to prioritize and manage multiple tasks simultaneously. at freddie mac, our inclusive and diverse culture is what powers our work. collectively, what we share is a passion for more—for making a difference by making home possible for families across the nation. come as you are and do what you love. apply now and learn why there s #moreatfreddiemac! current freddie mac employees please apply through the internal career site. today, freddie mac makes home possible for one in four home borrowers and is one of the largest sources of financing for multifamily housing. join our smart, creative and dedicated team and you ll do important work for the housing finance system and make a difference in the lives of others. we are an equal opportunity employer and value diversity and inclusion at our company. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by applicable law. we will ensure that individuals with differing abilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation. notice to external search firms: freddie mac partners with bountyjobs for contingency search business through outside firms. resumes received outside the bountyjobs system will be considered unsolicited and freddie mac will not be obligated to pay a placement fee. if interested in learning more, please visit www.bountyjobs.com and register with our referral code: mac. time-type:full time flsa status:exempt freddie mac offers a comprehensive total rewards package to include competitive compensation and market-leading benefit programs. information on these benefit programs is available on our careers site. this position has an annualized market-based salary range of $117,000 - $175,000 and is eligible to participate in the annual incentive program. the final salary offered will generally fall within this range and is dependent on various factors including but not limited to the responsibilities of the position, experience, skill set, internal pay equity and other relevant qualifications of the applicant. 

 "
10," 

 job description:  job purpose the level ii cloud engineer will apply systematic engineering approaches to the design, development, and operation of cloud technologies and platforms for mission-critical solutions. the engineer will work closely with stakeholders to develop and implement cloud strategies, ensure compliance with security requirements, and support cybersecurity teams with technical expertise. duties and responsibilities the job duties and responsibilities include, but are not limited to the following: apply systematic, engineering approaches to design, architect, elicit requirements, develop, operate, and use cloud technologies and platforms for mission solutions. collaborate with stakeholders to develop cloud strategies, implement cloud architectures, and lead cultural changes for cloud adoption and use. work closely with risk management framework (rmf) and authorizing officials teams to ensure the cloud solutions meet and maintain the authority to operate (ato). develop strategies to monitor cloud usage in line with security requirements and ensure optimal performance. provide expertise on cloud technologies, tools, and best practices to meet availability, scalability, performance, and security requirements for cloud-based applications and systems. support cybersecurity teams by providing technical information for new and existing ato packages. implement security measures in workstations, servers, and other system components. participate in the design, implementation, testing, and deployment of hardware and software for oni networks. ensure hardware and software deliverables meet cybersecurity requirements as specified under dodi 8500.01, rmf it, and nist sp 800-53, including guidance from authorizing officials (aos). acknowledge special responsibilities with a privileged access agreement (paa) in accordance with secnavinst 5239.20a. qualifications minimum education &amp; experience: bachelor s degree in computer science, information technology, or related stem degree program minimum10yrs of experience in the it field focusing on cloud engineering projects in secure dod environments. minimum 3yrs of experience deploying enterprise applications in cloud platforms, preferably in aws iat level ii certification experience with cloud technologies and platforms, including design, architecture, and operation. proficiency in developing and implementing cloud strategies and architectures. familiarity with risk management framework (rmf) and maintaining authority to operate (ato) for cloud solutions. strong understanding of cloud security requirements and best practices. experience in supporting cybersecurity teams and developing ato packages. knowledge of dodi 8500.01, rmf it, and nist sp 800-53 guidelines. strong analytical, problem-solving, and technical skills. excellent communication and teamwork abilities. must be a us citizen must have ts sci clearance about premier solutions hi, llc premier solutions hi, llc (pshi) is a minority woman-owned technology services company headquartered in honolulu, hawaii. pshi specializes in providing support services to several organizations and government agencies in the areas of information technology (it) and network management; software development, web and other content management; document management, business process improvement; and content digitization; program management; and administrative and professional support services. pshi is an affirmative action equal opportunity employer and strives to provide equal employment opportunity to all applicants and staff in accordance with sound employee relations practices and federal and state laws. all qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or expression, marital status, ancestry, genetic information, pregnancy status, or any other characteristic protected by law. job type: full-time benefits: 401(k) dental insurance health insurance schedule: 8 hour shift education: bachelor s (required) experience: dod: 10 years (required) license certification: iat level ii (required) security clearance: top secret (preferred) work location: in person v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
