numb_description,job_description,state,report_year
1,"job description:  job description: software developer (sd) level-1 (l1) the requirements listed define the software developer (sd) level-1 (l1) responsibilities and tasking. the sd-l1 is an educated and qualified individual that is able to analyze detailed system designs and functional requirements for minotaur mission systems (mms). the sd shall use agile software development practices to plan, create, improve, maintain and test the core and sensor software baselines. the sd-l1 shall support the chief integration officer (cio), the software lead, and other team members to accomplish software development and execute the mms software plans. the sd-l1 shall be able to receive guidance from senior software developers and support senior leadership with mission execution. the sd-l1 shall be qualified to execute the below functions with minimal guidance. analyze software &amp; hardware architectures, designs, and functional requirements for aircraft &amp; surface mission systems. develop system, subsystem and functional software requirements. design, develop, test and implement mms software and applications using tools such as: java, javascript, python, sql, owl, css, c++, c#, bootstrap, xml, html &amp; wsd1l. develop scripts, install applications and configure software systems to interface with the mms sensors. develop interfaces to external and internal systems and sensors for tooling, configuration, service updates and data recording. support installation of software on a variety of mms hardware configurations. develop graphical user interface (gui) designs and back-end sensor interfaces (full stack). develop and conduct unit, system and integration tests in labs and on asset including command centers, surface platforms and on aircraft. develop technical documentation related to software and gui changes. work with team members to ensure software usability and reliability. execute frequent travel (up to 25%) to meet government requirements. obtain and maintain at least a secret clearance. accept guidance from cio, senior developers, and mentors. conduct code reviews and accept feedback from reviewers. build visions, business relationships, and goals for future endeavors. job requirements: 1. bs in computer science, computer engineering, or bachelors degree with other suitable equivalent in certifications and or experience. 2. must be able to lift carry 20 to 50 lbs. 

 ",dmv,2024
2," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
3," 

 job description:  job title:level ii cloud engineering location: oni, 4251 suitland road, washington, dc 20395 at a government facility site clearance: ts sci program: oni pmo support company program description: centuria, a service-disabled veteran-owned small business (sdvosb), has been delivering it, engineering, and scientific solutions to the federal government since 2002. during our two decades of service, we have earned the trust and respect of our government clients for the simple reason that we have great people who are experts in their fields and take pride and ownership in everything they do. the washington post has recognized centuria corporation as one of the top workplaces in the dc metro area for 2024. this award celebrates nationally recognized companies that make the world a better place to work together by prioritizing a people-centered culture and giving employees a voice. the top workplaces usa award is based entirely on feedback from an employee engagement survey completed by the employees of participating workplaces. centuria is honored to have been awarded this distinction. program description: the office of naval intelligence (oni) partnerships and capabilities directorate (n3) must ensure that relevant and timely intelligence information is accessible to the naval forces, while protecting the network and the information it contains from being accessed by our adversaries by way of network centric warfare. to address vulnerabilities and promote safe information sharing and gathering, cyber support for internal defense systems and critical infrastructure protection is required. the partnerships and capabilities directorate (n3) develops and delivers mission critical data management and processing systems that are managed and classified at the ts sci level and contain highly sensitive data including sources of information and intelligence products. contractor support is required to implement dod, don, ic, and oni cybersecurity policy and guidance for federal systems. this role will be in support of oni. centuria is seeking the professional and technical expertise necessary to support the governments oversight of both development and sustainment projects managed by the oni partnerships and capabilities directorate (n3). these tasks support technology advancement and mission operations at various locations, including the national maritime intelligence center (nmic). this support will necessitate access to numerous sources of information and intelligence from unclassified (u) to top secret (ts) and sensitive compartmented information (sci) to properly execute the task requirements. obtaining and retaining quality sci cleared information technology (it) and cybersecurity professionals has been a challenge. job responsibilities: apply a systematic, engineering approach to the design, architecting, requirements elicitation, development, operation and use of cloud technologies for mission solutions. work closely with stakeholders to develop a cloud strategy, develop and implement a cloud architecture, and lead cultural change for cloud adoption. work closely with risk management framework (rmf) and authorizing officials teams to ensure the cloud is developed and maintained to meet an authority to operate (ato) . develop required strategies to monitor the cloud usage in line with security requirements and to ensure best performance is achieved. provide expertise on cloud technologies, tools, and best practices to meet availability, scalability, performance, and security requirements for implement applications and systems in a cloud environment. support cybersecurity teams with technical information for new and maintenance of authority to operate (ato) packages. support the implementation of security measures in workstations, servers, and other system components. participate in the design, implementation, testing, and deployment of hardware and software that will be delivered to and installed on oni networks. ensure that hardware and software deliverables meet cybersecurity requirements as specified under dodi 8500.01, risk management framework (r information technology (it) and national institute of standards and technology (nist) special publication (sp) 800-53 recommended security con information systems and organizations, to include the latest guidance from authorizing officials (aos). develop required strategies to monitor the cloud usage in line with security requirements and to ensure best performance is achieved. personnel with privileged access will be required to acknowledge special responsibilities with a privileged access agreement (paa) in accordance with secnavinst 5239.20a support monthly task order status report cdrl. support technical reports, briefings and white papers cdrl as needed. support informal technical information cdrl as needed. attend meetings either physical or virtual. report on-site to oni monday – friday, 8 hours per day with  hours as the core hours. travel may be required to destinations to include the greater washington, dc metropolitan area, massachusetts, ohio, pennsylvania, texas, and washington. job requirements: bachelor s degree in computer science, information technology, or related stem degree program at least 10yrs of experience in the it field focusing on cloud engineering projects in secure dod environments at least 3yrs of experience deploying enterprise applications in cloud platforms, preferably in aws mastery of the functions of the iat level i position satisfy iat level ii requirements must have an active ts sci clearance maintain or complete certifications, training, continuing education and other related training events throughout the life of the contact including mandatory training provided by the government. 

 ",dmv,2024
4," 

 job description:  we are seeking a highly skilled cloud security engineer to support the modernization of a portfolio of applications. the primary goal is to redesign and secure existing .net and python applications within the azure cloud environment, ensuring they are scalable, secure, and performant. the cloud security engineer will play a critical role in embedding security throughout the development lifecycle, integrating devsecops practices, and enhancing the overall security posture of the agency. this position is hybrid (on-site 2 days a week in bethesda, md). responsibilities: assess and analyze existing .net, python, and r studio applications. collaborate with stakeholders to gather requirements and establish security objectives. develop detailed design documents incorporating nist sp 800-53 controls. ensure secure coding standards and best practices are followed. implement security measures within azure cloud services including azure app services, azure functions, and azure kubernetes service (aks). database modernization and management: design secure, efficient, and scalable database schemas. implement robust data management jobs and maintain databases. ensure secure integration with nih data sources. develop secure, interactive data visualizations using tableau, power bi, and business objects. ensure data visualizations are compliant with security standards. develop and execute comprehensive security test plans. implement automated testing solutions and continuous monitoring. address security defects promptly. ensure new systems are securely integrated with existing azure services. optimize security within microsoft power platform applications. leverage ai and machine learning models to enhance security and efficiency. conduct thorough security assessments of existing applications. develop and implement security policies and procedures. embed security at every stage of the application development lifecycle. support nih security assessments, develop plan of action and milestones (poa&amp;m) for security findings. integrate security within ci cd pipelines. design and implement access controls and encryption mechanisms. ensure compliance with federal regulations including fisma and nist standards. provide training and support to development teams on secure coding practices. participate in agile methodologies including regular sprint planning, daily stand-ups, and retrospectives. qualifications: bachelor s degree in computer science, information technology, or a related field. 5+ years of experience in cloud security, particularly within azure cloud services. strong knowledge of secure coding standards and best practices. experience with devsecops practices and ci cd pipelines. familiarity with nist sp 800-53 controls and federal regulations (fisma, nist). proficiency in .net, python, and database management (azure sql database, cosmos db). experience with data visualization tools (tableau, power bi, business objects). excellent problem-solving skills and attention to detail. strong communication and collaboration skills. preferred skills: certifications such as cissp, cism, or azure security engineer. experience with microsoft power platform (power apps, power automate). knowledge of ai and machine learning models for security applications. familiarity with containerization technologies (docker, kubernetes). 

 ",dmv,2024
5," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
6," 

 job description:  basic information job name: cloud engineer location: washington, dc line of business: global technology &amp; solutions job function: investor services date: tuesday, may 14, 2024 position summary carlyle is looking for a cloud engineer to join our enterprise technology practice. are you passionate about building and pioneering cloud solutions? do you enjoy solving complex business problems in a fast-paced, collaborative, and iterative delivery environment? in this exciting role, you are responsible for partnering with technical teams, product owners, and other business stakeholders to design, build, and maintain solutions on our cloud platforms. the ideal candidate has the following skills and competencies: cloud fluency: you have deep technical knowledge of aws and are comfortable learning about and working with other cloud platforms such as azure and snowflake. you have architected, implemented, or operated large-scale cloud platforms in previous roles. leadership: you are confident working in a matrixed management environment, collaborating with security, networking, and systems teams to integrate cloud platforms with existing infrastructure and tooling. communication: you know how to evangelize cloud technology and its benefits to stakeholders. you are adept at building relationships and establishing credibility upstream and downstream, across technical and non-technical colleagues. problem solving: you are skilled at identifying stakeholder needs and translating feedback into real solutions that solve real problems. you are a whiz at balancing multiple commitments and prioritizing the most important work. can-do attitude: you are both a doer and disruptor. you aren t afraid to take on new responsibilities, seek out continuous learning, and strive to innovate. responsibilities work alongside project teams, enterprise architects, infrastructure, networking, and security teams to develop logical &amp; technical cloud architectures, api designs, and functional requirements for secure aws environments. design and support implementation of cloud-based capabilities and technologies including as containers, serverless, infrastructure-as-code, and cloud orchestration automation. contribute technical expertise on complex problems, technology selection, solution design, deployment, and maintenance for aws environments. review and uplift it processes, specifically focused on cloud operations, development and automation, to build a modern cloud environment taking advantage of new technologies and ways of working. support the day-to-day operations of carlyle s aws environment, providing sme input for application and infrastructure teams. communicate effectively with technical staff, business stakeholders, and it leadership effectively solve complex problems with innovative solutions develop and evangelize for cloud-focused technologies and processes, and their benefits to business and technical teams qualifications education &amp; certificates bachelor s degree required bachelor s degree in information technology, or similar discipline, strongly preferred aws certified solution architect, aws certified system administrator, or similar certifications strongly preferred industry standard certifications preferred professional experience 6+ years of overall relevant it experience, required 4+ years design, implement and supporting cloud platforms (primarily aws), strongly preferred manage aws resource lifecycles including design, provisioning, security, and automation develop, integrate, and manage a variety of aws services including vpc, lambda, sns, sqs etc. demonstrated experience in cloud-focused technologies such as containers, serverless, immutable and ephemeral infrastructure, etc establish metrics and monitor the utilization of aws resources leveraging tools such as aws cloudwatch, cloudtrail and datadog possess hands on knowledge of infrastructure as code (e.g., terraform, cloudformation, aws cdk.) and working knowledge of modern programming or scripting languages (e.g., python, javascript, powershell, .net, etc.) experience building devops agile style development processes within an organization. drive devops adoption strategy with your industry experience maintain and share best practices in cloud performance measurement, migration, and implementation based on leading industry trends provide insights and recommendations on best practices and solution architecture patterns strong communication skillset to build confidence with stakeholders and team members demonstrated experience working across multiple technology and project teams to design and build solutions skilled in presenting information and or ideas to an audience in a way that is engaging and easy to understand strong verbal and written communications skills strong process management and problem resolution skills proven ability to effectively prioritize and execute tasks in a high-pressure environment ability to effectively and confidently communicate and present complex topics to stakeholders of different levels and backgrounds competencies &amp; attributes strong demonstrated working experience in the aws cloud developing, integrating, and managing aws resources experience implementing and using common cloud development tools and services such as terraform, cloudformation, lambda, etc experience with common operational itsm and ci cd tools (such as servicenow, azure devops, jenkins, datadog, etc) benefits compensation the compensation range for this role is specific to washington, d.c. and takes into account a wide range of factors including but not limited to the skill sets required preferred; prior experience and training; licenses and or certifications. the anticipated base salary range for this role is $150,000 to $160,000. in addition to the base salary, the hired professional will enjoy a comprehensive benefits package spanning retirement benefits, health insurance, life insurance and disability, paid time off, paid holidays, family planning benefits and various wellness programs. additionally, the hired professional may also be eligible to participate in an annual discretionary incentive program, the award of which will be dependent on various factors, including, without limitation, individual and organizational performance. due to the high volume of candidates, please be advised that only candidates selected to interview will be contacted by carlyle. company information the carlyle group (nasdaq: cg) is a global investment firm with $376 billion of assets under management and more than half of the aum managed by women, across 520 investment vehicles as of june 30, 2022. founded in 1987 in washington, dc, carlyle has grown into one of the world s largest and most successful investment firms, with nearly 1,900 professionals operating in 26 offices in north america, south america, europe, the middle east, asia and australia. carlyle places an emphasis on development, retention and inclusion as supported by our internal processes and seven employee resource groups (ergs). carlyle s purpose is to invest wisely and create value on behalf of its investors, which range from public and private pension funds to wealthy individuals and families to sovereign wealth funds, unions and corporations. carlyle invests across three segments - global private equity, global credit and investment solutions - and has expertise in various industries, including: aerospace, defense &amp; government services, consumer &amp; retail, energy, financial services, healthcare, industrial, real estate, technology &amp; business services, telecommunications &amp; media and transportation. at carlyle, we know that diverse teams perform better, so we seek to create a community where we continually exchange insights, embrace different perspectives and leverage diversity as a competitive advantage. that is why we are committed to growing and cultivating teams that include people with a variety of perspectives, people who provide unique lenses through which to view potential deals, support and run our business. 

 ",dmv,2024
7," 

 job description:  date posted:  country: united states of america location: hva34: sterling, va 22640 davis dr , sterling, va, 20164-7104 usa position role type: onsite do you want to be a part of something bigger? a team whose impact stretches across the world, and even beyond? at collins aerospace, our mission systems team helps civilian, military and government customers complete their most complex missions — whatever and wherever they may be. our customers depend on us for intelligent and secure communications, missionized systems for specialized aircraft and spacecraft and collaborative space solutions. by joining our team, you ll have your own critical part to play in ensuring our customer succeeds today while anticipating their needs for tomorrow. are you up for the challenge? join our mission today. senior principal project engineer - training systems (onsite) the simulation &amp; training solutions (sts) defense systems engineering department seeks a project engineer (pe) to lead a team of engineers in an agile environment for the development of new and exciting simulation systems and products. the pe serves as the single point of contact for engineering on a development project. responsible for the technical leadership and technical project management of the design &amp; development activities, within the guidelines set by the value stream leader (vsl) program manager (pm), engineering leadership, and customer. what you will do: the candidate will lead senior principal, principal and senior software engineers in the design, integration, and testing of complex systems and projects; this position has a focus towards the software aspects of the systems and projects. the candidate will be the customers and program managements technical point of contact for one or more projects of medium to high complexity. the candidate will work with the program manager (vsl) to develop the program execution plan, and will ensure projects remain within budget, on schedule, and meets all customer technical requirements. the candidate must have demonstrated application of integrated project management, technical consistent process, earned value cost account management, and risk managements for one or more programs in highly complex software and hardware electrical projects. the candidate will lead proposal efforts, coordinating inputs from various engineers, generating project bids, basis of estimate (boe) statements, and technical volumes in support of the overall proposal effort. the candidate will track, report, and analyze earned value metrics as required to understand program performance, and will determine appropriate actions to correct problems before impacting overall program performance. the candidate will report performance to program management, leadership, and the customer as warranted. the candidate will be expected to spend a significant portion of their time in a direct technical role leading the current increment execution. the candidate should show the ability to unleash energy within a team through passion, enthusiasm, and leadership. this position requires excellent written and verbal communication skills along with the ability to interface with executive leadership, program managers and operations managers across all business areas within collins aerospace. in addition to communication with those functional areas, the candidate should be able to demonstrate the ability to create and leverage powerful networks to get the job done. this position is located onsite at our sterling, va location. qualifications you must have: bachelor s degree (typically in science, technology, engineering or mathematics (stem)) and a minimum of 10 years of prior relevant experience unless prohibited by local laws regulations or advanced degree in a related field and minimum 7 years experience or in absence of a degree, 14 years of relevant experience is required must be a u.s. citizen must have or be capable of obtaining a us department of defense (dod) security clearance. candidate selected will be subject to a government security investigation reinstatement and must meet eligibility requirements qualifications we prefer: knowledge of core concepts of software systems strong conceptual, planning, and problem-solving skills across multiple projects strong computer skills and the utilization of ms project, ms excel, ms powerpoint experience with sap report and analyze earned value metrics to track task program performance support development of the program execution plan ensure projects remain within budget, on schedule, and meet all customer requirements if you re looking for an opportunity to join a fast-paced team, with opportunities for growth than this team could be the perfect fit for you. the sts project engineering team will allow you the opportunity to experience all facets of collins aerospace sts development and be closely aligned with our customer to bring the best possible simulation experience to the war fighters of today and tomorrow. collins aerospace, a raytheon technologies company, is a leader in technologically advanced and intelligent solutions for the global aerospace and defense industry. collins aerospace has the capabilities, comprehensive portfolio and expertise to solve customers toughest challenges and to meet the demands of a rapidly evolving global market. diversity drives innovation; inclusion drives success . we believe a multitude of approaches and ideas enable us to deliver the best results for our workforce, workplace, and customers. we are committed to fostering a culture where all employees can share their passions and ideas so we can tackle the toughest challenges in our industry and pave new paths to limitless possibility. what we offer: medical, dental, and vision insurance three weeks of vacation for newly hired employees generous 401(k) plan that includes employer matching funds and separate employer retirement contribution, including a lifetime income strategy option tuition reimbursement program student loan repayment program life insurance and disability coverage optional coverages you can buy pet insurance, home and auto insurance, additional life and accident insurance, critical illness insurance, group legal, id theft protection birth, adoption, parental leave benefits ovia health, fertility, and family planning adoption assistance autism benefit employee assistance plan, including up to 10 free counseling sessions healthy you incentives, wellness rewards program doctor on demand, virtual doctor visits bright horizons, child and elder care services teladoc medical experts, second opinion program and more! learn more &amp; apply now! the salary range for this role is 130,000 usd - 272,000 usd. the salary range provided is a good faith estimate representative of all experience levels. rtx considers several factors when extending an offer, including but not limited to, the role, function and associated responsibilities, a candidate s work experience, location, education training, and key skills. hired applicants may be eligible for benefits, including but not limited to, medical, dental, vision, life insurance, short-term disability, long-term disability, 401(k) match, flexible spending accounts, flexible work schedules, employee assistance program, employee scholar program, parental leave, paid time off, and holidays. specific benefits are dependent upon the specific business unit as well as whether or not the position is covered by a collective-bargaining agreement. hired applicants may be eligible for annual short-term and or long-term incentive compensation programs depending on the level of the position and whether or not it is covered by a collective-bargaining agreement. payments under these annual programs are not guaranteed and are dependent upon a variety of factors including, but not limited to, individual performance, business unit performance, and or the company s performance. this role is a u.s.-based role. if the successful candidate resides in a u.s. territory, the appropriate pay structure and benefits will apply. rtx anticipates the application window closing approximately 40 days from the date the notice was posted. however, factors such as candidate flow and business necessity may require rtx to shorten or extend the application window. rtx is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class. privacy policy and terms: click on this link to read the policy and terms 

 ",dmv,2024
8," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
9," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
10," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
