numb_description,job_description,state,report_year
1,"job description:  data analyst arlington, va (one time per week onsite) secret clearance required the squires group has an excellent opportunity for an experienced data &amp; analytics practitioner to work on a federal project in arlington, va. in this role you will be responsible for providing guidance in defining analytics strategies, priorities, and objectives. you will oversee the development and implementation of analytics projects; while also designing and creating visually compelling and informative dashboards reports utilizing power bi, tableau and sql. this position is hybrid and will require some days onsite in the dc metro area . per our federal government contract, candidates must be u.s. citizens with at least an active interim secret clearance. responsibilities: provide guidance and support in defining analytics strategies, priorities, and objectives. oversee the development and implementation of analytics projects using power bi. design and create visually compelling and informative dashboards and reports. analyze large datasets to identify trends, patterns, and opportunities for improvement. collaborate with cross-functional teams to understand business requirements and align analytics initiatives with organizational goals. develop and implement strategies to improve data quality, accuracy, and accessibility. serve as the subject matter expert in power bi, staying current with the latest features and updates. design and optimize data models, ensuring efficient and scalable solutions. collaborate with it and other departments to ensure seamless integration of analytics solutions. work closely with stakeholders to gather requirements and provide insights that drive business decisions. identify opportunities to enhance existing processes and tools, promoting a culture of continuous improvement. stay abreast of industry trends and emerging technologies in analytics. qualifications: proven experience in an analytics or business intelligence team. experience with palantir required strong proficiency in power bi, with a track record of designing and implementing effective dashboards and reports. experience with data models advanced skills in data analysis, sql, and data visualization techniques. excellent communication and interpersonal skills, with the ability to convey complex findings to both technical and non-technical stakeholders. strong organizational and project management skills. proactive problem solver with a strategic mindset. job types: full-time, contract experience level: 10 years 5 years 6 years 7 years 8 years 9 years schedule: monday to friday application question(s): due to the nature of the role, at least a secret security clearance is required. do you posses a security clearance? if so, which level? education: bachelor s (preferred) experience: data analytics: 4 years (required) power bi: 4 years (preferred) sql: 4 years (preferred) palantir: 1 year (required) security clearance: secret (required) ability to commute: arlington, va 22209 (required) ability to relocate: arlington, va 22209: relocate before starting work (required) work location: hybrid remote in arlington, va 22209 

 ",dmv,2024
2," 

 job description:  overview: as the hr analyst, you will lead strategic human resources initiatives and create data driven solutions that inform business decisions. as a key member of the human resources team, you enjoy streamlining and optimizing related systems, data, and processes. leveraging your end-to-end understanding of people data, you will build dashboards and reports that provide meaningful insights to the hr team and business leaders. you will support human resources with delivery of new systems and tools, data management, reporting, and system projects as you collaborate across the organization. this position has expectations for candidate to be onsite at our corporate headquarters in mclean, va. responsibilities: responsible for designing, developing, and enhancing talent acquisition dashboards and reporting functionality. design and create insightful hr reporting packages for the executive committee and board of directors. create and manage regular reporting as well as ad-hoc report requests with a focus on creating sustainable reporting structure and cadence. partner with hr leadership to report on and analyze data such as key hr metrics and kpis such as turnover, retention, and hiring. develop business line-specific reporting related to performance management, attrition, hiring, and field incentives. guide the design, manage implementation, and ongoing maintenance and delivery of hris dashboards across all functions and business units. partner with talent development on the employee survey and listening strategy. support hr centers of excellence with building, implementing, and maintaining reports and templates (total reward statements). provide key data analytics and insights in support of workforce planning. evaluate the effectiveness of systems and programs and identify opportunities for efficiencies and automation. partner with and support senior hris analysts to ensure data integrity and enhanced data reporting functionality in ukg. please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. duties, responsibilities, and activities may change at any time with or without notice. qualifications: required education and experience: bachelor s degree required analytics, data analytics, or a related discipline preferred 4+ year(s) experience working in hr and talent acquisition data analytics and visualization 4+ year(s) experience with building custom reports and extracting data in hr systems 3+ year(s) experience using hr technology as an administrator (preferably ukg and icims) 3+ year(s) experience building dashboards and visualizations for non-technical audiences to interpret preferably 2+ year(s) experience using bi platform knowledge, skills, and abilities: proven ability to use data, analytics, and business knowledge to solve complex business problems advanced proficiency in excel (including vlookup, pivot tables, and formulas) ability to translate data and results for non-technical audience working knowledge of data privacy best practices when working with sensitive employee data physical requirements this job operates in a professional setting. while performing the duties of this job, the employee is regularly required to sit or stand for extended periods of time. normal manual dexterity is required. the employee is occasionally required to stand; walk; and reach with hands and arms and continuously repeat the same hand arm finger motion many times as in typing. other duties : please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. duties, responsibilities and activities may change at any time with or without notice. our priority is the health and safety of our members, colleagues, partners, and community. proof of covid-19 vaccination is required for employment. if you are unable to be vaccinated for medical reasons or sincerely-held religious beliefs, we will consider requests for reasonable accommodations consistent with our policy, and where we are able to provide such accommodations without undue hardship to the company pursuant to applicable law. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. somatus, inc. provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. further, the company takes affirmative action to ensure that applicants are employed, and employees are treated during employment without regard to any of these characteristics. discrimination of any type will not be tolerated. 

 ",dmv,2024
3," 

 job description:  be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises. advance employee intelligence (aei) strives to help government agencies develop a solid foundation and business strategy so they can be successful. providing our nation s leading organizations with mission critical superior service. aei a hubzone employer has a vacancy for a data analyst. in this role, you will be supporting the overall mission of the bureau of alcohol, tobacco, firearms and explosives (atf). responsibilities receives, gathers, analyzes, and organizes information from multiple sources. ensures completeness of received information and reconciles inconsistencies. accurately enters required data into one or more databases, documents, or spreadsheets. establishes and maintains physical files. keeps track of case file status in order to ensure compliance with established deadlines. coordinates requests for additional information as needed. selects relevant information from a variety of sources in order to prepare documents, reports, summaries, and replies to inquiries, ensuring accuracy and proper format of the information provided. performs word processing relevant to case. provides accurate and timely status updates. performs other duties as assigned. candidates currently living in a hubzone strongly preferred. click here to check whether your address qualifies. requirements high school diploma or ged, undergraduate degree preferred ability to grasp and understand the organization and functions of the customer meticulous data entry skills excellent communication skills; oral and written competence to review, interpret, and evaluate complex legal and non-legal documents attention to detail and the ability to read and follow directions is extremely important strong organizational and prioritization skills experience with the microsoft office suite of applications (excel, powerpoint, word) and other common software applications, to include databases, intermediate skills preferred proven commitment and competence to provide excellent customer service; positive and flexible ability to work in a team environment and maintain a professional disposition this position requires u.s. citizenship and a 7 (or 10) year minimum background investigation agency overview the bureau of alcohol, tobacco, firearms and explosives (atf) mission is to enforce the federal laws and regulations relating to alcohol, tobacco, firearms, explosives and arson by working directly and in cooperation with other federal, state and local law enforcement agencies. atf has the authority to seize and forfeit firearms, ammunition, explosives, alcohol, tobacco, currency, conveyances and certain real property involved in violation of law. benefits overview at aei, we recognize the diverse needs of our employees and strive to provide an excellent package to help meet those needs. comprehensive benefits are offered with greater choice and flexibility to support your health, work-life balance, and professional growth. a package providing employee only coverage can be built around our basic plans at $0 employee cost for: medical, dental, vision, term life insurance, accidental death &amp; dismemberment insurance, short-term disability, and employee assistance program. aei is proud to be an affirmative action equal opportunity employer. we recruit, employ, train, compensate, and promote qualified persons in all job titles without regard to age, ancestry, color, gender, hiv status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity) veteran status, family leave status, and any protected group status as defined by applicable law. aei is proud to maintain a drug-free workplace. satisfactory completion of a post-offer drug screening is a condition of employment. as a supplier of services to federal government agencies, such as dea, fbi, uscis, uspis, etc., we also adhere to agency standards with respect to prior drug usage.

 ",dmv,2024
4," 

 job description:  washington, dc description provide management solutions by conducting organizational studies. analyze data to develop management solutions in order to increase effectiveness. provide solutions to problems of rapid expansion, business relocation, etc. develop functional and operational manuals. desired qualifications master s in management or hr development and + 12 months of experience in job offered or evaluation specialist (or related) join the rsl consultants network submit your resume rsl invites you to review our list of services and to consider joining our expert consultants database. if your skills match any of our areas of expertise, fill out our form to submit your resume to be considered for our database. if your resume matches any of our areas of expertise, a representative of rsl will contact you to inform you that you have been entered into our database. please note that rsl reserves the right to decline consideration of any resume that does not meet with its standard of excellence. privacy information: the resumes are only accessible by rsl, they are not accessible by the public or any other institutions. 

 ",dmv,2024
5," 

 job description:  company profile oceaneering technologies (otech) develops, manufactures, and operates customized marine systems, shipboard equipment, subsea vehicles, and engineered solutions for commercial and u.s. military vessels. oceaneering aerospace and defense technologies (adtech) delivers solutions that enable humans to work safely and effectively in harsh environments – from underwater to the outer reaches of space. our innovative solutions support the development and application of practical, cost-effective systems that meet our customers challenges – from routine to extreme. our experience and expertise across multiple industries uniquely positions us as a leader in the government, space, and maritime services markets. our products and services meet the rigorous demands of the complex environments in which they operate, delivering results without compromising safety or reliability. oceaneering is a global provider of engineered services and products, primarily to the offshore energy industry. we develop products and services for use throughout the lifecycle of an offshore oilfield, from drilling to decommissioning. we operate the world s premier fleet of work class rovs. additionally, we are a leader in offshore oilfield maintenance services, umbilicals, subsea hardware, and tooling. we also use applied technology expertise to serve the defense, entertainment, material handling, aerospace, science, and renewable energy industries. position summary the data exploitation analyst participates in all phases of data collection, processing, and reporting at a customer site in suitland camp spring, md. the primary responsibilities of this role are to acquire, analyze, compile, evaluate, and review data for use in standard products, non-standard products, and or data holdings in support of mission requirements. duties &amp; responsibilities essential processing, analysis, evaluation and exploitation of navigation, remote sensor, and shipboard instrumentation data collected from various deep ocean systems. the candidate will be involved in pre-mission support, data collection, analyst &amp; evaluation, and report generation. as enhanced data is identified, the candidate will be responsible to update and correct data sets. perform analysis and evaluation of imagery collected from side scan sonar, bathometric, video, and still photography cameras. use proprietary software including gis-based systems in a network of workstations and personal computers (windows) to perform basic imaging enhancement, display, and analytical functions to obtain, organize, and present information relevant to the exploitation of remotely sensed and imaged data obtained from deep ocean systems. review mission related data logs, worksheets, and reports to determine focal points for the analysis as well as discovery of deficiencies and discrepancies in the performance of data collection equipment and systems. preparation of formal written technical reports as well as oral briefs to report analysis findings and conclusions to the customer. some travel is required. schedule can be demanding throughout the year and work outside normal working hours from time to time should be anticipated. will be required to participate in at sea exercises or data collection missions of various durations. durations normally are between 15 and 30 days but can be as much as 120 days. normal annual requirement is 45-60 days. represent otech and our customer by interacting and participating in meetings, panels, and committees within department of defense, department of the navy, and intelligence. community in the capital planning process. production of various ad hoc documentation &amp; deliverables. maintain configuration control thereby ensuring precise data records. support program reviews and technical reviews of various documentation deliverables. qualifications required associate degree in a technical or related field. equivalent work experience may be considered in lieu of degree. minimum three to five years of related experience. background in gis products (esri) and side look sonars (sls) processing. proficiency in microsoft office, including microsoft word, powerpoint, and excel. ability to obtain a dod security clearance is required. must hold acquire a ts sci with polygraph. strong written and verbal communication skills. must be able to prioritize tasks and work independently and in team settings. ability to pass and maintain a maritime physical. must take maritime safety training iaw the us coast guard guidelines and meet physical, dental, and regional immunization requirements. must be a us citizen. desired bachelor s degree in oceanography, underwater archeology, or related field. experience with autonomous underwater vehicle (auv), &amp; remotely operated vehicles (rovs) and their support equipment. experience with sls systems, doppler sonars, navigation &amp; underwater cameras equipment. knowledge of products like sonarwiz, hypack and winfrog. equal opportunity employer all qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or other non-merit factors 

 ",dmv,2024
6," 

 job description:  duties as a management &amp; program analyst (data analytics), gs-0343-13, you will perform the following major duties: collects, generates, prepares, and cleans data for analysis, and translates the results into clear, actionable communications that enable to organization to make informed, data-driven decisions. conducts observational analyses using software and or programming languages such as sql, r, python, tableau, qlik, power bi, and javascript to explore and group data, test hypotheses, predict outcomes, and inform decisions. prepares and presents the results of quantitative analyses to non-technical audiences and translates complex concepts, findings, and limitations into concise, plain language. collaborates with stakeholders to apply analytical processes to the planning, design, and implementation of new and improved systems to meet the business requirements of the organization. develops and maintains tools to access and analyze data sets in reports, summaries, dashboards, graphs, and charts to provide quick, easy access to insights about the state of the workforce, performance, and other human capital and training matters. requirements conditions of employment u.s. citizenship males born after 12 31 59 must be registered for selective service resume and supporting documents (see ""how to apply"" section.) suitability for federal employment financial interest in transportation enterprises will be evaluated on a case by case basis bargaining unit position: no direct deposit is required. probationary period may be required. you may be required to complete a confidential financial disclosure report, oge-450, upon entering the position and annually. this position is not eligibile for remote telework. applicants must meet all qualifications and eligibility requirements by the closing date of the announcement. qualifications to qualify for this position, you must meet the specialized experience below: gs-13 grade level: you must have one year of specialized experience equivalent to at least the gs-12 grade level in the federal service (experience may have been gained in the private sector). specialized experience is defined as: analyzing, designing, testing, and making recommendations to management and peers regarding the use and implementation of data management systems; utilizing a variety of data analytics tools systems to analyze and interpret unique and highly specialized datasets; and implementing strategies and technologies used to analyze data and perform decision-making to improve business and program operations. for more information see link: http: https: www.opm.gov policy-data-oversight classification-qualifications general-schedule-qualification-standards 0300 management-and-program-analysis-series-0343 note: in describing your experience, please be clear and specific. we will not make assumptions regarding your experience. your resume must clearly show the specialized experience and competencies related to this position. failure to demonstrate how you possess the education, specialized experience and or competencies will result in an ""ineligible"" rating. shared certificates: applicants who apply under this job opportunity announcement agree to have their application, associated documents and applicable personal information shared with other offices within the national transportation safety board who have vacancies within the same occupational series, grade, full performance level and in the same geographic location(s), including within the same metro commuting area. applying to this announcement does not replace the need to apply to other job opportunity announcements for which you wish to receive consideration. education there is no education substitution at this grade level. additional information the national transportation safety board (ntsb) offers a comprehensive benefits package that includes, in part, paid vacation, sick leave, holidays and various benefits as well as work life amenities such as alternate work schedules, telework, flextime, fitness and transit benefits. moving expenses associated with permanent change of station (pcs) are not authorized for this position. a relocation or recruitment incentive may be offered to highly qualified candidates. if you left federal employment and received a buy out and you are selected for this position, you may be required to repay the full amount of the payment. career transition assistance programs: these programs apply to employees who have been involuntarily separated from a federal service position within the competitive service or federal service employees whose positions have been deemed surplus or no longer needed. to receive selection priority for this position, you must: (1) meet ctap or ictap eligibility criteria; (2) meet the basic qualification standards (including minimum educational and experience requirements; (3) be rated well-qualified for the position with a score of 90 and above on the rating criteria for this position; and, (4) submit the appropriate documentation ( to support your ctap or ictap eligibility. for more information visit: http: www.opm.gov rif employee_guides career_transition.asp note: ictap eligibles must submit one of the following as proof of eligibility for the special selection priority: a separation notice; a ""notice of personnel action"" (sf-50) documenting separation; an agency certification that you cannot be placed after injury compensation has been terminated; an opm notification that your disability annuity has been terminated; or a military department or national guard bureau notification that you are retired under 5 u.s.c. 8337(h) or 8456. all qualification requirements must be met by the closing date of this announcement. additional information on the qualification requirements is outlined in the opm qualifications standards handbook of general schedule positions. opm s web site at http: www.opm.gov qualifications. telework may be authorized on a case-by-case basis. multiple and subsequent vacancies may be filled from this announcement. ntsb uses e-verify to confirm the employment eligibility of all newly hired employees. to learn more about e-verify, including your rights and responsibilities, please visit http: www.uscis.gov e-verify. benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. contact the hiring agency for more information on the specific benefits offered. how you will be evaluated you will be evaluated for this job based on how well you meet the qualifications above. applicants will be rated using the category rating system. your resume and supporting documentation will be compared to your responses to the screening questions occupational questionnaire for consistency. applicants must first meet any mandatory education licensure certification requirements before experience is evaluated. failure to meet any mandatory requirement as outlined in the qualifications section will disqualify you from further consideration. based on the extent and quality of your experience, education, and training in relation to these competencies, you will be placed into one of the following three categories: highly qualified - applicants with a background that demonstrates a superior level of possession of all competencies.· well qualified - applicants with a background that demonstrates a satisfactory level of possession of the competencies.· qualified - applicants possessing the specialized experience described above and any education or selective factor if also required. the category rating method does not add veterans preference points or apply the ""rule of three"", but protects the rights of veterans by placing them ahead of non-preference eligibles within each category. documented preference eligibles who meet minimum qualification eligibility requirements and who have a compensable service-connected disability of at least 10% will be listed in the highest quality category, except when the position being filled is scientific or professional at the gs-9 grade level or higher. we will review your resume and supporting documentation to determine your eligibility and qualifications. e xperience must be clearly reflected in your resume . if mandatory education licensure certification requirements are met, your application will be further evaluated based on training, experience and other factors critical to successful job performance such as: collaboration communication data analytics data wrangling problem solving if a determination is made that you have rated yourself higher than is supported by your resume, you will be assigned a rating commensurate to your described experience or your application may be removed from further consideration. benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. contact the hiring agency for more information on the specific benefits offered. required documents as a new or existing federal employee, you and your family may have access to a range of benefits. your benefits depend on the type of position you have - whether you re a permanent, part-time, temporary or an intermittent employee. you may be eligible for the following benefits, however, check with your agency to make sure you re eligible under their policies. you are required to provide documentation that supports the eligibility and qualification claims made in your resume and assessment questionnaire . you must submit the applicable documents listed here and those listed with the eligibilities you select in the announcement questionnaire with your application package. applicants who do not provide supporting documentation that fully support their claims will not be referred to the hiring manager. cover letter is optional. the following documents are required for a complete application package: a complete resume is required: your resume must show relevant experience, job title, duties and accomplishments. your resume must show complete information for each job entry to support minimum qualifications. the following information should be provided in your resume: employer s name, starting and end dates (mo yr), hours per week, and pay plan, series and grade level (e.g. gs-0201-09) for relevant federal experience. please see opm s video on resume writing tips: http: www.youtube.com watch?v=8yx7o1pbofk responses to the questionnaire. college transcripts (unofficial or official), if qualifying based on education or as a basic requirement. dd-214 ( member copy 4 ), sf-15 form and va letter, or certification of expected discharge or release from active duty from veterans for consideration under veteran hiring authorities. career transition assistance program interagency career transition assistance program documentation: (1) proof of eligibility; (2) your latest performance rating showing a rating of at least ""fully successful"" (level 3); and (3) your most recent notification of personnel action, standard form 50 (sf-50), or equivalent personnel action, showing your tenure, position occupied, and duty station. for more information visit: http: www.opm.gov rif employee_guides career_transition.asp if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. how to apply to apply for this position, you must provide a complete application package (see the required documents section).the complete application package must be submitted by 11:59 pm (est) on 04 02 2024. to begin the process, click the apply button to create an account or log in to your existing usajobs account. follow the prompts to complete the occupational questionnaire. please ensure you click the submit my answers button at the end of the process. to view or print occupational questionnaire click here https: apply.usastaffing.gov viewquestionnaire . to check the status of your application or return to a previous or incomplete application log into your usajobs account, select application status, and click on the more information link under the application status for this position. note: if you are unable to apply online or need to fax a document you do not have in electronic form, view the following link for information regarding an alternate applications: https: help.usastaffing.gov apply index.php?title=alternate_application_information at least 1 business day before the closing date. agency contact information human resources division email < h5> humanresourcesdivision@ntsb.gov address < h5> office of human capital management and training 490 l enfant plaza east sw washington, dc 20594 us next steps once the announcement has closed, your resume and supporting documentation will be used to determine if you meet the qualifications listed in the announcement. fair and transparent the federal hiring process is set up to be fair and transparent. please read the following guidance. equal employment opportunity (eeo) policy reasonable accommodation policy financial suitability selective service new employee probationary period signature and false statements privacy act social security number request required documents you are required to provide documentation that supports the eligibility and qualification claims made in your resume and assessment questionnaire . you must submit the applicable documents listed here and those listed with the eligibilities you select in the announcement questionnaire with your application package. applicants who do not provide supporting documentation that fully support their claims will not be referred to the hiring manager. cover letter is optional. the following documents are required for a complete application package: a complete resume is required: your resume must show relevant experience, job title, duties and accomplishments. your resume must show complete information for each job entry to support minimum qualifications. the following information should be provided in your resume: employer s name, starting and end dates (mo yr), hours per week, and pay plan, series and grade level (e.g. gs-0201-09) for relevant federal experience. please see opm s video on resume writing tips: http: www.youtube.com watch?v=8yx7o1pbofk responses to the questionnaire. college transcripts (unofficial or official), if qualifying based on education or as a basic requirement. dd-214 ( member copy 4 ), sf-15 form and va letter, or certification of expected discharge or release from active duty from veterans for consideration under veteran hiring authorities. career transition assistance program interagency career transition assistance program documentation: (1) proof of eligibility; (2) your latest performance rating showing a rating of at least ""fully successful"" (level 3); and (3) your most recent notification of personnel action, standard form 50 (sf-50), or equivalent personnel action, showing your tenure, position occupied, and duty station. for more information visit: http: www.opm.gov rif employee_guides career_transition.asp if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. help this job is open to career transition (ctap, ictap, rpl) federal employees who meet the definition of a ""surplus"" or ""displaced"" employee. the public u.s. citizens, nationals or those who owe allegiance to the u.s. clarification from the agency open to all u. s. citizens 

 ",dmv,2024
7," 

 job description:  about the role tensquare seeks a part or full-time school performance data analyst to perform data and compliance work with partner schools and to coach school data teams and staff in person at partner schools in washington, dc, beginning fall 2023. this position will also be responsible for supporting and providing technical assistance with school, state, and authorizer data systems, and lead quality assurance for all high-stakes and accountability school data submissions, validations, and certifications. there are also opportunities for this position to participate in bespoke analyses, data visualizations, and monitoring tools in service of supporting schools to monitor progress toward their goals. knowledge of powerschool and excel is required for this position, and familiarity with dc accountability systems is preferred. this position includes weekly on-site and remote work. essential duties and responsibilities specific responsibilities include, but are not limited to: support partner schools with data and compliance projects and systems, including: support schools in meeting all state and authorizer data and compliance submissions, validations, and certifications timely and accurately; provide technical expertise, and direct service on school, state, and authorizer information systems and education technology platforms, such as clever, schoology, and infosnap. advise and support schools student information systems processes, including but not limited to: scheduling, rostering, enrollments, report cards and transcripts, attendance, discipline, user management, customizations, and troubleshooting. support school staff in successfully completing key state and authorizer data and compliance projects, including but not limited to: annual enrollment audit, osse data validations, osse metric calculation confirmation, pcsb accountability framework data submissions and measure calculation validation. manage partner school high-stakes data quality assurance: support schools in compiling accurate data submissions; assess the accuracy of schools high-stakes and accountability datasets through audits and data reconciliation checks prior to submission for completeness and correctness; assess the accuracy of schools high-stakes rates and calculations performed by the state and authorizer through audits and data reconciliation checks to ensure alignment with business rules and authoritative school data; to the extent possible, proactively calculate all high stakes and accountability calculations to support schools understanding of their anticipated outcomes on these measures. coach school data teams with varying levels of experience: support school data staffs understanding of state and authorizer high stakes measures and accountability frameworks; train and support school data teams on all state and authorizer data systems, data flows, and data processes, and provide recommendations on issue identification and resolution. support tensquare data teams portfolio of analyses, data visualizations, and custom tools: respond to data requests from internal and school-based stakeholders to develop and complete insightful analyses; conduct analyses and create analysis reports and presentations; support ongoing development of student achievement systems and tools aligned to partner schools performance management; support ongoing development of authoritative datasets and data resources for internal and partner school stakeholders; support performance audits and evaluations. qualifications successful candidates will possess the following qualifications: educational background and work experience a bachelors degree from an accredited institution is required; advanced proficiency in ms excel and google sheets is required; demonstrated experience working with powerschool or other similar student information systems; a minimum of 3 to 5 years of professional experience in data compliance quality assurance and analysis; experience in the k-12 educational field is strongly preferred. skills and characteristics demonstrates a firm commitment to educational equity for all students; possess an unwavering commitment to anti-racism, diversity, equity and inclusion, with an ability to model and foster an inclusive and respectful workplace; strong data skills and experience; including data cleaning, analysis, quality assurance, visualization, reporting, and the ability to understand and implement externally created metric calculations and business rules with exemplary attention to detail; comfort coaching a variety of data and compliance stakeholders, especially those with whom there is not a direct supervisory relationship; is detail-oriented, able to multi-task and effective at planning and organizing; outstanding interpersonal, oral and written communication skills; displays excellent written and oral communication skills, especially in communicating complex data and analyses to non-data stakeholders; possesses a high degree of personal integrity, demonstrated leadership abilities, and a history of working cooperatively with key stakeholders; is proactive and solution-oriented; is able to both work independently and confidently, and as an excellent team player; citizenship, residency or work visa in the united states required how to apply to apply for the position, please complete an application using the link below. applications will be reviewed on a rolling basis. absolutely no phone calls.in accordance with mayor s order 2021-109, tensquare, llc requires all staff to provide proof of full vaccination against covid-19 or obtain an approval for exemption due to medical or religious reasons.tensquare provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. in addition to federal law requirements, tensquare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. 

 ",dmv,2024
8," 

 job description:  description &amp; requirements maximus is looking for a cyber intelligence analyst to support our client in arlington, va. this is a hybrid role. maximus tcs (technology and consulting services) internal job profile code: tcs056, t2, band 5 what you will do: determine validity and impact of threat and vulnerability information shared by partner organizations; provide analysis, and collaborate to determine necessary partner notifications and potential product development. provide technical support and expertise in cybersecurity data analytics. collect, clean, manage, and analyze data sets to improve risk insights. generate user-friendly reports to organize data analysis for internal and external stakeholders. collaborate across multiple teams to coordinate information-sharing and enrichment. correlate data sets to generate products, develop data visualizations and infographics. apply knowledge of cyber threat landscape, emerging threats, and geopolitical events and trends. requirements: must have an active ts sci. 3-5 years of relevant experience as a data analyst, reporting analyst or similar role. bachelor s degree with major coursework in cybersecurity, statistics, data science, or related field. ability to easily communicate with senior government clients, lead discussions, and confidently discuss project status and propose solutions. demonstrated experience in working with clients to develop clear expectations, roles, and requirements for short and long-term projects. excellent oral and written communication presentation skills. demonstrated experience with relevant data analysis tools and platforms, as well as the microsoft office suite. advanced expertise in excel (worksheets, formulas, analytics) and powerpoint is required. (2-3 days a week onsite required. arlington, va) preferred experience: experience in the federal government sector. experience supporting dhs programs or initiatives. ability to apply knowledge of cybersecurity concepts, policies, and procedures is a plus. customer service orientation with strong leadership, interpersonal, organizational, problem-solving, and strategic thinking skills. minimum requirements maximus tcs (technology and consulting services) internal job profile code: tcs056, t2, band 5 eeo statement active military service members, their spouses, and veteran candidates often embody the core competencies maximus deems essential, and bring a resiliency and dependability that greatly enhances our workforce. we recognize your unique skills and experiences, and want to provide you with a career path that allows you to continue making a difference for our country. we re proud of our connections to organizations dedicated to serving veterans and their families. if you are transitioning from military to civilian life, have prior service, are a retired veteran or a member of the national guard or reserves, or a spouse of an active military service member, we have challenging and rewarding career opportunities available for you. a committed and diverse workforce is our most important resource. maximus is an affirmative action equal opportunity employer. maximus provides equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disabled status. 

 ",dmv,2024
