numb_description,job_description
1,"job description:  tsc offers a professional working environment, a competitive salary, and an excellent benefits package. come and join our team! job description: tsc has an immediate requirement for a business intelligence (bi) analyst to work with the operations and accounting teams to design, develop, and deploy business intelligence solutions that leverage data warehouse, bi reporting, and analytic solutions. the areas of focus will be the development of reports and dashboards. responsibilities: develop and maintain cognos reports that interface primarily with deltek costpoint modules work with report users to define and document requirements for new reports and modifications to existing reports develop and maintain dashboards and apply data visualization and user interface best practices manage report security and report distribution support integration efforts for merging bi platforms with enterprise systems and applications define and maintain configuration management of the reporting portfolio create and maintain a standard reporting library and delivery schedule to meeting customer and operational needs work independently and with a team to solve problems involving complex and large data sets required qualifications: minimum 5 years experience in business intelligence solutions minimum 3 years experience developing cognos reports experience with deltek costpoint accounting system database schema excellent verbal written communication skills analytical and independent problem-solving skills organizational skills to balance and prioritize work ability to obtain and maintain a ts sci dod clearance. u.s. citizenship required preferred qualifications: oracle sql expertise microsoft excel expertise power bi or other bi related tools expertise software development expertise college university degree in data analytics, data science, or an equivalent field u.s. citizenship required for this position: yes job type: regular security clearance : no travel: none relocation assistance available: no position contingent upon award of contract: no tsc benefits: tsc offers a stable work environment, a competitive salary, and a comprehensive benefit package; including esop participation, 401k plan, flexible work schedules, tuition reimbursement, co-sponsored health plan, paid leave and much more. applying to tsc : only those candidates invited for an interview will be contacted. employment at tsc is contingent upon the successful completion of a comprehensive background check, security investigation, and a drug screening. tsc is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity employer affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class . this contractor and subcontractor shall abide by the requirements of 41 cfr 60–1.4(a), 60–300.5(a) and 60–741.5(a). these regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, national origin, or for inquiring about, discussing, or disclosing information about compensation. moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. 

 "
2," 

 job description:  about us: devtech systems, inc. (devtech) is an international consulting firm dedicated to development, with 39 years of experience providing advisory services and technical assistance to government, private sector, and civil society stakeholders in more than 100 countries. devtech core practice areas include: monitoring evaluation, research and learning; data solutions; public financial management and fiscal sustainability; and education, gender, and youth. at devtech, we care deeply about doing work that leads to positive change in the world. we celebrate diverse perspectives and are committed to an inclusive environment. we empower our employees to work autonomously and simultaneously give them the professional support that they need to learn and grow. overview: devtech is looking for a senior humanitarian data analyst to work as an institutional contractor on its analytics, data, visualization, and information services 2.0 (advise 2.0) contract with the united states agency for international development (usaid). advise 2.0 staff comprise much of the usaid data services team, led by usaid s chief data officer (cdo) and situated in usaid s bureau for management, office of the chief information officer (m cio). the senior humanitarian data analyst will work with the bureau for humanitarian assistance (bha). overall, this role is responsible for helping bha decision makers interpret and use the data graphics that the team builds. this role will perform data analyst tasks and serve as an integral staff member in the humanitarian assistance data space. this position s place of performance is washington d.c. remote work has been authorized for this position. about the team usaid data services core values are: we are passionate, ambitious and care deeply about our work and the usaid mission. we are serious about meeting the needs of our customers. we are funny. we have fun. and we are human. we communicate and close feedback loops. we are proactive. we do not wait for success to come find us. we are a team who is committed to each other. in keeping with these core values, we respect and encourage an inclusive and diverse environment in which we see our differences as strengths. we are a team of motivated and responsible self-starters that enjoy working in a team-oriented environment. we are always looking for ways to grow, through feedback, learning, and collaboration. responsibilities: analyze internal and or industry data and use it to answer business questions. summarize and communicate those answers to other teams in the organization for action and decision making. access data, cleanse data, perform statistical analysis, visualize data and communicate results. engage with clients to understand requirements. develop, maintain, and manage advanced reporting, analytics, dashboards and other bi solutions. perform and document data analysis, data validation, and data mapping design. undertake quality assurance peer review of data products created by colleagues. general may be requested to be on-call or serve as needed on washington-based response management teams (rmts), which provide services and support to disaster assistance response teams (darts) deployed in response to disasters. the duties on rmts will vary. as needed, may serve on temporary detail within the bureau to meet operational needs during staff shortages. duties performed while on detail will be aligned with the team s existing duties and responsibilities and will be directly related to the scope of work provided. in compliance with usaid and contractor policies and procedures, consistently model behaviors that demonstrate a commitment to fostering a non-hostile work environment free of discrimination, bias, unfairness, exclusion, offensive behaviors, and harassment of any kind. actively participate in diversity and harassment training opportunities, brown bag sessions or focus group discussions, and workforce diversity initiatives activities focused on helping to improve the organizational culture. demonstrate consistent accountability for adherence to and knowledge of laws, executive orders, and usaid s policies which prohibit equal employment opportunity (eeo) and non-eeo infringements as well as the agency s zero tolerance for sexual misconduct, including harassment, exploitation, and abuse of any kind. understand reporting criteria and report up in a timely manner. ensure that conduct is not inappropriate or offensive to others by responsibly and intentionally creating a culture of civility and respect whereby both managers and employees are expected to behave professionally at all times. hold self and others accountable for adhering to a zero-tolerance policy for harassment of any form, bullying or any other prohibited behaviors and report objectionable conduct. assists staff in understanding the value of differing perspectives, cultural norms, and gender in the work environment. qualifications: bachelor s degree in mathematics, data science, information systems, or related field. 14+ years industry experience. education may substitute for years of experience. experience supporting humanitarian field operations. experience with data cleaning. experience with data visualization. creative and compelling data storyteller. advanced ability to perform exploratory data analysis. excellent attention to detail. competency in excel (macros, pivot tables, etc.) extensive experience in developing, maintaining and managing common bi platform driven dashboards &amp; analytics and working knowledge of common bi platform administration architecture. excellent interpersonal skills ability to work well in a diverse team. the candidate must be a u.s. citizen to qualify for the required u.s. government security clearance for this project. eeo statement: note: this job posting should not be construed to imply that the requirements are the exclusive standards of the position nor will it be the sole basis for any subsequent employee evaluations. incumbents will follow any other instructions and perform any other related duties as may be required by their supervisor. all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, national origin, religion, sex (including pregnancy, childbirth, or related medical conditions), age (40 and older), physical and mental disability, genetic information (including family medical history) or characteristics, military status, protected veteran status, sexual orientation, gender identity, citizenship or alienage, or any other protected status as established by applicable federal, state, or local law. 

 "
3," 

 job description:  the puyenpa family of companies are comprised of multiple sba certified native american tribal 8(a) and multi-certified organizations focused on delivering information technology, management consulting, and general construction solutions to the federal government along with the commercial sector. we are actively seeking a senior and mid level strategic support analyst based in crystal city, arlington, va. this is a full time, hybrid role. this position requires an active dod secret clearance. salary is doe. this is an exciting opportunity to be part of the puyenpa team supporting the f-35 jpo project. the minimum requirements for this role are: senior level: experience in program management, technical or business analysis discipline; and included in the ten years, there must be at least six years professional experience related to analysis and planning; and included in the six years, there must be four years professional experience in technical efforts supporting major weapon systems and components development. mid-level: experience in program management, technical or business analysis discipline; and included in the six years, there must be at least four years professional experience related to analysis and planning; and included in the four years, there must be two years professional experience in technical efforts supporting major weapon systems and components development. familiarity with dod instruction (dodi) 5000.2 (operation of the defense acquisition system). demonstrated knowledge of service and osd policy and documentation related to ppbs, life- cycle management of military acquisition programs (as specified in the dod 5000 series) demonstrated knowledge of the principles, policies, and practices of system acquisition to plan, organize, and coordinate critical aspects of the development, production, deployment, and sustainment of systems, subsystems, and equipment demonstrated knowledge of the system equipment life-cycle phases and the documentation, analyses, and reviews associated with those phases strong analytical skills demonstrating the ability to define, collect and analyze data, establish facts, draw valid conclusions, and make logical decisions puyenpa provides a variety of benefits including company-paid health, dental &amp; vision insurance coverage, as well as additional employee-paid health insurance options; company-paid life and disability insurance; 401k retirement savings plan with employer match; 11 company paid holidays per year, and paid time off. puyenpa is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. at puyenpa, we know that diversity makes us stronger. we are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. we are also committed to providing accommodations for persons with disabilities. if for any reason you require an accommodation or assistance with applying, please contact recruiting@puyenpa.com. xj6 

 "
4," 

 job description:  the talent acquisition department hires qualified candidates to fill positions which contribute to the overall strategic success of howard university. hiring staff “for fit” makes significant contributions to howard university s overall mission. job posting introduction: howard university s office of development and alumni relations is seeking an enthusiastic development professional who would like to join historic howard university as we continue to make history in our fundraising efforts. if you enjoy managing data, creating reports, and allowing your creativity to shine, while making data nerds look cool, then this opportunity is for you. job purpose: provide expertise and knowledge in analytics and data visualization to support and maximize the institution s fundraising efforts. review, clean and pre-process large data sets in preparation for data imports and analysis. analyze internal and external data, reliably measuring, reporting, and surfacing insights to support data-informed business decision-making. help develop tools, dashboards, and analytics solutions and help embed the use of data and business intelligence within the office. proactively and creatively provide timely and responsive analysis, including data visualizations and contextual reporting. develop standards for data validation which supports best practices for excellent data health. maintains current knowledge and remains abreast of product new releases and updates for raiser s edge and any other software subscriptions within development and alumni relations. supervisory authority: n a nature and scope: internal contacts: the bi analyst works closely with the director of advancement services to fulfill all reporting requirements for dar (development and alumni relations) leadership team, dod s (directors of development) and 14 howard university schools and colleges. this position works with howard s ets (enterprise technology services) team as needed assisting with any software updates and related issues. external contacts: the bi analyst works closely with howard university vendors assisting with onboarding new software and responsible for troubleshooting issues ongoing management and maintenance of existing software. principal accountabilities: designs, creates, and maintains queries, reports, and dashboards for reporting, analysis, and data imports. identifies relevant data and metrics for analysis. reviews, cleans, and pre-processes large data sets in excel, raiser s edge and all other software subscriptions in the department. collaborates with advancement leadership to ensure data integrity and that key stakeholders are receiving pertinent information for fundraising. provides reliable information for pipeline building and projections. provides support to the team, which includes creating queries, reports, lists for mailings, projects, etc. core competencies: demonstrated proficiency in query and report building in a development crm (customer relationship management) (i.e. raiser s edge, ellucian, salesforce or similar). demonstrated ability in creating reports that influence goal setting and pipeline projections for the fundraising team. excellent computer software proficiency including microsoft excel, word, and powerpoint. excellent problem-solving skills. strong attention to detail and ability to analyze substantial amounts of data. strong written and oral communication skills. demonstrated ability in creating reports that influence goal setting and pipeline projections for the fundraising team. minimum requirements: bachelor s degree in computer science, statistics, information systems, or closely related field preferred. 4-5 years of relevant experience in higher education or non-profit development preferred. 

 "
5," 

 job description:  overview: are you a data professional that wants to be a part of the team that is confronting and solving some of the government s most pervasive, data problems? does the idea of leveraging data to justify the adoption of business transformation initiatives excite you? do you enjoy partnering with decision-makers to understand data insights and develop solutions that help them better control costs, ensure basic accountability, anticipate the future, measure performance, and maintain optimal operations? if so, advana is the place for you! as a decision support analyst on the campaign decision support team (cdst), you will increase dod leader decision space, drive understanding of strategic risk, and develop recommended courses of action. cdst analysts employ expert judgment, adaptable methodologies, repeatable analytic processes, and enterprise-wide collaboration to provide routine, special interest, and alert-triggered campaign assessments, and when necessary, facilitate and synchronize enterprise-level campaign adjustment. analysts will utilize a flexible and foundational toolset to add value across campaigning topics, blending functional area knowledge with an ability to identify data sources, manipulate data, use data analytics tools, understand anticipate strategic intent, and communicate with senior dod leaders. we re looking for the right combination of data science skills and candidates with at least 8-10 years of experience in these functional areas: strategy and operational concepts; logistics and supply chain; defense and military operations and activities; authorities and permissions; defense and military agreements; command and control arrangements; strategic influence. minimum security clearance: active ts sci location: mark center, alexandria, va onsite requirements: 4-5 days per week employees are required to follow all company and customer site covid-19 protocols. responsibilities: data analysis : collect, clean, and analyze data from various sources to identify trends, patterns, and insights. reporting : generate regular and ad-hoc reports to communicate key findings and insights to stakeholders. forecasting and predictive modeling : develop models to forecast future trends and outcomes based on historical data. decision support : provide recommendations and insights to support strategic decision-making processes within the organization. performance monitoring : track and monitor key performance indicators (kpis) to assess the effectiveness of business strategies and initiatives. data visualization : create visualizations such as charts, graphs, and dashboards to communicate complex data insights in a clear and understandable manner. collaboration : work closely with cross-functional teams including finance, marketing, operations, and it to gather data and insights for decision-making purposes. continuous improvement : identify opportunities to enhance data collection processes, analysis methodologies, and reporting tools to improve decision-making capabilities. qualifications: extensive experience analyzing and interpreting complex data and researching findings to create strategies for improvement extensive experience using tools and portals (i.e., databricks, jira, sharepoint, and similar tools) that link and integrate authoritative data sources for tracking, monitoring, and reporting familiarity with the pentagon, dod organization structure, and senior leader decision-making and experience interfacing with senior dod leaders excellent problem-solving, communication, and interpersonal skills, and possess a range of knowledge and experience in: programming (low level, high level, parallel) artificial intelligence and machine learning simulation model development and prototyping software engineering experience conducting research and analysis to assist smes and program analysts with identifying strategic options, develop relevant courses of action, and risk-based alternatives to operational challenges proven ability to gather data and create reports and presentations, review and organize disparate quantitative and qualitative data into coherent analyses highly proficient working with data driven tools, including: databricks, qlik, tableau, arcgis, analyst s notebook, etc. experience building and using visualization dashboards and analytic tools to communicate recommendations and findings to senior leaders and external stakeholders intermediate level coding experience and familiarity with programming languages such as python energetic, with strong interpersonal skills and background. experience working within a team environment and the ability to adapt to rapidly changing requirements and multi-task capabilities since 2006, intelligent waves has remained committed to providing quality engineering, operations, and intelligence solutions to our clients and it all starts with you. intelligent waves provides a great and generous benefits package to include medical, dental and vision, paid pto leave and, life &amp; disability packages. we also invest in our employees futures by providing a contribution with vesting starting from day 1, technical training, tuition bonuses, and much, much more. clearance statement: applicants selected for this position will be subject to a government security investigation and must meet eligibility requirements for access to classified information. only us citizens are eligible for a security clearance. for this position, intelligent waves will consider only applicants with security clearances . intelligent waves llc is an equal opportunity employer. we are committed to providing equal opportunity to all applicants and employees in full compliance with all applicable state and federal laws prohibiting discrimination on the basis of race, color, age, gender, religion, national origin, disability, sexual orientation and gender identity protected veteran status and individuals with disabilities, or any other class protected by applicable state or federal law. a veteran friendly organization #iw 

 "
6," 

 job description:  overview: these positions are located in the office of multilateral and global affairs (mlga) in the bureau of democracy, human rights, and labor (drl). the contractors will support the visa sanctions team lead. the contractors will work closely with counterparts on the drl regional desks, in the geographic bureaus, consular affairs, the office of the legal advisor, and the interagency to coordinate and implement bureau policy on human rights sanctions and human rights-related visa ineligibilities. the contractors will demonstrate competence in analyzing and synthesizing large amounts of data and related information into coherent and cogent materials for bureau leadership. superior research, writing, and briefing skills are a core requirement for this position. the contractors should have a current secret security clearance. responsibilities: the data analyst is required to conduct research, technical analysis, and written materials related to the preparation of nominations and assessments for human rights-based visa restrictions and sanctions, as well as visa processing, implementation of human rights-related visa ineligibilities, and other immigration functions (asylum, removals, parole) to the drl mlga office. this position will be expected to conduct a large amount of data input and should have experience with microsoft excel or similar documentation software. monitor human rights abuses in and associated with the crisis in ukraine, including through classified and unclassified reporting channels, media sources, and ngos. conduct outreach and liaison work with relevant geographic bureaus and drl regional desks, consular affairs, the office of the legal advisor, and others. develop cases – including by undertaking research (on open source and classified systems), preparing reports and analyses, and inputting data - regarding the actions of foreign government officials and others who may be involved in or responsible for the commission of human rights abuses, for use by fte officers in making policy determinations regarding global magnitsky nominations and statutory visa ineligibilities. support the application of ina 3c policies related to ukraine, russia, and or belarus through extensive open source research, access to the consular consolidated database (ccd), and the input of large amounts of data in excel spreadsheets or similar documentation software. analyze human rights-related developments in and associated with the crisis in ukraine and inform fte officers of the implications of such developments. draft and edit written products related to the state of human rights in ukraine, russia, and or belarus, and provide periodic briefings to department officials. qualifications: the contractors will demonstrate competence in analyzing and synthesizing large amounts of data and related information into coherent and cogent materials for bureau leadership. superior research, writing, and briefing skills are a core requirement for this position. the contractors should have a current secret security clearance aap eeo statement: dni complies with all federal, state and local laws designed to protect employees and job applicants from discrimination based on race, religion, color, sex, parental status, national origin, age, disability, genetic information, military service, or other non-merit-based factors 

 "
7," 

 job description:  freedom technology solutions group is seeking a senior geospatial analyst subject matter experts to address priority development challenges and enhance the agency s capacity to integrate data and analysis into routine decision making. the analyst will conduct advanced geospatial analysis and mapping to provide a better understanding of a given geographic location. they will extract data from gis software and use varying analysis methods to arrive at results. the senior geospatial analyst will also be expected to perform short-term technical assistance overseas. technical support and analytical services: apply geospatial analysis techniques to priority international development challenges assist usaid subject matter experts with geospatial thinking for improved planning, monitoring, evaluation, and reporting of programs design, develop and deliver geospatial analyses and visualization products to support usaid operations at all stages of the development programming cycle acquire, process, manage, and analyze data from a range of sources produce compelling maps and data visualization products on demand collaborate with a team of interdisciplinary experts within usaid s geocenter strategic planning, support and capacity building: prepare concept papers, background analyses, and briefings to build support for the use of data analytics and geospatial approaches throughout usaid facilitate discussion among key usaid stakeholders to articulate a vision and plan for integrating geospatial data analysis into planning, delivering, and assessing development programs provide training and capacity building services to non-technical audiences on accessing, analyzing, and visualizing data to improve development programming required qualifications: must possess or be able to obtain a secret level security clearance 8 years of experience with a bachelor s degree or 6 years of experience with a master s degree or 4 years of experience with a phd technical knowledge of industry-standard gis software (esri arcgis, qgis, mapbox, leaflet.js, cartodb, etc.), spatial data infrastructure (sdi), and creation of geospatial data products in developing country environments quantitative background and experience in data collection, cleaning, and reproducible analysis and visualization. experience with statistical software or programming languages (python, stata, sas, r, spss, matlab, tableau, powerbi) is preferred experience in developing and implementing standard data analysis workflows ability to produce compelling data visualization products using adobe applications, such as illustrator, photoshop, and indesign ability to create interactive web-based products using html, css, and javascript curious, self-motivated individual with excellent communications skills - must be able to distill technical and quantitative information for non-technical audiences experience translating complex geospatial analysis and visualization results into briefing documents or presentations for senior leadership ability to apply geospatial analytical techniques to problems and data sets spanning diverse sectors as agriculture, democracy &amp; governance, economic growth, education, environment, and health strategic project leadership: experience leading and facilitating what s in it for you? flexible work environment a team mentality – work with friendly, like-minded professionals work with innovative, cutting edge technologies enjoy extremely competitive compensation and benefits a work-life balance you can count on opportunities to grow and advance your career on our dime the benefits you get with freedom amazing benefits including matching 401k, fully paid medical, and more generous paid time off – including paid site closure days competitive salary offerings paid training and tuition reimbursement referral bonuses fully paid life and disability annual logo wear allowance company sponsored events (game nights, holiday party, summer party, happy hours) interested in learning more about freedom and our culture? contact us today! we re constantly hosting hiring events in our office and elsewhere, to help you get a sense of what life is like at freedom before joining the team. as an equal opportunity employer, we do not discriminate on the basis of race, color, religion, sex, age, marital status, disability or veteran status applicant federal &amp; e-verify postings vevraa federal contractor accessibility: if you need an accommodation as part of the employment process, please contact human resources at phone:  email: recruiting@choosefreedomit.com equal opportunity employer, including disabled and veterans. if you want to view the eeo law poster, please choose your language: english - spanish - arabic - chinese if you want to view the eeo law supplement poster, please choose your language: english - spanish - chinese if you want to view the pay transparency policy statement, please click the link: english 

 "
8," 

 job description:  cydecor is a premier federal government solutions provider, delivering differentiated innovations in mission systems and business platforms. we leverage leading-edge secure systems and software development, backed by industry-leading subject matter expertise, and business intelligence to enable decision-support and remain ahead of ever-evolving national security challenges. our success rests squarely on three bedrock principles: people, our center of gravity; mission, what inspires us; and an unyielding commitment to excellence, what separates us. job description: we are seeking a senior level business systems analyst-sme with the ability to perform exceptional data analysis and detailed requirements building supporting united states air force readiness reporting objectives. this includes helping to shape policy, forecast readiness shortfalls, and generate future requirements to address csaf and secdef reporting requirements. we are looking for someone with specialized knowledge in reporting compliance, policy, and relevant leadership at headquarters air force (a3tr). responsibilities include: provide guidance and actively participate in requirements reviews, client support, testing and everyday readiness analysis in support of air force readiness assets research and capture business needs and act as a proxy for the users and customers by interfacing directly with developers, subject matter experts, stakeholders, and testers to ensure the end-state functionality is acceptable in fulfilling the identified customer value on the data side, will work with appropriate organizations to identify relevant data sources as the primary liaison for memorandums of understanding memorandum of agreement as a key member of the team, the bsa-sme will be required to analyze data for inconsistencies such as missing bad data and support complex queries from data source partners or customers. will also take point on coordinating with the dod customer to communicate product status and alignment to the organization s needs. strong communication and interpersonal skills are needed for success in regular meetings with senior military officers involved in plans, policy, training management, and readiness assessment. here s what you need: at least 5 years of experience as subject matter expert working with air force readiness and readiness reporting, including familiarity with policy, directives, and current top task items effective written and oral communication skills ability to train readiness at multiple levels: leadership, majcoms, wings, unit commanders, unit admins, etc. ability to communicate with customers, stakeholders, and an agile software development team proficiency in ms office suite strong organizational, time management, and meeting facilitation skills bonus points if you have: 10+ years of us air force experience knowledge of metl sorts readiness reporting policy expertise in current readiness reporting (to include utc reporting) efforts security clearance: active secret security clearance education: bachelor s degree or equivalent experience work schedule: onsite benefits: cydecor offers a comprehensive compensation package including health and dental insurance, vision and life insurance, short-term &amp; long-term disability, 401(k) + company match, paid time off (pto), paid company holidays, tuition assistance program and more. what we believe we have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. as a business imperative, every person at cydecor has the responsibility to create and sustain an inclusive environment. equal employment opportunity statement cydecor is an equal opportunity employer. we believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion, or sexual orientation. cydecor is an equal employment opportunity affirmative action employer (eeo aa). all employment and hiring decisions are based on qualifications, merit, and business needs without regard to race, religion, color, sexual orientation, nationality, gender, ethnic origin, disability, age, sex, gender identity, veteran status, marital status, or any other characteristic protected by applicable law. if you are a qualified individual with a disability and or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to access job openings or apply for a job on this site because of your disability. you can request assistance by contacting hr@cydecor.com or calling . 

 "
9," 

 job description:   class=""jobsearch-jobdescriptiontext jobsearch-jobcomponent-description css-10og78z eu4oa1w0"">within the role of strategic support analyst you will support a highly visible defense aviation joint program office (jpo), responsible for managing a major defense weapon system development. you will perform critical project planning, and it management functions need to ensure the ocio and the entire jpo has the data and tools they need for mission success. location: this position offers a hybrid schedule – you ll work two days per week on-site in arlington, va, and seventh sense will support your commute by contributing over $1,500 annually to your transportation fsa. unlock the perfect balance of remote flexibility and collaborative office culture! what you ll do: the person selected for this support analyst position will join a team of project planning and it analyst professionals to support the f35 jpo s office of chief information officer (oico) centralize jpo data in a master data management platform to improve operations and performance, and assist the ocio in feeding all enterprise operations with the required data to support the agile decision making process within the jpo. perform critical program management, technical, or business analysis of major dod acquisition systems and provides recommendations to ensure program success participates as a member of and or supports the overall pmo apply knowledge of the principles, policies, and practices of program management and systems acquisition to inform the planning, organization, and coordination of critical aspects of the development, production, deployment, and sustainment of aircraft systems, subsystems, and equipment track and report program project status to include cost, schedule, and performance must haves: secret security clearance with ability to obtain a top secret clearance education requirement: bachelors degree in business administration, or other related discipline or associates degree plus four (4) years of additional relevant work experience work experience requirements: minimum of 6 years of relevant experience in a combination of program management, and or technical or business analysis discipline at least four (4) years out of six (6) of recent work experience related to analysis and planning at least two (2) years in support of a major defense acquisition program (mdap) familiarity with dod instruction (dodi) 5000.2 (operation of the defense acquisition system). demonstrated knowledge of information technology support, data management, and cybersecurity requirements demonstrated knowledge of service and osd policy and documentation related to ppbs, life- cycle management of military acquisition programs (as specified in the dod 5000 series) demonstrated knowledge of the principles, policies, and practices of system acquisition to plan, organize, and coordinate critical aspects of the development, production, deployment, and sustainment of systems, subsystems, and equipment life-cycle phases and the documentation, analyses, and reviews associated with those phases strong analytical skills demonstrating the ability to define, collect and analyze data, establish facts, draw valid conclusions, and make logical decisions secret security clearance with ability to obtain a top secret clearance nice to haves: knowledge of defense federal acquisition regulations (dfar) for the development of contracts and contract modifications required for the acquisition of logistics supportability products. familiarity dod directive (dodd) 5530.03 (international agreements), and the international cooperation in acquisition, technology and logistics (ic in at&amp;l) handbook 5th generation fighter acquisition management experience f-35 lightning ii program knowledge and expertise experience with and knowledge of acquisition challenges associated with a contractor supported weapon system (csws) why work for seventh sense? our company was founded on a family-oriented philosophy, and our culture is rooted in making a difference in the lives of our “work family” members (referred to simply as “members” rather than “employees”). our comprehensive benefits include: medical, dental, and vision insurance 401(k) plan with generous company match and immediate vesting pto and 11 paid holidays employee assistance program accident and critical care insurance options unique benefits include: day off to celebrate your birthday day off on your company anniversary date day off to volunteer for the community service project of your choice a bonus plan that allows each member to financially benefit from company, team, and individual success. you are in full control of the bonuses you receive – ask us how! a peer-to-peer recognition platform that allows members to recognize each other s accomplishments and contributions. professional development opportunities including consulting skills training and federal acquisition training, as well as resources to assist with family life and mental wellbeing. about us: seventh sense consulting is an award-winning consulting company focused on providing federal agencies with ""enlightened solutions that deliver lasting value"". our teams work with our clients to provide innovative solutions, enhance integration, and facilitate transparency of core acquisition. we are a 100% virtually operated virginia-based company serving multiple clients across the us, and we have been recognized for 3 years in a row as a “best place to work” by the washington business journal! to learn more visit us at www.seventhsenseconsulting.com equal employment opportunity: seventh sense consulting is an equal opportunity employer committed to a culturally diverse workforce. all qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status. our company s enlightened solutions encompass a comprehensive range of dei initiatives, aimed at fostering a diverse, equitable, and inclusive environment, promoting equal opportunities, and empowering individuals from all backgrounds to thrive and contribute their unique perspectives.

 "
10," 

 job description:  overview: nakupuna consulting is seeking a senior business analyst to join our team of talented consultants providing professional services to the office of the under secretary of defense for acquisition and sustainment (ousd(a&amp;s)). this individual will support senior leadership, multiple project teams, and the business development team to support service delivery as well as grow our management consulting line of business. the ideal candidate will be a problem solver who promotes collaboration and embraces learning and innovation. responsibilities: the following reflects management s definition of essential functions for this job but does not restrict the tasks that may be assigned. management may assign additional duties and responsibilities to this job at any time due to reasonable accommodation or other reasons. provide program and technical subject matter expert support for the planning, monitoring, and executing of special studies for the program office. perform trend analysis to identify tactics, techniques, and patterns associated with economic activity is specific regions of interest. utilize analytic frameworks, including value chain analysis, game theory, geospatial, and all source analysis. advise analysts working with the office on risks, trends, and patterns for economic influence, adversarial capital, and economic coercion. evaluate efficacy of current tools and processes to recommend improvements. review and analyze current reports and documents to assess key data and findings. monitor, track, and manage responses to congressional inquiries. manage communications with related offices within ousd(a&amp;s). partner with leadership to drive forward the mission of the directorate and work to safeguard the industrial base. oversee contract deliverables and compliance. support the integration of change efforts across the program office. provide project management and communications support on contract. tasks may include but are not limited to drafting and compiling monthly status reports and project status review briefs; drafting and reviewing client deliverables; analyzing data and developing visualizations and high-level presentations. assist the development of workflow strategies, design of sharepoint site, messaging campaigns, and sops. strive to continuously improve processes and product delivery. qualifications: skills qualifications: the ideal candidate possesses expertise and experience in the business development cycle. specifically, the ideal candidate will be familiar with and have experience with the following technical knowledge, skills, and abilities: project management skills and experience collaborating with teams. experience working in or with federal government and or military is required. ability to understand technical landscape and communicate effectively to multiple audiences. excellent writing, editing, and oral communication skills. ability to apply stylistic and grammatical standards to a variety of content types. exerperience with different types of analysis. experience synthesizing complex or diverse information. willingness to take initiative and solve problems. strong time management skills and ability to prioritize. ability to work under pressure and sometimes after core business hours to meet tight deadlines. ability to adapt in a fast-paced environment. adaptability is critical to success in this role. experience working across teams. willingness to share expertise with others and give and receive honest feedback. education and experience: this position requires at least 15 years of relevant experience. a master s degree from an accredited institution is preferred. pmp certification is preferred. location: this position will be reporting to the pentagon and the mark center. clearance requirements: this position requires an active top secret sci security clearance. must be a u.s. citizen. physical requirements: in addition to the skills and qualifications mentioned above, candidates must, at a minimum, be able to meet the following physical requirements. ability to lift up to 25 pounds. ability to use stairs without assistance. ability to perform repetitive motions with the hands, wrists, and fingers. ability to engage in and follow audible communications in emergency situations. ability to sit for prolonged periods at a desk and working on a computer. 

 "
