numb_description,job_description
1,"job description:  you re someone with an impressive track record of project execution seeking an environment where you re empowered, challenged, and rewarded. maybe you moved to dc to work for a consulting firm or contractor, but you re jaded by the bureaucracy and office politics within a larger corporate structure. or, maybe you ve managed many departments at a small company, but you see the limits of where you re at and want to achieve more. whatever your background, you re searching for more variety and autonomy in the projects you manage and seeking visionary leadership. we re a small, fast-charging, extremely high performance single family office. we have an entrepreneurial mindset and strongly value problem solving ability and emotional intelligence. you would be working directly with a “unicorn” founder who had a successful exit and is now deploying personal capital on commercial real estate, private investments, and passion projects. this role of project manager for single family office will be exceptionally varied—it s one part executive assistant, one part research analyst, one part project manager, etc.—the list goes on. curiosity, creativity, and strong organizational abilities will serve you well in the role. we demand a high level of excellence from each member of the team, and we expect you to have the same exacting standards. while we re serious about our work, we don t take ourselves too seriously—and hope you don t either! due to the nature of the role with a family office, a high level of trust is critical, so we will be very thorough regarding background checks, references, and assessments as a part of the hiring process. in exchange, we encourage you to be thorough in your vetting of the role as well— when you submit your resume, please include an initial list of questions you have for us at the end of the document —this is a chance for us to be interviewed by you as well. responsibilities: “figuring it out”—researching, learning, and executing on projects managing others—vendors, contract employees, etc. keeping up with quickly shifting priorities maintaining highly organized notes, quotes, invoices, and records handling administrative tasks as they occasionally arise requirements: undergraduate degree with 5+ years of relevant work experience—or equivalent strong negotiating and vendor management skills exceptional communication and organizational skills ability to work at a lightning fast pace familiar with google suite trustworthy with track record of handling confidential information willing to sign an nda, complete background financial check, random drug tests, and behavioral cognitive assessments work onsite five days a week in downtown washington, dc (1 block from farragut west station) compensation: this is a full-time salaried position base salary will be a minimum of $125,000, or higher based on experience bonuses and profit-sharing opportunities with performance 15 days pto + paid holidays free parking at our downtown washington, dc office building job type: full-time pay: from $125,000 per year benefits: dental insurance health insurance paid time off professional development assistance vision insurance compensation package: bonus opportunities performance bonus experience level: 4 years application question(s): why are you interested in this role? education: bachelor s (required) ability to commute: washington, dc (required) ability to relocate: washington, dc: relocate before starting work (required) work location: in person v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
2," 

 job description:  at freddie mac, you will do important work to build a better housing finance system and you ll be part of a team helping to make homeownership and rental housing more accessible and affordable across the nation. position overview: the project management (pm) tech lead role will be part of the risk strategy execution team within the single-family credit risk management division! the pm tech lead role will: manage and support a portfolio of projects and ad-hoc tasks as assigned partner with subject matter experts to help them realize goals desired outcomes as needed, develop plans, options, and or roadmaps work to successfully drive projects to completion, timely and within budget manage all elements of the project delivery lifecycle, including: meeting facilitation, meeting minutes, raid, producing project management artifacts collaborate with internal partners work with collaborators in the lp community including but not limited to sf credit risk management, meda, fe, and md teams work independently with limited direct supervision from a project management director our impact: the single-family credit risk management risk strategy execution team is responsible for: partnering with business areas and their executive and management-level leadership in identifying, prioritizing, planning, delivering, and reporting on mission-based programs and projects your impact: in this role, you will play a key part in planning and delivering projects that contribute to the success of our mission and goals. you will be responsible for driving projects and other program initiatives, ensuring that all scoped work is delivered, and all internal controls are adhered to in the process qualifications 8-10 years of professional, related experience bachelor s degree or equivalent experience ability to support multiple concurrent high priority projects in various capacities project management experience using standard project management tools; collecting, writing, and maintaining requirements; maintaining action item, issue, and risk logs; managing reporting and facilitation of effective project team meetings demonstrated proficiency in ms office suite (excel, powerpoint, word, project) keys to success in this role: possessing ownership and accountability for assigned delivery of projects strong project management and planning attributes strong eye for business, analytical and problem-solving skills strong understanding of lp, collaborators, and dependencies to effectively manage timelines excellent verbal and written communication skills ability to work collaboratively with key internal collaborators highly organized &amp; a drive to deliver current freddie mac employees please apply through the internal career site. today, freddie mac makes home possible for one in four home borrowers and is one of the largest sources of financing for multifamily housing. join our smart, creative and dedicated team and you ll do important work for the housing finance system and make a difference in the lives of others. we are an equal opportunity employer and value diversity and inclusion at our company. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by applicable law. we will ensure that individuals with differing abilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation. notice to external search firms: freddie mac partners with bountyjobs for contingency search business through outside firms. resumes received outside the bountyjobs system will be considered unsolicited and freddie mac will not be obligated to pay a placement fee. if interested in learning more, please visit www.bountyjobs.com and register with our referral code: mac. time-type:full time flsa status:exempt freddie mac offers a comprehensive total rewards package to include competitive compensation and market-leading benefit programs. information on these benefit programs is available on our careers site. this position has an annualized market-based salary range of $122,000 - $182,000 and is eligible to participate in the annual incentive program. the final salary offered will generally fall within this range and is dependent on various factors including but not limited to the responsibilities of the position, experience, skill set, internal pay equity and other relevant qualifications of the applicant. 

 "
3," 

 job description:  **please apply directly on our website using the link below to be considered for the position** https: nachc.hire.trakstar.com jobs fk0vglh?source= the national association of community health centers (nachc) is the national membership organization for the nation s federally qualified health centers (also known as fqhcs or community health centers). health centers are nonprofit, community-directed health clinics that provide access to high-quality, culturally competent, and comprehensive care to people living in medically underserved areas. nachc strengthens the health center movement through advocacy, training, and technical assistance, clinical and operations support. nachc is committed to an equitable, diverse, and inclusive workplace. basic function responsible for implementation of vital conditions framework, performing project management, creating, and implementing training programs and technical support, communicating project outcomes, and actively participating in evaluation efforts. primary responsibilities and duties 1. project management -vital conditions and sdoh a. leverage nachc-wide programmatic assets to integrate the vital conditions framework across nachc functional areas. b. curate examples of vital conditions initiatives at community health centers, publish to nachc website, develop newsletter articles, blogs and social media posts. c. identify best practices and common approaches to addressing sdoh using the vital conditions framework. develop tool-kits and resources to promulgate these approaches. d. support nachc partnerships between chcs and civic engagement organizations to help increase civic participation to improve the quality of life of underserved and underrepresented communities served by chcs. e. leverage chcs as hubs for civic engagement of historically marginalized and disenfranchised communities. f. identify opportunities throughout nachc programs, committees, events and activities to incorporate and integrate the vital conditions framework. g. facilitate trainings, webinars, conference sessions on the vital conditions framework featuring health center leaders. h. serve as subject matter expert on the vital conditions framework contributing to funding and policy proposals. i. develop comprehensive project plans that outline the project scope, objectives, deliverables, timelines, and resource requirements. this involves breaking down the project into manageable tasks, estimating durations and dependencies, and creating a project schedule. j. monitor project progress, track key metrics, and ensure projects are on track to meet its objectives that contribute to nachc strategic priorities and demonstrate health center value. k. regularly assesses project performance, identify deviations from the plan, and take corrective actions as necessary. this includes managing changes, resolving conflicts, and maintaining project quality. l. engage in ongoing communication with supervisor about project progress, outcomes, including but not limited to risks, successes, and challenges. m. manage the entire contract development process, including drafting, revising, approving, filing, distributing, and invoicing. administer active contracts to identify, notify, and ensure completion and compliance with all deliverables in collaboration with the population health division and other responsible parties. n. identify potential risks and developing strategies to mitigate them. this includes assessing risks, developing contingency plans, and monitoring and addressing risks throughout the project lifecycle. ensure that risks proactively managed to minimize their impact on the project s success. o. close out projects by ensuring all project deliverables are completed, documented, and handed over to the appropriate stakeholders. facilitate project reviews including project evaluation activities to assess the project s success, identify lessons learned, and document best practices for future projects. 2. facilitator- act as a coach for integration of vital conditions framework in health centers, emphasizing human-centered design principles. a. provide guidance and mentorship to health centers engaged in the development of innovative solutions in one of the seven vital conditions for health and well-being. b. facilitate workshops and training sessions on human-centered design methodologies tailored to the needs of the audience. c. collaborate closely with health center teams to identify and address challenges related to the design and implementation of innovative solutions. d. offer strategic advice and support in aligning innovation initiatives with the seven vital conditions for health and well-being. e. evaluate and monitor the progress of participating health centers, offering feedback and guidance for continual improvement. f. develop resources and materials to aid health centers in implementing vital conditions framework through an effective human-centered design approach. g. coordinate with internal teams to integrate learnings and successes from the incubator program into broader organizational strategies and initiatives. h. create comprehensive project plans outlining timelines, milestones, and deliverables for the incubator program. i. identify potential risks and develop strategies to mitigate them throughout the incubator program. j. facilitate seamless communication and collaboration among stakeholders involved in different projects. k. establish evaluation frameworks to assess the effectiveness and impact of different programs. 3. training and technical assistance a. collaborate in the development and execution of high-impact learning and peer engagement opportunities at various levels (local, state, regional, and national), including in-person trainings, webinars, podcasts, learning collaboratives, virtual office hours, and educational sessions at national conferences. b. provide technical assistance in form of office hours and presentations to primary care associations, health center controlled networks, health centers, and other relevant stakeholders focusing on leveraging sdoh data to inform health equity efforts and enhance population health. c. take the lead in developing self-paced modules that facilitate independent learning and skill development for project participants. d. manage and oversee the implementation of impactful learning and peer engagement opportunities specifically tailored for community health center staff 4. stakeholder management a. engage and oversee stakeholders throughout the project, including identifying relevant stakeholders, understanding their needs and expectations, and developing effective communication and collaboration strategies. the project manager is responsible for keeping stakeholders informed, managing their expectations, and addressing any concerns or issues that may arise. b. network and establish connections and partnerships within the organization, related projects, and relevant external organizations to foster collaboration and achieve project goals. professional technical knowledge, skills &amp; abilities 1. strong understanding of social drivers of health, vital conditions framework, the role of structural racism and discrimination in health inequities, and strategies approaches to address upstream factors to improve community health and well-being. 2. proven experience as a project manager, successfully delivering projects on time and within budget. 3. strong written and oral communication skills. experience synthesizing complex issues and crafting training, communication, and data-driven resources for different audiences, including communities, policymakers, academics, and others. 4. strong time-management and organizational skills. ability to accomplish multiple short and long-term work activities independently, under tight deadlines, and in collaboration with team members and stakeholders. licenses &amp; certifications master s degree or higher in a relevant field such as public health, healthcare administration, or social work. relevant professional certifications in project management or program management, such as project management professional (pmp) or program management professional (pgmp) any specialized certifications or training in social determinants of health (sdoh) or health equity, such as the national association of community health centers (nachc) social determinants of health (sdoh) certification program. technical skills 1. proficiency in microsoft office tools (excel), and project management tools (asana). 2. knowledge and proficiency in html a plus. 3. experience working in qi and or evaluation. 4. bilingual a plus but not required. physical demands : work is performed in a typical office environment. salary: $70,782 - 88,478 job type: full-time pay: $70,000 - $88,000 per year benefits: 401(k) dental insurance health insurance life insurance paid time off vision insurance schedule: 8 hour shift monday to friday travel requirement: travel work setting: hybrid work office experience: community health center: 2 years (required) ability to relocate: alexandria, va 22314: relocate before starting work (required) work location: hybrid remote in alexandria, va 22314 v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
4," 

 job description:  parker tide is a veteran-owned, small business in dc. we serve as a value-added partner to the government. we are seeking a scientific program manager to work with one of our clients in bethesda, md. the work is hybrid. education and requirements · phd or md with at least 2 years of postdoctoral experience. · experience in cellular molecular biology, systems biology analysis and or animal models of disease is desirable. · excellent writing and communication skills. · ability to work in a collaborative team are essential. · applicants will be evaluated on their ability to lead teams, and complete large-scale projects. period of performance: ongoing description: · perform analytical and evaluative work related to operations, management, and productivity. · serve as the point of contact for the sharepoint web management system and the manuscript submission pubmed central sites. · establish and maintain effective practices; arrange a network of contacts; work with interested parties to organize, summarize, maintain, and disseminate scientific information documents. · coordinate duties and serve as the representative with the web team that will include weekly updates to the webpage, updating and posting scientific images publications and images, posting news and events, updates for new investigators, highlights and notification of conferences and presentations, and remaining current on publications. · serve as a liaison to the office of the scientific director for special projects. · develop scientific, technical, educational, and administrative documents for publication; write and edit reports, program guides, training material; translate and rewrite scientific and technical materials. · coordinate the compilation and preparation of various periodic reports and scientific advances; summarize published work for dissemination and use by staff. · serve as the assistant annual report coordinator to assist with organizational, editing, and prioritization of the annual reports. · research, order, publicize, and circulate educational and training-related resources; monitor and track enrollments, rosters, and distribution lists; coordinate outreach and recruitment initiatives; prepare reports and summaries of accomplishments; work with administration of service verifications. · establish a system to track scientific productivity progress among laboratories; conduct report specific programmatic analyses via portfolio-related data and scientific advances summarized. · coordinate the preparation of complex documents for projects including conferences events. · coordinate weekly monthly scientific lecture series, informational seminars, workshops, etc. if you, or someone you know is interested in this opportunity, please reply with a resume. referrals are always welcome. eeo: parker tide corp. prohibits discrimination with respect to the hiring or promotion of individuals, conditions of employment, disciplinary and discharge practices, or any other aspect of employment on the basis of sex, race, color, age, national origin, religion, disability, marital status, sexual orientation, gender identity, pregnancy, or veteran status. job types: full-time, contract pay: $101,417 - $111,663 per year benefits: 401(k) dental insurance employee assistance program employee discount flexible spending account health insurance health savings account life insurance paid time off referral program retirement plan vision insurance compensation package: hourly pay experience level: 3 years schedule: 8 hour shift day shift monday to friday no weekends education: doctorate (required) work location: hybrid remote in washington, dc 20006 v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
5," 

 job description:  optica is looking for a program manager. the program manager manages, coordinates and executes the program and volunteer management aspects of all assigned optica events. they work collaboratively with the meetings chairs on all technical program aspects of the meeting to meet performance and diversity metrics. they also serve as the primary contact for all authors and invited speakers of assigned meetings, providing customer service support as needed. they execute smooth conference paper receipt, review and publication processes following the department s standard operating procedures for all assigned meetings. primary responsibilities 1. committee volunteer management (opcs, topicals, and conferences) serves as primary liaison between optica and program committee, confirming participation, roles and responsibilities and joint management tools resources schedules and drafts agendas for topical meeting kick off calls, and other calls to ensure the planning timeline, metrics and deliverables of the program distributes notes and action items after calls and follows up, as needed, with appropriate staff to close out items. confirms meeting scope and topics and updates the website accordingly confirms committee chairs and members, ensuring appropriate approvals, and updating membership lists across all platforms maintains meeting outline to capture culture (and requested changes) per topical for future reference responds promptly to committee requests and concerns 2. speaker and submission management configures submission site based on committee feedback updates meeting website with submission and copyright information maintains invited speaker lists across all platforms enforces deadlines with speakers and authors to ensure adherence to meeting timetables prepares reports on submission numbers and speakers responds to customer service inquiries from authors 3. program development support manages the peer review process, assigning reviewers, preparing reviewer instructions, and processing submitted papers manages sessioning process (whether in person, hybrid or virtual), including instructions and preparation of materials invites, tracks and confirms session chairs (presiders) notifies all authors of decision and presentation details 4. publications management generates agenda of sessions and session guide serves as main contact with program typesetter (for any print programs) and communicates program edits when necessary to ensure a quality program registers isbn for technical digest through booker stamps papers and performs quality check against approved standards in advance of publication creates zip files and posts digest papers for early access on the optica publishing group platform manages program changes (e.g. withdrawn and no shows) manages the quality assurance of presented papers for publishing and archiving on the optica publishing group platform education and experience four-year college degree required two or more years of meeting program and or volunteer (subject matter experts) experience preferred association experience preferred skills and abilities strong oral and written communication skills ability to meet multiple deadlines, coordinate details, and work independently proficiency in microsoft office software and database applications, particularly web-based peer review systems attention to detail required excellent customer service skills about optica located in the dupont circle neighborhood of washington, dc, optica offers a competitive salary and benefits. please send your resume and cover letter with salary requirements to resumes@optica.org. job type: full-time pay: $75,000 - $80,000 per year benefits: dental insurance health insurance paid time off vision insurance schedule: monday to friday work location: hybrid remote in washington, dc 20036 v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
6," 

 job description:  lightbridge solutions has an immediate need for seasoned erp project manager to oversee multiple concurrent implementation and optimization projects. the ideal candidate has experience implementing cloud erp within complex organizations, either internally, or in a consultative capacity as well as a understanding of accounting and finance processes. the ideal candidate has a genuine interest in implementing financial technology underscored by deep experience in the field. the ideal candidate embraces the opportunity to collaborate with and inspire clients and internal teams to achieve objectives.&amp;nbsp; as this is a part-time opportunity perfect for candidates seeking the flexibility to work remotely on a flexible project-driven schedule focusing exclusively on lightbridge projects. this is a remote, hourly part-time consulting position reporting to the practice head.&amp;nbsp; responsibilities: manage the client relationship from discovery through delivery and training participate in the execution and documentation of client needs assessments create project plans and scoping documentation manage the execution of erp-related systems projects remotely coordinate the lightbridge delivery team to exceed client expectations ensure timely response to internal and client inquiries the ability to focus exclusively on lightbridge projects required qualifications: five years of erp project management experience,&amp;nbsp; or five years leading systems projects as a member of an accounting &amp; finance organization deep understanding of core business processes: lead to quote, order to cash, procure to pay a respectful, professional and positive demeanor must have excellent english communication skills exceptional attention to detail proactively prevents project tasks from slipping through the cracks highly organized and responsive to clients and internal team members effective client communication multiple client references strongly desired qualifications: netsuite experience accounting experience cpa designation sox expertise compensation is commensurate with qualifications job type: part-time v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
7," 

 job description:  job description: company overview: eager to join a team where your skills are valued, your growth is nurtured, and your impact is profound? look no further than markon, a premier consulting firm deeply dedicated to advancing our nation s most critical missions. at markon, we don t just offer jobs – we offer opportunities for personal and professional transformation. empowering our employees to lead, innovate, and excel, we foster an environment where new ideas are not just welcomed but celebrated. as a perennial washington post top workplace, we prioritize the well-being and success of our team members, ensuring they can bring their best selves to work. headquartered in falls church, virginia, markon has garnered national recognition for our unwavering dedication to excellence in serving the intelligence community, as well as federal civilian and defense agencies. our growing reach extends across 17 states, 116 countries, and 5 continents, where our team of dynamic professionals collaborates to deliver unparalleled program and project management services. markon values people and the tremendous impact each individual can make – which is why we re consistently recognized as one of the best places to work in federal government consulting. here, you can help solve the nation s most important challenges, surrounded by colleagues who help you grow, advance, and succeed. we are deeply dedicated to what matters – bringing out the best in each other to advance our clients missions. join us and make a meaningful impact. markon is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. description: markon is seeking a software license project manager to support our intelligence customer. responsibilities may include: assist the customer with managing a large software program help manage software license agreements understand contract terms and conditions and advice the customer on possible options to various software contracts help to develop a methodology to better track in-use licenses work across the organization to understand license requirements assist with the financial impact to the organization help recover costs for customer requested licenses job requirements: requirements: understanding of contracts is a plus familiarity with software asset management is a plus be comfortable working with large data sets 

 "
8," 

 job description:  qualifications bachelor s degree required. one year of relevant professional experience may be substituted for each year of college education required (4). must have a minimum of eight (8) years business experience in the fields of computer systems, communications or systems integration related fields. a minimum of three (3) years project management experience is required. secret clearence required. duties : overall responsibility for company performance on specific programs or projects. functions as the leader, manager, and coordinator of all contributing disciplines and resources in the completion of projects or management of the program. engage in: assigning tasks; establishing and maintaining task schedules; maintaining liaison between appropriate engineering personnel and the customer to ensure effective coordination of all projects or program efforts; preparing and adhering to project cost and staffing plans; preparing plans, proposals, and briefings. also provide management of contract negotiations and company representation with customers and subcontractors as required. the physical demands and work environment that have been described are representative of those an employee encounters while performing the essential functions of this position. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions in accordance with the americans with disabilities act. the above job description is an overview of the functions and requirements for this position. this document is not intended to be an exhaustive list encompassing every duty and requirement of this position: your supervisor may assign other duties as deemed necessary job type: full-time pay: $70,000 - $75,000 per year benefits: 401(k) dental insurance health insurance health savings account life insurance paid time off professional development assistance vision insurance experience level: 8 years schedule: monday to friday experience: business: 8 years (preferred) security clearance: secret (required) work location: in person v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
9," 

 job description:  responsibilities report to contract program manager conduct daily management of contractor personnel and project activities. ensure operations match standard operating procedures. manage the quality control program, including: quality control reviews; quality control workflow development; general foia skills enhancement training; performance assessment; targeted training in response to skills gaps. facilitate communication between government and contractor staff to ensure cases and tasks are properly completed in an effective and efficient manner. manage contractor personnel time allocation and priorities to ensure it matches government operational requirements. monitor case progress and establish deadlines as needed. ensure deadlines are met. review workflows and communication channels to ensure optimized contractor support. evaluate contractor personnel performance. support additional ogc foia and litigation requirements as needed, to include conducting review security clearance: top secret sci eligible education: bachelor s degree; certification in project management or equivalent experience as a project manager. experience five years of experience in analytical and litigation support services three years of experience in foia case processing; three years of experience in project and personnel management; three years of experience conducting advance quality control analysis of records for release under the foia and in discovery pursuant to litigation; three years of experience with e-discovery software; five years of experience using the microsoft office suite (to include outlook, word, and excel); five years of experience with adobe acrobat and electronic foia processing and redaction software; three years of experience in providing contracted support of government operations job type: full-time pay: from $150,000 per year benefits: 401(k) 401(k) matching dental insurance health insurance life insurance paid time off referral program tuition reimbursement vision insurance compensation package: bonus opportunities experience level: 5 years 6 years 7 years 8 years 9 years schedule: 8 hour shift education: bachelor s (preferred) experience: foia analysis: 3 years (required) license certification: pmp (preferred) security clearance: top secret (required) work location: in person v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
10," 

 job description:  **overview:** we are seeking a skilled project manager to join our team. the ideal candidate will be responsible for overseeing projects from inception to completion, ensuring they are delivered on time and within budget. **responsibilities:** - lead project planning, scheduling, and implementation - utilize data analysis skills to make informed decisions - develop and maintain business process models - provide project leadership and direction - use tools such as visio for project visualization - manage project requirements effectively - implement lean principles for efficient project delivery - oversee project engineering tasks - lead and motivate project teams effectively - gather and document project requirements accurately **qualifications:** - proven experience in project management - strong leadership skills with the ability to drive results - proficiency in visio and other project management tools - experience in requirements management and gathering techniques - knowledge of lean principles for process improvement - ability to analyze data to drive project decisions - excellent team management skills if you are a dynamic individual with a passion for leading projects to success, we encourage you to apply for this exciting opportunity. job types: full-time, part-time pay: $23 - $30 per hour expected hours: 30 – 40 per week benefits: health insurance paid time off experience level: 2 years schedule: monday to friday experience: project management: 2 years (preferred) ability to commute: mclean, va 22102 (required) ability to relocate: mclean, va 22102: relocate before starting work (required) work location: in person v role=""separator"" aria-orientation=""horizontal"" class=""css-1v43wac e15p7aqh1"">an&amp;nbsp;< span>< span>

 "
