numb_description,job_description,state,report_year
1,"job description:  maximize your potential with intelligenesis! intelligenesis llc has supported department of defense and intelligence community customers since 2007 by providing next generation capabilities for: offensive &amp; defensive cyber services, national security cyber training, data science &amp; decision-making analytics, intelligence analysis, and intelligence solutions engineering. intelligenesis offers an extremely competitive and generous benefits package that provides employees with both professional and personal satisfaction and growth while keeping focus on supporting the mission. additionally, our employees enjoy a company culture that emphasizes the importance of family and work life balance. our benefits include: medical, dental and vision insurance, 25 days of pto with the option to purchase up to an additional 5 days, 12 paid holidays, up to 10% 401k match, annual individual technology budget, unlimited education training reimbursements, and much more! we are seeking a software engineer 0 to develop, maintain, and enhance complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. works individually or as part of a team. reviews and tests software components for adherence to the design requirements and documents test results. resolves software problem reports. utilizes software development and software design methodologies appropriate to the development environment. provides specific input to the software components of system design to include hardware software trade-offs, software reuse, use of commercial off-the-shelf (cots) government off-the-shelf (gots) in place of new development, and requirements analysis and synthesis from system level to individual software components. required skills: must be us citizen ts sci clearance with polygraph required no demonstrated experience is required. bachelors degree in computer science or related discipline from an accredited college or university is required; four (4) years of swe experience on projects with similar software processes may be substituted for a bachelors degree. responsibilities: analyze user requirements to derive software design and performance requirements debug existing software and correct defects provide recommendations for improving documentation and software development process standards design and code new software or modify existing software to add new features integrate existing software into new or modified systems or operating environments develop simple data queries for existing or proposed databases or data repositories intelligenesis, llc is an eoe m f d v 

 ",dmv,2024
2," 

 job description:  job title: software integration engineer iv- lustre engineer summary: tulzi technologies, llc (tulzi) prides itself on an open, and honest culture in the workplace which builds morale conducive to inspiring growth on our team, while balancing lifestyle by supporting personal and family goals with flexibility. tulzi offers secure network systems and software engineering solutions in both the public and private sectors. with certified expert consulting the team at tulzi is able to address the customer s mission and follow-through in the systems development life cycle. clearance required: ts sci with poly title: lustre engineer- software integration engineer iv location: annapolis junction, md description: candidates will integrate, install, configure, upgrade, compile and support cots gots software in a heterogeneous operating system environment including linux and windows. candidates will work with cluster computing, shared file systems, high availability computing and system monitoring of software and will work with a variety of scripting languages. preferred requirements bachelor s degree in computer science or related field and have at least ten years of demonstrable experience. or the individual shall have five (5) years full-time computer science directly related work that can be substituted for a degree and have at least ten (10) years of demonstrable experience with integrating, installing, configuring, upgrading, compiling, and supporting cots gots software in a heterogeneous operating system environment. an industry-recognized professional certification, as defined in the ttos, may substitute for one year of experience. a master s degree in computer science or related field may substitute for two (2) years of experience. experience in integrating, installing, configuring, upgrading, compiling and supporting cots gots software in a heterogeneous operating system environment. iat ii certification required, candidates without required certification will not be considered benefits: we offer a competitive benefits and compensation package and fun place to work! benefits include, but not limited to: health and wellness benefits medical insurance (three carefirst healthcare plans to choose from, dental and vision insurance, 75% covered for employee 50% per dependant health savings account (hsa) contributions $1500 individual $3000 family personal insurance benefits company-paid life insurance and ad&amp;d coverage company-paid short-term and long-term disability insurance paid leave employees receive 20 days of vacation 10 holidays built into hourly rate 5 days of sick time (currently used for snow, jury, bereavement) retirement pre-tax 401k program including 6% company match 100% fully vested from eligibility date eligible after 90 days of employment 

 ",dmv,2024
3," 

 job description:  are you driven by a passion to work at the cutting edge of technology? do you dream to make the impossible possible? the national security agency is seeking highly motivated computer science and computer electrical engineering professionals to drive its mission to develop new capabilities, design new approaches, help solve complex problems, and research new solutions to propel our mission. as a capabilities development specialist (cds), your job will be to develop custom high-priority offensive and defensive capabilities targeting the hardest-to-reach adversarial networks in the world. in defense of our nation, we conduct innovative research and produce hardware and software tools unlike anything in the world. by joining our team, you will apply and grow your expertise to create new ways to get critical information to our national decision makers. whether it is in software, hardware, or cutting-edge research, if you are up for a challenge, have unbridled curiosity, and a drive to develop tomorrow s technologies and tools today, apply to join our team. use your unique experiences and expertise to protect national security interests as part of the world s most advanced team of computer science and engineering professionals! if you have interests, skills, or experience in one or more of the following areas, we d like to hear from you: - software specialties: strong software development skills (c, c++, assembly, arm); software re interactive debugging tools (e.g., ghidra, ollydbg, gdb); software application vulnerability analysis and exploitation; operating system internals; mobile platform development and analysis; algorithmic analysis; prototyping. - malware reverse engineer: perform advanced malware analysis reverse engineering of specialized malware complex files. cissp, ceh, grem, gpen certifications are a plus. - hardware specialties: - hardware re, design, development, or testing (verilog, vhdl, fpga, pcb); testing and debugging tools (jtag, oscilloscopes, etc.); job roles may include: - developing exploitation capabilities and analytics to enable foreign target network collection - designing hardware components and systems to further signals intelligence missions - analyzing sophisticated malware job summary are you a computer science or computer electrical engineering professional? do you have strong software or hardware design, development, testing or reverse engineering skills? do you want to be part of a team that develops ground breaking solutions? if so, click here to learn more and apply. qualifications the qualifications listed are the minimum acceptable to be considered for the position. degree must be in computer science (cs), mathematics, engineering, or a related field. degrees in information technology, information systems, information security, networking (systems administration), information assurance, or cybersecurity may be considered relevant if the programs contain, at minimum, a concentration of courses in the following foundational cs areas: algorithms; computer architecture (not network architecture); programming methodologies and languages; data structures; logic and computation; and upper-level mathematics (for example, calculus, discrete mathematics). relevant experience must be in one or more of the following: engineering hardware or software over their lifecycle (i.e., requirements analysis, design, development, implementation, testing, integration, deployment installation, and maintenance), programming, vulnerability analysis, penetration testing, computer forensics, or systems engineering. completion of military training in a relevant area such as jcac (joint cyber analysis course) will be considered towards the relevant experience requirement (i.e., 24-week jcac course will count as 6 months of experience). entry developmental entry is with a bachelor s degree and no experience. an associate s degree plus 2 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. full performance entry is with a bachelor s degree plus 3 years of relevant experience or a master s degree plus 1 year of relevant experience or a doctoral degree and no experience. an associate s degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. senior entry is with a bachelor s degree plus 6 years of relevant experience or a master s degree plus 4 years of relevant experience or a doctoral degree plus 2 years of relevant experience. an associate s degree plus 8 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. expert entry is with a bachelor s degree plus 9 years of relevant experience or a master s degree plus 7 years of relevant experience or a doctoral degree plus 5 years of relevant experience. an associate s degree plus 11 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. competencies we re looking for someone with knowledge, skills, and experience in one or more of the following: - programming in languages such as c, c++, and java, especially in kernel development and device driver development, network socket programming, and embedded systems development - advanced malware analysis reverse engineering skills for specialized malware complex files. cissp, ceh, grem, gpen certifications are a plus - scripting languages (e.g., python, perl, or ruby) - assembly language(s) - hardware design (e.g., fpga, vhdl, verilog, pcb) - hardware reverse engineering - rf system design (e.g., dsp, sdr) - embedded systems development - software reverse engineering interactive debugging tools (e.g., ghidra, ollydbg, gdb) - hardware analysis tools (e.g., jtag, oscilloscopes) - software vulnerability analysis and exploitation - protocol and network analyzers (e.g., wireshark, tcpdump) - computer networking (e.g., communication protocols, routing and switching) pay, benefits, &amp; work schedule pay: salary offers are based on candidates education level and years of experience relevant to the position and also take into account information provided by the hiring manager organization regarding the work level for the position. salary range: $85,052 - $191,900 (entry developmental, full performance, senior, expert) salary range varies by location, work level, and relevant experience to the position. on the job training, internal nsa courses, and external training will be made available based on the need and experience of the selectee. benefits: nsa offers excellent benefits to include relocation assistance, flexible work schedules, generous leave programs, paid personal fitness time, training and continuing education classes, health and life insurance, federal thrift savings plan (tsp), and a federal retirement plan. work schedule: this is a full-time position, monday - friday, with basic 8hr day work requirement between 6:00 a.m. and 6:00 p.m. (flexible). how to apply apply soonest, as job postings can close earlier than stated end dates due to changes in requirements. it is important to review and note the minimum qualifications, as only those applicants who meet the required qualifications will be contacted to continue the employment process. please populate the resume tool to showcase any relevant work experience and education related to the position and answer any applicable screening questions. information collected will be used to determine eligibility, and failure to provide accurate information may result in disqualification for this position. a confirmation email will be sent after submission of the first application and also after any future updates to submitted applications. **due to time sensitive communications regarding applications, please ensure your spam filters are configured to accept email from noreply@intelligencecareers.gov. for job vacancies that include stated testing requirements, also include the following: @uwe.nsa.gov, @nsa.gov, and @pearson.com** u.s. citizenship is required for all applicants. nsa is an equal opportunity employer and abides by applicable employment laws and regulations. nsa is also committed to the promotion of diversity within its workforce. all applicants and employees are subject to random drug testing in accordance with executive order 12564. employment is contingent upon successful completion of a security background investigation and polygraph. reasonable accommodations may be provided to applicants with disabilities during the application and hiring process where appropriate. please visit our diversity link for more information https: www.intelligencecareers.gov nsa diversity-and-inclusion. dcips disclaimer the national security agency (nsa) is part of the dod intelligence community defense civilian intelligence personnel system (dcips). all positions in the nsa are in the excepted services under 10 united states codes (usc) 1601 appointment authority. dod components with dcips positions apply veterans preference to eligible candidates as defined by section 2108 of title 5 usc, in accordance with the procedures provided in dod instruction 1400.25, volume 2005, dcips employment and placement. if you are a veteran claiming veterans preference, as defined by section 2108 of title 5 u.s.c., you may be asked to submit documents verifying your eligibility. 

 ",dmv,2024
4," 

 job description:  job id: 659291br date posted: jan. 11, 2024 program: il description: this position may be eligible for a $25k sign on bonus for external hires! what we re doing: lockheed martin, cyber &amp; intelligence invites you to step up to one of today s most daunting challenges: the use of advanced electronics to undermine our way of life. as a cyber security professional at lockheed martin, you ll protect the networks that our citizens and the world depend upon each minute: financial assets. healthcare information. critical infrastructure. hazardous materials. the uninterrupted flow of energy that keeps modern life moving. here, you ll work with cybersecurity experts on the forefront of threat protection and proactive prevention. in this fast-paced, real-world environment, you ll draw on all your education and experience as well as the resources of lockheed martin to keep the threats at bay. cyber | lockheed martin who we are: the program is on fire for cyber. in support of our customer, members of the team are responsible for providing full lifecycle support including analysis, design, development, integration, testing, procurement, deployment, security, training and sustainment for collection and antenna systems. #rmsc6isr why join us: your health, your wealth, your life our flexible schedules, competitive pay and comprehensive benefits enable you to live a healthy, fulfilling life at and outside of work. we support our employees, so they can support our mission. the work: as a software engineer staff, you will: analyze user requirements to derive software design and performance requirements debug existing software and correct defects. provide recommendations for improving documentation and software development process standards design and code new software or modify existing software to add new features, integrate existing software into new or modified systems or operating environments serve as team lead at the level appropriate to the software development process being used on any particular project we support our employees, so they can support our mission. #extrefer #rmsil24 basic qualifications: seven (7) years experience as a swe, in programs and contracts of similar scope, type, and complexity is required. bachelor s degree in computer science or related discipline from an accredited college or university is required. four (4) years of additional swe experience on projects with similar software processes may be substituted for a bachelor s degree. must possess a ts sci with polygraph desired skills: current knowledge of c++python 3.0+, git, ci cd and k8. ui developer: javascript framework - vuejs, vuetify, leaflet, elasticsearch, node.js rest, grpc, mongo, security clearance statement: ts sci w poly sp clearance level: ts sci w poly sp other important information you should know expression of interest: by applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. should this match be identified you may be contacted for this and future openings. ability to work remotely: onsite full-time: the work associated with this position will be performed onsite at a designated lockheed martin facility. work schedules: lockheed martin supports a variety of alternate work schedules that provide additional flexibility to our employees. schedules range from standard 40 hours over a five day work week while others may be condensed. these condensed schedules provide employees with additional time away from the office and are in addition to our paid time off benefits. schedule for this position: 9x80 every other friday off lockheed martin is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. the application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration. join us at lockheed martin, where your mission is ours. our customers tackle the hardest missions. those that demand extraordinary amounts of courage, resilience and precision. they re dangerous. critical. sometimes they even provide an opportunity to change the world and save lives. those are the missions we care about. as a leading technology innovation company, lockheed martin s vast team works with partners around the world to bring proven performance to our customers toughest challenges. lockheed martin has employees based in many states throughout the u.s., and internationally, with business locations in many nations and territories. experience level: experienced professional business unit: rms relocation available: no career area: software engineering type: task order idiq shift: first at lockheed martin, we apply our passion for purposeful innovation to keep people safe and solve the world s most complex challenges. mission-focused innovation: from aerospace to outer space to cyber space, you can solve the world s most complex challenges for our customers. foundational values: our culture of performance excellence, ethics, teamwork and inclusion is embedded in everything we do. diverse career opportunities with meaningful work: grow your career and skills for life. our technology-driven learning platforms and programs enable your development and agility. your health, your wealth, your life: our flexible schedules, competitive pay and comprehensive benefits enable you to live a healthy, fulfilling life at and outside of work. empowered to be your best: use your strengths to make a difference in the lives of one another, our customers, our communities and our planet. commitment to sustainability: we foster innovation, integrity and security to preserve the environment, strengthen diverse communities and propel growth. here, the possibilities are endless because we offer: flexible schedules, dependent on role levels: student, entry, mid, senior, management locations: nationwide &amp; oconus positions 

 ",dmv,2024
5," 

 job description:  overview: bluehalo is a premier provider of advanced engineering solutions across the defense, space, cyber, and intelligence domains. we are committed to innovation, excellence, and deploying state-of-the-art technology that ensures the safety and success of those on the front lines of national security. bluehalo provides a collaborative environment where pioneering solutions are developed, empowering our clients to achieve and exceed their missions. what you will do: at bluehalo, you will have the opportunity to work on transformative projects and be part of a dynamic team dedicated to making a significant impact in the cyber and data science fields utilize cutting-edge technologies to develop analytics that integrate data from multiple cyber sources. innovate and prototype to explore new questions and enhance answers to existing queries in the cyber domain. create advanced representations of data using data science methodologies and automate analytic processes with machine learning frameworks. engage directly with clients in a highly collaborative, integrated environment to ensure tailored, real-time solutions. design, develop, test, deploy, and document workflows in big data cloud computing environments, focusing on efficiency and scalability. what qualifications you will bring: bachelor s degree with 8+ years of relevant experience, or master s degree with 6+ years of relevant experience. an associate s degree plus 10 years, or a high school diploma ged plus 12 years of relevant experience may also be considered for candidates with comprehensive, directly related experience. degree in computer science or a related technical field. active ts sci clearance with polygraph. proficient in java and experienced in customer ghostmachine analytic development. practical experience with hadoop ecosystem (mapreduce &amp; accumulo) and software configuration tools including gitlab, git, gitflow, and nexus. strong familiarity with linux operating systems. you might also have: knowledge of networking principles. familiarity with customer corporate tools such as dx. experience using jira and confluence for project management and documentation. leadership experience, either formal or informal, demonstrating the ability to guide teams and projects. clearance: ts sci with poly eeo statement: bluehalo is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. u.s. citizenship is required for most positions. if you are an individual with a disability and would like to request a reasonable workplace accommodation for any part of the employment process, please send an email to recruiting@bluehalo.com. please indicate the specifics of the assistance needed. this option is reserved only for individuals who are requesting a reasonable workplace accommodation. it is not intended for other purposes or inquiries. 

 ",dmv,2024
6," 

 job description:  job summary: its, llc is seeking a highly skilled and experienced c c++ developer to join our team, dedicated to developing, maintaining, and enhancing complex software systems for space applications. the ideal candidate will possess a solid understanding of the c and c++ programming languages with the capability to navigate, refactor, and contribute to challenging codebases. key responsibilities : duties and responsibilities include, but are not limited to: develop and optimize robust, secure, and scalable software systems using c and c++ in a linux &amp; unix environment. analyze and refactor existing codebases to improve performance, reliability, and maintainability. collaborate closely with systems engineers, software developers, and other stakeholders to define requirements, design solutions, and integrate software components. implement comprehensive testing strategies including unit, integration, and system-level testing, to ensure software reliability and performance. participate in code reviews, offering constructive feedback and insights to maintain high coding standards and practices. provide technical leadership and mentorship to junior developers. demonstrated expertise in software engineering best practices, including version control, continuous integration, and automated testing. excellent problem-solving skills, with the ability to think creatively and provide solutions to complex technical problems. strong communication and teamwork skills with a proven track record of working effectively in multidisciplinary teams. education experience: bachelor s degree in computer science or computer engineering. masters preferred. 5 years of experience in software development, with a strong focus on c and c++ programming in complex, high-stakes environments. clearance requirement: active ts sci security clearance salary note: in compliance with virginia s equal pay act, the salary range for this role is based on education, experience, and responsibilities. its, llc. is an equal-opportunity employer to include veterans and individuals with disabilities. u.s. citizenship is required. 

 ",dmv,2024
7," 

 job description:  cognito, llc seeks an experienced software developer systems software with knowledge of planning and implementation to provide operations and maintenance support for intranet webpages developed in sharepoint 2016, provide ongoing maintenance for existing intranet features, as well as sites migrated to sharepoint online and applications and migrated to other nsf platforms (sharepoint online, servicenow, drupal cms, etc.). this work will involve minor enhancements to the existing applications as well as bug fixes and other minor changes. the software developer systems software - designs, creates, tests, maintains, and deploys software applications. oversees software programming, testing software at various phases of completion, laying out software design, building models or diagrams to communicate the end goal and mapping out future software upgrades. desired skills and experience: we are looking for qualified candidates with: demonstrated experience transitioning an agency or customer from sharepoint to microsoft 365 or another software platform. excellent communication skills (oral and written) ability to communicate on a technical level to various audiences required knowledge, skills, and abilities ensure work products are correct, adhere to the design concepts, and comply with agency requirements and standards. participate in test activities, demonstrate product to government personnel for approval, prepare status reports, and provide presentations of the redesigned sites to end user representatives. research, make recommendations on, and implement modules and custom development. use sharepoint online to achieve business objectives, including troubleshooting, calculating columns, forms, creating and managing views, managing groups, calendar creation, alerts, workflows, etc. manage day to day technical challenges and communicate to the team lead any risks or issues associated with the development activities. 

 ",dmv,2024
8," 

 job description:  software defined radio verification engineer< h1> our vision rampart s vision is to be the fabric of connectivity. our values we believe that privacy is a right. we aspire to advance the boundaries of science. we affirm that the sum of us is greater than some of us. who are we? we re an early-stage, deep-tech company based in maryland. our passion for technology is matched by our commitment to the employee experience. through dedicated collaboration, we partner closely with our team to seek out the most talented professionals with a passion for mission. we routinely create opportunities for continuous learning and growth, both technically and interpersonally, in pursuit of unlocking the full potential of each employee. our goal is to nurture a high-performance team and culture by hiring individuals who are self-motivated and thrive on solving complex problems. as an organization, we think deeply about simple, foundational challenges in systems, signals, and science. we ve advanced the bounds of information theory, secured independent validation and patents, and built systems and networks that are revolutionizing secure communications. our solutions are fundamental advances in science that should not be considered possible and we are looking for professionals who want to help continue to push the boundaries of science. what you ll do rampart has ambitious goals. working here, you will contribute to the foundation of next generation wireless capabilities. as the software defined radio (sdr) verification engineer, your responsibilities may include but are not limited to: develop policies and test procedures to ensure all of rampart s production code is thoroughly tested to verify functionality and performance against system requirements. ensure that all software deliverables are tested for quality as well as intellectual property (ip) security create and maintain ci cd pipelines for automated testing and packaging use python and bash scripts to build test suites remain up to date with software development and testing best practices and integrate them into rampart s development environment why rampart? we are an equal opportunity employer who actively celebrates diversity and who is committed to creating an inclusive environment for all employees. we are looking for professionals who bring their unique talents, curiosity for learning and communicate fresh perspectives and ideas. in addition to our unique culture and mission, we offer the following benefits: 100% employer-funded carefirst open ppo health savings account with employer contributions 401(k) plan with employer contributions employee incentive plan all federal holidays and generous pto! are we a match? we re hiring for a broad range of roles and skills within the organization. submit a resume if your experience aligns with the following: expertise creating ci cd pipelines with teamcity or gitlab build systems such as make and cmake sdr experience (gnu-radio, redhawk, liquid, open cpi, uhd, etc) quality assurance experience with wireless modems linux c c++, python and matlab 

 ",dmv,2024
9," 

 job description:  software engineer l1- ts sci fullscope poly fort meade, md join an outstanding team that offers exciting job opportunities with the goal of providing the absolute best support to our customers. here at digiflight we embrace integrity, innovative solutions, put our customers first and offer a highly competitive benefits package! role description: software engineer l1: mpt&amp;d; mc1: the software engineer develops, maintains, and enhances complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. works individually or as part of a team. reviews and tests software components for adherence to the design requirements and documents test results. resolves software problem reports. utilizes software development and software design methodologies appropriate to the development environment. provides specific input to the software components of system design to include hardware software trade-offs, software reuse, use of commercial off-the-shelf (cots) government off-the-shelf (gots) in place of new development, and requirements analysis and synthesis from system level to individual software components. our people digiflight attracts the most highly skilled workforce to protect some of our nation s most sensitive systems. before joining the company, many digiflight professionals served our country in a civilian and or military capacity. our diverse team provides innovative solutions as they support critical clients in tackling tough challenges. most importantly, our team is passionate about their work and making a difference. our corporate culture promotes a healthy work life balance. our benefits digiflight s competitive benefits package allows employees to manage their personal and professional portfolios through a variety of features and programs. our benefits include: health, dental, vision, and flexible spending account paid time off (pto) 11 paid holidays tuition education assistance professional development 401(k) retirement plan life insurance and short- and long-term disability insurance employee referral program marketing incentive plans digiflight, inc. (dfi) is an affirmative action, equal opportunity employer. dfi offers a highly competitive, family-oriented benefits package. 

 ",dmv,2024
10," 

 job description:  job description: quevera is seeking a software engineer 2 to join an exciting, collaborative and innovative team. a place where you are positioned for more than just a job. where leadership partners with you, seek to cultivate and support career development, encouraging growth from within while striving to foster a diverse and inclusive environment that improves individual and organizational performance. highlights of working for quevera are: quevera employees voted quevera as a top employer in the baltimore dc area for 2020 (ranked #8 out of 150 companies) and 2022 (ranked #5 out of 150 companies). yearly $5,000 towards education training. employees are in control of their career path through our career pathway program. family and corporate events excellent health care coverage (100% paid premium option) and 401k matching (up to 4%). and many more! q-culture video q-careers duties and responsibilities: work with the defense civilian payroll system (dcps) software developed by the defense finance accounting service. collaborate within an integrated team encompassing strategic, program, engineering, financial, and acquisition management to deliver and operate complex defense systems. utilize ibm mainframe development tools for software development processes, including requirements analysis, software design, implementation, testing, integration, deployment installation, and maintenance. desired skills programming skills with experience in languages such as cobol, rexx, and familiarity with ibm mainframe development tools knowledge and experience in database systems, particularly in idms, sql, and db2. experience with additional tools such as focus for data management, analysis, and reporting would be considered advantageous. qualifications: a bachelor s degree in a technical discipline and six (6) years of experience in software development engineering. ten (10) years of experience in software development engineering may be substituted in lieu of a degree. willingness to learn new technologies. a strong understanding and experience in the software development process of gathering requirements, software design, implementation, testing, deployment, and integration. experience developing and updating technical documentation. must be willing able to work between the core hours of 10:00am – 2:00pm. exceptions will be considered on a case-by-case basis. quevera is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age or any other characteristic protected by law. 

 ",dmv,2024
