numb_description,job_description
1,"job description:  our purpose we work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. our decency quotient, or dq, drives our culture and everything we do inside and outside of our company. we cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. we believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results. title and summary manager, software engineering overview the mastercard commercial solutions team have an exciting opportunity for a manager of software development to help further grow our organization by enabling teams to enhance and modernize our commercial business-to-business (b2b) digital payments services. this position will be key to growing a global b2b technology platform, operating at-scale, requiring focus on performance, security, and reliability. we are seeking a manager of software development engineering to work with our cross-functional development teams. role as manager, software development engineering you will manage scrum teams building commercial java-based, distributed, highly available applications. take a product initiative from requirements to production lead and guide agile teams of software engineers to deliver software that meets business objectives oversee effective development and delivery of software solutions collaborate with the product owners, business tech operations, and other stakeholders drive positive change within systems process to optimally deliver on commitments drive agile best practices amongst the teams drive your team s capability and performance through coaching, mentoring, performance feedback and career development communication of status progress to product teams customers senior management contribute to the knowledge of the software development guild all about you considerate, polite, fun-loving, collaborative (cf. “bob sutton, 2007”). experience with managing development teams in a multi-team environment, and experience with remote management experience with applying scrum or safe agile in a product development environment where high levels of performance, reliability and security are essential great communicator with proven experience in collaborating with business stakeholders payments and fintech experience will be an advantage when it comes to compliance requirements such as pci dss experience with the following technologies is a distinct advantage: java spring hibernate restful apis rdbms such as oracle and postgres in the us, mastercard is an inclusive equal employment opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. if you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. do not include any medical or health information in this email. the reasonable accommodations team will respond to your email promptly. corporate security responsibility all activities involving access to mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, mastercard is responsible for information security and must: abide by mastercard s security policies and practices; ensure the confidentiality and integrity of the information being accessed; report any suspected information security violation or breach, and complete all periodic mandatory security trainings in accordance with mastercard s guidelines. in line with mastercard s total compensation philosophy and assuming that the job will be performed in the us, the successful candidate will be offered a competitive base salary based on location, experience and other qualifications for the role and may be eligible for an annual bonus or commissions depending on the role. mastercard benefits for full time (and certain part time) employees generally include: insurance (including medical, prescription drug, dental, vision, disability, life insurance), flexible spending account and health savings account, paid leaves (including 16 weeks new parent leave, up to 20 paid days bereavement leave), 10 annual paid sick days, 10 or more annual paid vacation days based on level, 5 personal days, 10 annual paid u.s. observed holidays, 401k with a best-in-class company match, deferred compensation for eligible roles, fitness reimbursement or on-site fitness facilities, eligibility for tuition reimbursement, gender-inclusive benefits and many more. pay ranges arlington, virginia: $159,000 - $254,000 usd 

 "
2," 

 job description:  akira technologies is currently seeking a senior infrastructure engineer to help support our government client in their digital transformation. as the infrastructure engineer, you will lead the migration of on-premises solutions to the cloud, ensuring seamless integration, security, and scalability. ideal candidate should be local to the dc metro area, and hybrid support is available. this is a government contract which requires us citizenship. job responsibilities : collaborate with stakeholders to define cloud migration objectives, develop a comprehensive migration strategy, and establish key performance indicators (kpis) for success. conduct thorough assessments of existing on-premises infrastructure, identifying dependencies, performance bottlenecks, and compatibility issues for migration to the cloud. design scalable and resilient cloud architectures based on best practices and industry standards, ensuring high availability, fault tolerance, and security compliance. develop detailed migration plans, including timelines, resource allocation, and risk mitigation strategies. lead the execution of migration activities, ensuring minimal disruption to business operations. implement automation and orchestration tools to streamline the migration process, automate repetitive tasks, and improve efficiency. ensure that cloud environments meet stringent security and compliance requirements, implementing robust security controls, encryption mechanisms, and access management policies. monitor cloud infrastructure performance, identify optimization opportunities, and implement performance tuning measures to enhance system efficiency and cost-effectiveness. provide guidance and training to internal teams on cloud best practices, migration methodologies, and operational procedures to build internal capabilities and foster a culture of continuous improvement. job qualifications : bachelor s degree in computer science, information technology, or relevant field. 5-7 years of demonstrated knowledge in it systems through hands-on experience with on premise it environments. understanding of domains, server configurations, and network connectivity, as it relates to ports, protocols, and security controls. experience deploying active directory environment with group policies as they translate to similar azure cloud native concepts such as iam controls, and authentication mechanisms. experience in powershell scripting for collecting information and executing configuration changes. demonstrated experience with azure it systems and concepts, instead of azure only experience. preferred qualifications : experience deploying azure private cloud utilizing hub and spoke topology, consolidated storage management, and line of business application integrations. ability to write automation workflows that execute on automation accounts (or function apps) to collect information and execute functions on servers or systems. professional certification in cloud technologies such as azure solutions architect. about akira technologies akira strives to meet and exceed the mission and objectives of us federal agencies. as a leading small business cloud modernization and data analytics services provider, we deliver trusted and highly differentiated solutions and technologies that serve the needs of our customers and citizens. akira serves as a valued partner to essential government agencies across the intelligence, cyber, defense, civilian, and health markets. every day, our employees deliver transformational outcomes, solving the most daunting challenges facing our customers. akira is proud to be an equal employment opportunity and affirmative action employer. we do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. 

 "
3," 

 job description:  developer-java j2ee associate - experience in: coding and development of software components understanding of ooad concepts agile methodology understanding business requirements unit testing supporting sit and uat conducting coding reviews technical design jenkins pipelines cloud experience using eks, kubernetes etc. 

 "
4," 

 job description:  job category: development - engineer job type: full time job location: washington dcremote education: bachelor s degree in computer scienceor bachelor s degree in software engineering clearance: secret (required)ts sci (preferred) knowledge &amp; skills: pattern recognitionscrumagent learningweb services (required)machine learning (ml)modern ui ux designsoftware architecturewebsite developmentobject oriented designkanbandistributed systemsextreme programmingcloud-native design (required)artificial intelligence (ai)intelligent agents applications frameworks: bashamazon rdssubversionamazon s3mysqloracle databasekibanapostgresqlunixelasicsearch web servicesmicrosoft sql serverlinuxelastic stack (elk)sqliteubuntu serverreact.jsphpmyadminarch linuxreact nativeeclipsematerial uivisual studiogitmongogithubjson training: elasticsearch engineerleading safesafe for teams 

 "
5," 

 job description:  company overview ccg is a technology company focused on equipping customers with the capabilities and support to conduct intelligent and successful cyber operations. we do this by finding the most talented engineers and operators in the country, give them some of the most challenging problems facing the us government, and help them unleash their creativity and problem-solving skills. excellence is our standard and mission success is our metric. role we are building a platform to support cyber development activities and eventual coordination and orchestration of cyber missions. as a systems architect, you will define and communicate a shared technical and architectural vision for the solutions developed by an agile release train. specifically, you will: lead the system architecture design for cross-functional teams by guiding a team of technical leads lead trade-off and impact analysis studies, and manage conflicting technical visions; decompose complex problems into straightforward and actionable solutions; demonstrate thought leadership and strategy in partnership with delivery and product partners; lead architecture review boards, and other product, platform, and architecture discussions; present work products and strategies to customer leadership and other stakeholders; establish technical standards and guidelines for a large team of developers. though primary responsibility for making priority decisions, architecture plans, and ensuring proper team execution is yours, you will not operate on an island. you will have the support of our cto, a team of tech leads, other engineers, and an engaged customer. you will also be encouraged to explore the technology space enough to understand the unique technical components involved. finally, you are expected to be the subject matter expert for customer demos and discussions. as such, you will want to know the ins and outs of the full product being developed, and you will need to be onsite at least 50% of the time. onsite will need to include arlington, va, but can also include our secure office space in herndon, va. any tasks not requiring an onsite presence can be done remotely; this is a hybrid opportunity. required qualifications bs in computer engineering, computer science, or related discipline; ms preferred 10+ years of experience designing and developing systems and or software solutions must possess a current active top secret security clearance, and be able to obtain sci status. experience leading a team of at least 20+ other engineers ability to engage with customers and external partners to create priorities from broad requirements quick learner, and hunger for understanding technologies and solutions experience supporting peers through code review, pairing, and acting as a resource for all team members, sharing technical knowledge and process mentorship ability to excel in a dynamic environment while maintaining focus on delivering excellent customer service experience managing cloud and on-premise infrastructure, application deployment, and security methodology demonstrate depth of understanding with at least one cloud provider (i.e. aws azure gcp): azure preferred preferred qualifications familiarity with cno or adjacent concepts kubernetes 

 "
6," 

 job description:  have you been looking to shift your career into high gear? this is your opportunity to take your ambitions and convert them into a solid career in a supportive and innovative environment! cbeyondata is looking for a full stack developer to support our federal customer s multi-domain technology platform which offers military and business decision makers, analysts, and users at all levels unprecedented access to authoritative enterprise data and structured analytics in a scalable, reliable, and secure environment. responsibilities: engage functional groups to comprehend client challenges, prototype new ideas and new technologies, to create solutions that drive the next wave of innovation work to understand complex client environment and their unique business problems build and deliver high-impact solutions for our clients requirements : experience with developing code in react, node.js, sql 2+ years of experience with one or more front-end javascript frameworks, including, react, angular, or vuejs experience interacting with apis using rest computer science fundamentals in object-oriented, data structures, algorithm and analysis knowledge of professional software engineering practices &amp; best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between ability to obtain a secret clearance is required cbeyondata is a federal contractor and an eeo and affirmative action employer of females minorities veterans individuals with disabilities. equal employment opportunity: all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. 

 "
7," 

 job description:  overview: you will be tasked to provide custom visualization and software solutions for cno s operators and analysts. this is a highspeed, rapidly changing environment that provides new challenges and opportunities for learning and growing on a daily basis. the dats maintain multiple applications and servers, provide scripting support and provide the documentation and software solutions to a wide variety of users across cno. gather requirements and make improvements to existing corporate tools. understand the customers mission, collaborate with team members, gather user requirements, and automate workflows. design and create reliable, intuitive user interfaces and workflows. · integrate with, and contribute to, a diverse set of teams, systems, and technology stacks. work closely with the team lead to understand and address the needs of analysts and developers. develop cutting-edge solutions for data visualizations, task automation, and workflow enhancements. independently drive projects and proposals, taking ownership of the entire development lifecycle. responsibilities: 12 years experience, with a bachelors in a technical discipline teams are small and cross-functional, so ideal candidates bring some combination of ui ux, middleware api, back-end, devops, cno, or data science experience. javascript html css experience. experience writing scripts and services in python. experience developing software with java. experience developing with ui frameworks (e.g., angular, react, etc.). familiarity with relational databases (postgres, sqlite, etc.). familiarity with gitlab (ci cd). familiarity with docker. qualifications: prior cno experience. knowledge of network protocols. experience developing uis with 508 compliances in mind. experience with analyzing cyber security-related data sets (network traffic, os events). knowledge of end-to-end sigint collection and analysis systems. 

 "
8," 

 job description:  overview: lg-tek is a leading provider of services within the intelligence community. established in 1997 as a software company, lg-tek has since grown to include all facets of system software development and life cycle support, networking, training, linguistic support, facility planning and physical and personal security. a woman minority veteran-owned business, lg-tek has proven itself as a leader by providing a consistent track record of excellent performance, as well as by providing high-quality services to business and government customers. responsibilities: applies software engineering principles to design, develop, test, and evaluate and or modify software applications. designs, develops, tests, and evaluates programmable hardware devices or digital circuits. programs, modifies, and or configures system software that manages the computer the computer hardware and provides services to the applications. qualifications: understanding of the basics of computer networking and low level protocols. understanding of the basic concepts of cryptography and cryptographic systems. ability to work effectively across several different functional areas in a collaborative environment. excellent problem-solving, analytic, and interpersonal skills. education: bachelor s degree in engineering, physics, computer science, mathematics, or related field. 5+ years of experience with reverse engineering firmware or software. clearance: active ts sci with fs polygraph

 "
9," 

 job description:  type of requisition: regular clearance level must currently possess: top secret sci + polygraph clearance level must be able to obtain: top secret sci + polygraph suitability: public trust other required: job family: software development job qualifications: skills: analytical thinking, systems experience, systems integration certifications: experience: 3 + years of related experience us citizenship required: yes job description: perks:a relocation package may be available for this position imagine a world-class engineering environment. now add a team of exceptional talent along with technologies that are so advanced they re often classified. that s what you ll find at general dynamics information technology. here you ll lead amazing engineers as they invent the technologies, products and services that help our service members, intelligence analysts and first responders keep our nation safe. if you want the chance to lead, it s time to bring your talent to general dynamics information technology. we apply advanced technologies such as artificial intelligence, blockchain, ar vr, cloud native and quantum physics to solve our customer s missions in cyber, rf, undersea, interstellar and everything in between. with your proficiency in grasping and applying new information quickly, the advanced reverse engineer will analyze, decompose, disassemble code, perform static code analysis, kernel-level debugging, and debug and modify software. programming in both c and assembly language, we€™ll rely on you to be involved in protocol analysis, vulnerability assessment, security research, rapid prototyping of proof of concept capabilities. you ll conduct vulnerability assessments and penetration testing utilizing reverse engineering techniques. you ll also contribute to the design, development and implementation of countermeasures, system integration, and tools specific to cyber and information operations. what you ll experience: technologies that aren t just top-notch, they re often top-secret a team of bold thinkers committed to exploring what s next - opportunities to gain new knowledge - as it s discovered what you bring to the table: fully proficient knowledge of operating system fundamentals (interrupts, threading, virtual memory, device drivers) and internals (memory layouts and management, binary file formats) fully proficient knowledge in low-level programming of device drivers in a unix, linux, or windows environment what sets you apart: creative thinking with the ability to multi-task consistently displays high performance attributes team player who thrives in collaborative environments and revels in team success 6 years experience in three (3) or more of the following: developing embedded software systems in assembly c, c++, or java developing embedded software systems for unix, linux, windows, vxworks, junos, or vendor-proprietary operating systems experience with operating system internals for unix, linux, windows, vxworks, junos, or vendor-proprietary operating systems reverse engineering and analysis of software low-level programming of device drivers in a unix, linux, or windows environment bit-level data analysis systems engineering of large scale embedded systems #cj3 #swdevpolymd #gdpoly scheduled weekly hours: 40 travel required: none telecommuting options: onsite work location: usa md hanover additional work locations: we are gdit. a global technology and professional services company that delivers consulting, technology and mission services to every major agency across the u.s. government, defense and intelligence community. our 30,000 experts extract the power of technology to create immediate value and deliver solutions at the edge of innovation. we operate across 30 countries worldwide, offering leading capabilities in digital modernization, ai ml, cloud, cyber and application development. together with our clients, we strive to create a safer, smarter world by harnessing the power of deep expertise and advanced technology. we connect people with the most impactful client missions, creating an unparalleled work experience that allows them to see their impact every day. we create opportunities for our people to lead and learn simultaneously. from securing our nation s most sensitive systems, to enabling digital transformation and cloud adoption, our people are the ones who make change real. gdit is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class. 

 "
10," 

 job description:  overview: responsible for designing, creating, testing and maintaining web sites and content that enrich and optimize the exchange of information and produce effective communications between nsa css and its customers. interact with team to gather and define requirements. analyze requirements to determine the most effective web technologies to satisfy their needs. coordinate creation and collection of necessary technology components and integrate them into a coherent site design. follow a formal design process that includes adhering to laws, standards, and established guidelines for development and delivery of the web site end product. design and develop visually-pleasing, content rich, userfriendly interfaces with intuitive navigation. deliver comprehensive web site solutions to satisfy customer requirements. maintain configuration management. responsibilities: tools and languages: sharepoint javascript java eight (8) years experience as a wd in programs and contracts of similar scope, type, and complexity is required. bachelor s degree in a technical discipline from an accredited college or university is required. four (4) years of additional wd experience may be substituted for a bachelor s degree. 

 "
