personality_traits,frequency,job_id
abrasive,0,3
abrupt,0,3
agonizing,0,3
aimless,0,3
airy,0,3
aloof,0,3
amoral,0,3
angry,0,3
anxious,0,3
apathetic,0,3
arbitrary,0,3
argumentative,0,3
arrogant,0,3
asocial,0,3
assertive,0,3
astigmatic,0,3
barbaric,0,3
bewildered,0,3
bizarre,0,3
bland,0,3
blunt,0,3
biosterous,0,3
brittle,0,3
brutal,0,3
calculating,0,3
callous,0,3
cantakerous,0,3
careless,0,3
cautious,0,3
charmless,0,3
childish,0,3
clumsy,0,3
coarse,0,3
cold,0,3
colorless,0,3
complacent,0,3
complaintive,0,3
compulsive,0,3
conceited,0,3
condemnatory,0,3
conformist,0,3
confused,0,3
contemptible,0,3
conventional,0,3
cowardly,0,3
crafty,0,3
crass,0,3
crazy,0,3
criminal,0,3
critical,2,3
crude,0,3
cruel,0,3
cynical,0,3
decadent,0,3
deceitful,0,3
delicate,0,3
demanding,0,3
dependent,0,3
desperate,0,3
destructive,0,3
devious,0,3
difficult,0,3
dirty,0,3
disconcerting,0,3
discontented,0,3
discouraging,0,3
discourteous,0,3
dishonest,0,3
disloyal,0,3
disobedient,0,3
disorderly,0,3
disorganized,0,3
disputatious,0,3
disrespectful,0,3
disruptive,0,3
dissolute,0,3
dissonant,0,3
distractible,0,3
disturbing,0,3
dogmatic,0,3
domineering,0,3
dull,0,3
easily-discouraged,0,3
egocentric,0,3
enervated,0,3
envious,0,3
erratic,0,3
escapist,0,3
excitable,0,3
expedient,0,3
extravagant,0,3
extreme,0,3
faithless,0,3
fanatical,0,3
fanciful,0,3
fatalistic,0,3
fawning,0,3
fearful,0,3
fickle,0,3
fiery,0,3
fixed,0,3
flamboyant,0,3
foolish,0,3
forgetful,0,3
fraudulent,0,3
frightening,0,3
frivolous,0,3
gloomy,0,3
graceless,0,3
grand,0,3
greedy,0,3
grim,0,3
gullible,0,3
hateful,0,3
haughty,0,3
hedonistic,0,3
hesitant,0,3
hidebound,0,3
high-handed,0,3
hostile,0,3
ignorant,0,3
imitative,0,3
impatient,0,3
impractical,0,3
imprudent,0,3
impulsive,0,3
inconsiderate,0,3
incurious,0,3
indecisive,0,3
indulgent,0,3
inert,0,3
inhibited,0,3
insecure,0,3
insensitive,0,3
insincere,0,3
insulting,0,3
intolerant,0,3
irascible,0,3
irrational,0,3
irresponsible,0,3
irritable,0,3
lazy,0,3
libidinous,0,3
loquacious,0,3
malicious,0,3
mannered,0,3
mannerless,0,3
