State Name,Minimum Wage Rate,USPS Abbreviation
Alabama,$7.25 / hour,AL
Alaska,$10.34 / hour,AK
Arizona,$12.80 / hour,AZ
Arkansas,$11.00 / hour,AR
California,$14.00 / hour,CA
Colorado,$12.56 / hour,CO
Connecticut,$13.00 / hour,CT
Delaware,$10.50 / hour,DE
Florida,$10.00 / hour,FL
Georgia,$7.25 / hour,GA
Hawaii,$10.10 / hour,HI
Idaho,$7.25 / hour,ID
Illinois,$12.00 / hour,IL
Indiana,$7.25 / hour,IN
Iowa,$7.25 / hour,IA
Kansas,$7.25 / hour,KS
Kentucky,$7.25 / hour,KY
Louisiana,$7.25 / hour,LA
Maine,$12.75 / hour,ME
Maryland,$12.50 / hour,MD
Massachusetts,$14.25 / hour,MA
Michigan,$9.87 / hour,MI
Minnesota,$10.33 / hour,MN
Mississippi,$7.25 / hour,MS
Missouri,$11.15 / hour,MO
Montana,$9.20 / hour,MT
Nebraska,$9.00 / hour,NE
Nevada,$9.75 / hour,NV
New Hampshire,$7.25 / hour,NH
New Jersey,$13.00 / hour,NJ
New Mexico,$11.50 / hour,NM
New York,$13.20 / hour,NY
North Carolina,$7.25 / hour,NC
North Dakota,$7.25 / hour,ND
Ohio,$9.30 / hour,OH
Oklahoma,$7.25 / hour,OK
Oregon,$12.75 / hour,OR
Pennsylvania,$7.25 / hour,PA
Rhode Island,$12.25 / hour,RI
South Carolina,$7.25 / hour,SC
South Dakota,$9.95 / hour,SD
Tennessee,$7.25 / hour,TN
Texas,$7.25 / hour,TX
Utah,$7.25 / hour,UT
Vermont,$12.55 / hour,VT
Virginia,$11.00 / hour,VA
Washington,$14.49 / hour,WA
West Virginia,$8.75 / hour,WV
Wisconsin,$7.25 / hour,WI
Wyoming,$7.25 / hour,WY
Washington DC,$15.00 / hour,DC
