Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ACCD,"Accolade Inc",38.96,-1.04,-2.60%,39.991,38.78,179328,"15:36 ET"
ACN,"Accenture Plc",342.79,0.97000000000003,+0.28%,344.24,340.65,931279,"15:36 ET"
ACTG,"Acacia Res-Acacia",5.45,-0.04,-0.73%,5.526,5.33,379485,"15:32 ET"
ADP,"Automatic Data Procs",212.03,-0.94999999999999,-0.45%,213.65,210.5,598357,"15:36 ET"
ADS,"Alliance Data Systems Corp",99.77,-0.14,-0.14%,101.21,98.45,186651,"15:35 ET"
ADV,"Advantage Solutions Inc",8.72,-0.11,-1.25%,8.96,8.7,267608,"15:36 ET"
AFRM,"Affirm Holdings Inc Cl A",157.26,10.53,+7.18%,159.67,146.61,21921041,"15:37 ET"
AGFY,"Agrify Corp",18.28,-0.09,-0.49%,18.69,17.95,195401,"15:32 ET"
ALLT,"Allot Communications",14.51,-0.48,-3.20%,15.13,14.13,143038,"15:35 ET"
APG,"Api Group Corp",20.99,0.15,+0.72%,21.02,20.7,435348,"15:36 ET"
API,"Agora Inc Ads",27,-1,-3.57%,28.12,26.985,410497,"15:36 ET"
APP,"Applovin Corp Cl A",92.1,0.25999999999999,+0.28%,94.0499,91.83,794418,"15:36 ET"
APPH,"Appharvest Inc",5.47,-0.31,-5.36%,5.7402,5.44,1135158,"15:34 ET"
APTV,"Aptiv Plc",167.67,-1.07,-0.63%,169.025,166.38,814406,"15:36 ET"
AQMS,"Aqua Metals Inc",2.14,-0.07,-3.17%,2.2,2.11,341058,"15:21 ET"
AQUA,"Evoqua Water Technologies Corp",38.84,-0.41,-1.04%,39.19,38.541,467030,"15:35 ET"
ARQQ,"Arqit Quantum Inc",14.55,-0.1,-0.68%,15.05,14.02,538892,"15:35 ET"
ATER,"Aterian Inc",8.2,0.059999999999999,+0.74%,8.53,8.08,5358696,"15:36 ET"
ATY,"Acuityads Holdings",6.96,0.13,+1.90%,6.9783,6.72,159399,"15:25 ET"
AVPT,"Avepoint Inc Cl A",8.5,0.09,+1.07%,8.61,8.25,444741,"15:35 ET"
BAH,"Booz Allen Hamilton Holding Corp",80.91,-0.060000000000002,-0.07%,80.93,79.83,421100,"15:36 ET"
BBCP,"Concrete Pumping Holdings Inc",8.65,0.12,+1.41%,8.7,8.52,20541,"15:20 ET"
BBSI,"Barrett Business S",80.25,0.48999999999999,+0.61%,80.57,79.165,10861,"15:15 ET"
BBU,"Brookfield Business Partners LP",47.78,-0.35,-0.73%,47.78,46.92,8401,"15:17 ET"
BCO,"Brink's Company",62.04,-0.020000000000003,-0.03%,62.25,61.04,112123,"15:36 ET"
BCOR,"Blucora Inc",16.52,-0.1,-0.60%,16.94,16.26,261499,"15:37 ET"
BGSF,"Bgsf Inc",11.95,-0.17,-1.40%,12.2071,11.8096,16863,"15:22 ET"
BKI,"Black Knight Inc",71.72,0.64,+0.90%,71.77,70.44,243268,"15:36 ET"
BKSY,"Blacksky Technology Inc",8.79,-0.08,-0.90%,9.06,8.77,348905,"15:21 ET"
BLDE,"Blade Air Mobility Inc",9.98,-0.28,-2.73%,10.41,9.865,1022119,"15:36 ET"
BR,"Broadridge Financial Solutions Llc",177.89,-2.05,-1.14%,179.5,177.66,415682,"15:35 ET"
BTBT,"Bit Digital Inc",10.83,-0.39,-3.48%,11.57,10.52,9693685,"15:37 ET"
BTCM,"Bit Mining Ltd",9.6,-0.12,-1.23%,10.0757,9.44,1631414,"15:33 ET"
BTRS,"Btrs Holdings Inc",9.48,-0.15,-1.56%,9.65,9.47,523449,"15:36 ET"
BYRN,"Byrna Technologies Inc",18.79,0.82,+4.56%,19.4499,18.41,371493,"15:35 ET"
CAR,"Avis Budget Group",158.48,7.51,+4.97%,159.92,149.51,1354605,"15:36 ET"
CBZ,"Cbiz Inc",35.14,0.26,+0.75%,35.24,34.63,80817,"15:33 ET"
CCO,"Clear Channel Outdoor Holdings",2.69,0.015,+0.56%,2.73,2.6535,526987,"15:34 ET"
CCRN,"Cross Ctry Hlthcr",19.65,0.76,+4.02%,19.88,18.551,196621,"15:36 ET"
CD,"Chindata Group Holdings Ltd ADR",9.07,0.0099999999999998,+0.11%,9.26,8.94,475394,"15:37 ET"
CDLX,"Cardlytics Inc",83.59,-0.59,-0.70%,84.62,83.19,84006,"15:36 ET"
CIFR,"Cipher Mining Inc",7.68,0.69,+9.87%,8.1,6.5,6068802,"15:37 ET"
CLBT,"Cellebrite Di Ltd",10.92,0.55,+5.30%,10.95,10.06,557070,"15:36 ET"
CLH,"Clean Harbors",109.66,1.74,+1.61%,109.77,107.24,157471,"15:36 ET"
CLSK,"Cleanspark Inc",16.15,0.36,+2.28%,16.61,15.6,1678830,"15:35 ET"
CNDT,"Conduent Inc",6.68,-0.06,-0.89%,6.84,6.64,514999,"15:37 ET"
CNET,"Chinanet Online Holdings",1.3,0.02,+1.56%,1.34,1.28,602051,"15:31 ET"
CNXC,"Concentrix Corp",184.91,2.51,+1.38%,185.95,181.05,68567,"15:35 ET"
COUR,"Coursera Inc",32.98,-0.050000000000004,-0.15%,33.3,32.42,528113,"15:36 ET"
CPRT,"Copart Inc",147.4,2.41,+1.66%,147.32,143.79,331392,"15:36 ET"
CRAI,"Cra International",109.03,1.99,+1.86%,110.048,106.68,39239,"15:25 ET"
CRCT,"Cricut Inc Cl A",26.5,-0.07,-0.26%,27.4,26.43,213498,"15:35 ET"
CRTD,"Creatd Inc",2.76,-0.06,-2.13%,2.95,2.7,394876,"15:35 ET"
CRVL,"Corvel Cp",174.09,-0.59,-0.34%,175.9699,171.995,20304,"15:14 ET"
CTLP,"Cantalope Inc",10.55,-0.08,-0.75%,10.79,10.5406,64584,"15:36 ET"
CYXT,"Cyxtera Technologies Inc",9.29,0.14,+1.53%,9.48,9.1116,216072,"15:33 ET"
DADA,"Dada Nexus Ltd ADR",22.14,0.24,+1.10%,22.33,21.635,332985,"15:35 ET"
DAO,"Youdao Inc ADR",11.9,-0.029999999999999,-0.25%,12.59,11.905,221952,"15:35 ET"
DBD,"Diebold Nixdorf Inc",10.31,-0.43,-4.00%,10.72,10.28,303304,"15:36 ET"
DLHC,"Dlh Holdings Corp",14.935,0.665,+4.66%,16.79,14.8,159255,"15:18 ET"
DLPN,"Dolphin Entertainment Inc",13.1,0.049999999999999,+0.38%,13.27,12.8,169720,"15:33 ET"
DLX,"Deluxe Corp",38.11,0.46,+1.22%,38.43,37.31,122516,"15:32 ET"
DNB,"Dun & Bradstreet Holdings Inc",18.76,0.4,+2.18%,18.68,18.17,797679,"15:36 ET"
DOCU,"Docusign Inc",268.9,8.4299999999999,+3.24%,268.89,261.29,1206385,"15:37 ET"
DOMA,"Doma Holdings Inc",6.07,-0.13,-2.10%,6.28,5.9,302702,"15:35 ET"
DSP,"Viant Technology Inc",13.32,0.0099999999999998,+0.08%,13.345,13.06,58548,"15:36 ET"
ECOL,"US Ecology Inc",31.29,-0.11,-0.35%,31.71,31.1,85430,"15:29 ET"
ECVT,"Pq Group Holdings Inc",11.57,-0.1,-0.86%,11.7,11.49,61403,"15:21 ET"
EFX,"Equifax Inc",268.73,4.78,+1.81%,269.155,262.45,300570,"15:36 ET"
ENV,"Envestnet Inc",83.46,0.079999999999998,+0.10%,84.04,82.525,147373,"15:36 ET"
ESSC,"East Stone Acquisition Corp",10.22,0.0099999999999998,+0.10%,10.22,10.2124,896,2021-10-18
ESTC,"Elastic N.V.",170.05,-1.82,-1.06%,172.42,169.67,390357,"15:37 ET"
EVOP,"Evo Payments Inc Cl A",22.73,-0.52,-2.24%,23.2,22.57,172716,"15:36 ET"
EVRI,"Everi Holdings Inc",24.46,0.54,+2.26%,24.61,23.87,330482,"15:36 ET"
EVTC,"Evertec Inc",47.87,-0.039999999999999,-0.08%,48.06,47.7,105982,"15:28 ET"
EXLS,"Exlservice Holdings",125.83,1.68,+1.35%,125.925,123.57,98080,"15:34 ET"
EXPO,"Exponent Inc",111.41,0.48999999999999,+0.44%,112.245,110.15,201490,"15:28 ET"
FC,"Franklin Covey Company",41.71,0.1,+0.24%,41.84,41.42,28635,"15:19 ET"
FCN,"Fti Consulting",144.64,0.97,+0.68%,146.1,142.535,57241,"15:34 ET"
FDS,"Factset Research Systems Inc",415.46,0.56999999999999,+0.14%,417.015,412.53,100834,"15:33 ET"
