Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AE,Adams Resources & Energy Inc. Common Stock,$30.94,0.20,0.651%,131723275.00,United States,,3895,Energy,Oilfield Services/Equipment
ALTM,Altus Midstream Company Class A Common Stock,$68.01,-16.85,-19.856%,1104921745.00,United States,2017,319760,Energy,Oil & Gas Production
AMPY,Amplify Energy Corp. Common Stock,$3.95,-0.07,-1.741%,150072453.00,United States,2016,1989378,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,$64.47,1.92,3.07%,1186268437.00,United States,2018,245242,Energy,Coal Mining
AMTX,Aemetis Inc. Common Stock,$19.96,0.11,0.554%,632522759.00,United States,,361806,Energy,Oilfield Services/Equipment
APA,APA Corporation Common Stock,$27.68,0.67,2.481%,10463636200.00,United States,,10646391,Energy,Oil & Gas Production
AR,Antero Resources Corporation Common Stock,$20.27,0.69,3.524%,6362041908.00,,2013,5476896,Energy,Oil & Gas Production
ARCH,Arch Resources Inc. Class A Common Stock,$95.49,2.65,2.854%,1460430267.00,United States,2016,342303,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$11.63,0.33,2.92%,1479280397.00,United States,1999,619710,Energy,Coal Mining
AROC,Archrock Inc. Common Stock,$8.62,-0.07,-0.806%,1327833627.00,United States,,760584,Energy,Oil & Gas Production
BATL,Battalion Oil Corporation Common Stock,$9.90,-0.12,-1.198%,161053566.00,,,6161,Energy,Oil & Gas Production
BBL,BHP Group PlcSponsored ADR,$54.52,0.85,1.584%,137878986159.00,Australia,,1909358,Energy,Coal Mining
BCEI,Bonanza Creek Energy Inc. Common Stock,$55.73,1.13,2.07%,1719427882.00,United States,2017,500190,Energy,Oil & Gas Production
BKEP,Blueknight Energy Partners L.P. Common Units,$3.26,-0.03,-0.912%,135332651.00,United States,2011,50073,Energy,Oil & Gas Production
BKEPP,Blueknight Energy Partners L.P. Series A Preferred Units,$8.27,0.02,0.242%,0.00,United States,,11754,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$24.64,0.37,1.525%,20413922785.00,,2017,10298268,Energy,Oilfield Services/Equipment
BORR,Borr Drilling Limited Common Shares,$1.15,-0.02,-1.709%,314667238.00,,2019,1479346,Energy,Oil & Gas Production
BP,BP p.l.c. Common Stock,$29.51,0.07,0.238%,98307238711.00,United Kingdom,,8095959,Energy,Integrated oil Companies
