Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ADT,"ADT Inc",8.5,0.02,+0.24%,8.535,8.37,318244,"15:31 ET"
ADTN,"Adtran Inc",18.25,0.059999999999999,+0.33%,18.545,17.78,293558,"15:35 ET"
AEE,"Ameren Corp",82.64,-0.54000000000001,-0.65%,83.235,82.11,808941,"15:38 ET"
AEP,"American Electric Power Company",82.93,-0.55999999999999,-0.67%,83.31,82.34,813012,"15:38 ET"
AES,"The Aes Corp",23.85,-0.56,-2.29%,24.23,23.8,1740615,"15:37 ET"
AFYA,"Afya Ltd Cl A",19.66,-0.3,-1.50%,19.97,19.125,59947,"15:37 ET"
AGR,"Avangrid Inc",50.45,-0.57,-1.12%,50.7857,50.2103,416420,"15:38 ET"
AIRG,"Airgain Inc",10.65,-0.35,-3.18%,10.95,10.65,51864,"15:22 ET"
AKTS,"Akoustis Technologies Inc",8.23,-0.52,-5.94%,8.9199,8.15,578798,"15:32 ET"
ALE,"Allete Inc",62.29,-1.46,-2.29%,63.17,62.031,166980,"15:36 ET"
ALLE,"Allegion Plc",134.69,0.59,+0.44%,135.08,132.64,235186,"15:36 ET"
AMCX,"AMC Networks Cl A",44.29,-0.91,-2.01%,45.3531,43.8,205223,"15:35 ET"
AMN,"Amn Healthcare Services Inc",96.51,1.97,+2.08%,98.53,94.08,651215,"15:37 ET"
AMX,"America Movil S.A.B. DE C.V. ADR",18.02,-0.1,-0.55%,18.23,17.975,1137783,"15:38 ET"
ANGI,"Angi Inc",12.42,-0.73,-5.55%,13.24,12.305,1035436,"15:37 ET"
ANTE,"Airnet Technology Inc ADR",2.52,0.04,+1.61%,2.5378,2.45,8982,"15:25 ET"
AOS,"Smith A.O. Corp",65.59,-0.11,-0.17%,65.98,64.71,312732,"15:38 ET"
APDN,"Applied Dna Scns",5.59,-0.11,-1.93%,5.7475,5.5201,55856,"15:18 ET"
APEI,"American Public Education",24.79,-0.39,-1.55%,25.36,24.86,29209,"15:32 ET"
AQN,"Algonquin Pwr & Util",14.97,-0.08,-0.53%,15.04,14.86,859496,"15:36 ET"
ARC,"American Reprographics Company",2.69,-0.1,-3.58%,2.78,2.67,137392,"15:37 ET"
ARCE,"Arco Platform Ltd Cl A",18.5,-0.45,-2.37%,18.85,18.34,82369,"15:37 ET"
AREC,"American Resources Corp",2.35,-0.04,-1.67%,2.51,2.31,2047462,"15:29 ET"
ARLO,"Arlo Technologies Inc",6.51,0.02,+0.31%,6.57,6.48,165460,"15:32 ET"
ASGN,"On Assignment",118.79,0.090000000000003,+0.08%,119.2,118.05,83893,"15:36 ET"
ASPS,"Altisource Portfolio",13.75,0.029999999999999,+0.22%,14.21,13.599,33731,"15:19 ET"
ASPU,"Aspen Group Inc",5.56,-0.04,-0.71%,5.63,5.51,61039,"15:37 ET"
ASTS,"Ast Spacemobile Inc",10.3,0.09,+0.88%,10.46,10.14,425315,"15:38 ET"
ATER,"Aterian Inc",8.19,0.049999999999999,+0.61%,8.53,8.08,5363295,"15:38 ET"
ATEX,Pdvwireless,59.99,0.080000000000005,+0.13%,60.48,59.23,26188,"15:19 ET"
ATGE,"Adtalem Global Education Inc",36.55,0.14,+0.38%,36.91,36,135871,"15:37 ET"
ATIP,"Ati Physical Therapy Inc",3.55,0.02,+0.57%,3.55,3.4,410782,"15:38 ET"
ATNI,"Atn International",46.49,-0.059999999999995,-0.13%,46.63,46.18,6102,"15:06 ET"
ATO,"Atmos Energy Corp",91.14,-1.86,-2.00%,92.76,90.72,440913,"15:38 ET"
ATUS,"Altice USA Inc Cl A",17.5,0.12,+0.69%,17.715,17.2,4218571,"15:38 ET"
AUD,"Audacy Inc",3.34,-0.06,-1.76%,3.38,3.31,363902,"15:34 ET"
AUDC,"Audiocodes Ltd",35.51,-0.57,-1.58%,36.585,35.51,69234,"15:37 ET"
AVA,"Avista Corp",39.66,-1.18,-2.89%,40.71,39.4,228151,"15:37 ET"
AVNW,"Aviat Networks Inc",30.46,0.010000000000002,+0.03%,30.68,30.03,103695,"15:35 ET"
AVYA,"Avaya Holdings Corp",19.1,-0.83,-4.16%,19.48,18.66,687676,"15:37 ET"
AWK,"American Water Works",171.02,-0.39999999999998,-0.23%,171.38,169.36,237944,"15:33 ET"
AWR,"American States Water Company",89.01,-0.80999999999999,-0.90%,90.08,88.23,70550,"15:35 ET"
AY,"Atlantica Yield Plc",35.63,-0.59,-1.63%,36.18,35.71,199243,"15:37 ET"
AYI,"Acuity Brands Inc",210.12,2.39,+1.15%,212.52,206.38,182035,"15:37 ET"
AYRO,"Ayro Inc",2.9,-0.06,-2.03%,2.96,2.89,279421,"15:37 ET"
AZZ,"Azz Inc",52.07,-1.22,-2.29%,52.84,51.78,72341,"15:38 ET"
BATRA,"Liberty Braves CS A",27.46,0.060000000000002,+0.22%,27.47,27.15,20183,"15:36 ET"
BATRK,"Liberty Braves CS C",26.86,0.099999999999998,+0.37%,26.81,26.55,33857,"15:37 ET"
BBSI,"Barrett Business S",80.21,0.44999999999999,+0.56%,80.57,79.165,11068,"15:22 ET"
BCE,"BCE Inc",51.07,-0.31,-0.60%,51.25,50.91,694170,"15:38 ET"
BEP,"Brookfield Renewable",37.79,-0.26,-0.68%,37.935,37.58,188976,"15:36 ET"
BGSF,"Bgsf Inc",11.95,-0.17,-1.40%,12.2071,11.8096,17215,"15:22 ET"
BIP,"Brookfield Infrastructure Partners LP",57.37,-0.090000000000003,-0.16%,57.48,57.01,226247,"15:36 ET"
BKD,"Brookdale Senior Living Inc",6.56,-0.04,-0.61%,6.64,6.445,555434,"15:33 ET"
BKH,"Black Hills Corp",63.63,-0.93999999999999,-1.46%,64.13,63.42,132562,"15:38 ET"
BKSY,"Blacksky Technology Inc",8.79,-0.08,-0.90%,9.06,8.77,350641,"15:23 ET"
CALX,"Calix Inc",57.23,-0.14,-0.24%,57.95,56.52,276459,"15:35 ET"
CAMP,"Calamp Corp",10.09,0.07,+0.70%,10.235,9.99,66837,"15:29 ET"
CASA,"Casa Systems Inc",6.43,-0.14,-2.13%,6.54,6.41,50121,"15:24 ET"
CCF,"Chase Corp",99.22,0.89,+0.91%,99.5926,98.5,5248,"15:35 ET"
CCO,"Clear Channel Outdoor Holdings",2.69,0.015,+0.56%,2.73,2.6535,534770,"15:34 ET"
CCOI,"Cogent Comm Hlds",73.52,0.33,+0.45%,73.85,72.89,55734,"15:36 ET"
CCRN,"Cross Ctry Hlthcr",19.7,0.81,+4.29%,19.88,18.551,196888,"15:37 ET"
CHGG,"Chegg Inc",62.41,1.13,+1.84%,63.57,61.36,1202362,"15:37 ET"
CHT,"Chunghwa Telecom Co. Ltd ADR",39.64,-0.12,-0.30%,39.7899,39.61,56379,"15:29 ET"
CHTR,"Charter Communicatio",706.92,7.89,+1.13%,708.22,692.64,506380,"15:37 ET"
CIEN,"Ciena Corp",52.26,0.009999999999998,+0.02%,52.55,51.83,346304,"15:37 ET"
CIG,"Comp En DE MN Cemig ADR",2.69,0.03,+1.12%,2.725,2.635,7159281,"15:37 ET"
CLFD,"Clearfield Inc",52.91,0.41999999999999,+0.80%,53.1899,51.5701,42231,"15:35 ET"
CLNE,"Clean Energy Fuels",8.81,-0.19,-2.11%,9.1,8.765,2107419,"15:38 ET"
