Symbol,Date,Opening Price,Closing Price,Volume
SPCE,Mon Sep 20 2021,25.43,24.75,13197136
SPCE,Tue Sep 21 2021,25.0,25.19,8181531
SPCE,Wed Sep 22 2021,25.29,25.53,6047960
SPCE,Thu Sep 23 2021,25.75,25.85,6594082
SPCE,Fri Sep 24 2021,25.85,25.04,7887146
SPCE,Mon Sep 27 2021,25.11,25.0,7678811
SPCE,Tue Sep 28 2021,24.91,23.39,16464695
SPCE,Wed Sep 29 2021,23.54,22.56,11285171
SPCE,Thu Sep 30 2021,24.13,25.3,46612674
SPCE,Fri Oct 01 2021,25.07,23.83,16868074
SPCE,Mon Oct 04 2021,23.62,22.73,10849543
SPCE,Tue Oct 05 2021,22.79,22.53,9055180
SPCE,Wed Oct 06 2021,22.53,22.98,9677773
SPCE,Thu Oct 07 2021,23.03,23.21,6855661
SPCE,Fri Oct 08 2021,23.19,23.12,5154579
SPCE,Mon Oct 11 2021,23.07,23.22,4948483
SPCE,Tue Oct 12 2021,23.4,23.51,5405998
SPCE,Wed Oct 13 2021,23.65,23.94,6339545
SPCE,Thu Oct 14 2021,24.25,24.06,12932349
SPCE,Fri Oct 15 2021,20.47,20.01,59068605
SPCE,Mon Oct 18 2021,19.04,19.72,25100274
SPCE,Tue Oct 19 2021,19.5,19.84,15227849
