Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAL,"American Airlines Gp",19.98,0.34,+1.73%,20.33,19.92,27259898,2021-10-15
AAWW,"Atlas Air Ww",78.7,-0.74,-0.93%,80.45,78.64,664900,2021-10-15
ACCO,"Acco Brands Corp",8.83,-0.12,-1.34%,9.2,8.83,300400,2021-10-15
ACEL,"Accel Entertainment Inc",12.15,0.11,+0.91%,12.59,12.07,159000,2021-10-15
ADNT,"Adient Plc",45.97,0.65,+1.43%,47.15,45.74,1410200,2021-10-15
AEVA,"Aeva Technologies Inc",7.67,-0.15,-1.92%,7.94,7.66,503500,2021-10-15
AGFS,"Agrofresh Solutions",2.14,-0.07,-3.17%,2.25,2.14,37000,2021-10-15
AIR,"AAR Corp",33.84,0.90000000000001,+2.73%,34.22,33.26,363700,2021-10-15
AJRD,"Aerojet Rocketdyne Holdings",43.9,0.17,+0.39%,44.53,43.83,370900,2021-10-15
AL,"Air Lease Corp Cl A",42.26,0.25,+0.60%,42.72,42.02,493500,2021-10-15
ALGT,"Allegiant Travel Com",190.07,-2.87,-1.49%,198.29,189.8,119800,2021-10-15
ALK,"Alaska Air Group",57.77,0.25,+0.43%,59.12,57.68,1933000,2021-10-15
ALSN,"Allison Transmission Holdings",35.11,-0.049999999999997,-0.14%,35.795,35.03,454400,2021-10-15
ALV,"Autoliv Inc",96.73,1.51,+1.59%,97.1,95.14,581900,2021-10-15
AMC,"AMC Entertainment Holdings Inc",40.74,0.67,+1.67%,41.79,39.78,46524600,2021-10-15
ANDE,"Andersons Inc",31.23,-0.06,-0.19%,32,31.14,104200,2021-10-15
ANTE,"Airnet Technology Inc ADR",2.48,-0.04,-1.59%,2.61,2.36,72100,2021-10-15
AOUT,"American Outdoor Brands Inc",23.36,-0.67,-2.79%,24.47,23.32,146800,2021-10-15
APTV,"Aptiv Plc",168.74,1.42,+0.85%,169.99,167.985,1201300,2021-10-15
ARCB,"Arcbest Corp",85.46,2.01,+2.41%,86.21,83.95,321600,2021-10-15
ARCO,"Arcos Dorados Holdings Inc",4.76,-0.07,-1.45%,4.89,4.75,456100,2021-10-15
ARMK,"Aramark Holdings Corp",36.35,-0.25,-0.68%,37.425,36.285,1045500,2021-10-15
ASC,"Ardmore Shipping Corp",3.88,0.16,+4.30%,3.96,3.71,362900,2021-10-15
ASR,"Grupo Aeroportuario Del Sureste ADR",197.42,2.99,+1.54%,199.335,194.11,37400,2021-10-15
ASTR,"Astra Space Inc Cl. A",8.81,-0.04,-0.45%,9.15,8.7,2483200,2021-10-15
ATCO,"Atlas Corp",14.55,0.37,+2.61%,14.6,14.16,694800,2021-10-15
ATRO,"Astronics Cp",14.13,0.45,+3.29%,14.36,13.37,150500,2021-10-15
ATSG,"Air Transport",24.12,-0.31,-1.27%,24.88,24.07,268900,2021-10-15
AVAV,"Aerovironment Inc",90.09,0.22,+0.24%,91.76,89.88,120700,2021-10-15
AVD,"American Vanguard Corp",15.82,0.14,+0.89%,16.01,15.79,181200,2021-10-15
AXL,"American Axle & Manufacturing",10.61,-0.040000000000001,-0.38%,10.91,10.61,1128200,2021-10-15
AZUL,"Azul S.A. ADR",19.67,0.49,+2.55%,19.935,19.15,1264700,2021-10-15
BA,"Boeing Company",217.04,-0.40000000000001,-0.18%,219.61,216.28,8773300,2021-10-15
BCO,"Brink's Company",62.06,0.020000000000003,+0.03%,63.92,61.96,408700,2021-10-15
BEST,"Best Inc ADR",1.95,0.04,+2.09%,2.07,1.9,4965300,2021-10-15
BFI,"Burgerfi Intl Inc",8.78,-0.03,-0.34%,8.97,8.75,93700,2021-10-15
BIOX,"Bioceres Crop Solutions Corp",13.22,0.01,+0.08%,13.42,13.21,3800,2021-10-15
BIP,"Brookfield Infrastructure Partners LP",57.46,0.4,+0.70%,57.72,57.28,227900,2021-10-15
BJRI,"Bj's Restaurants Inc",37.48,-0.9,-2.34%,39.42,37.44,227500,2021-10-15
BKNG,"Booking Holdings Inc",2538.34,42.12,+1.69%,2540,2515.5,233300,2021-10-15
BLBD,"Blue Bird Corp",19.77,0.15,+0.76%,20.67,19.75,177900,2021-10-15
BLMN,"Bloomin' Brands Inc",23.46,-0.63,-2.62%,24.75,23.43,1294600,2021-10-15
BLNK,"Blink Charging Company",28.33,-0.38,-1.32%,29.27,28.31,1048700,2021-10-15
BRFS,"Brf-Brasil Foods S.A. ADR",4.8,0.13,+2.78%,4.81,4.67,4298700,2021-10-15
BTCM,"Bit Mining Ltd",9.72,0.42,+4.52%,10.16,9.33,3818700,2021-10-15
BTI,"British American Tobacco Industries ADR",36.1,0.039999999999999,+0.11%,36.175,35.93,3047800,2021-10-15
BWA,"Borgwarner Inc",47.03,-0.96,-2.00%,48.68,46.91,2394500,2021-10-15
CAAP,"Corporacion America Airports Sa",5.62,0.02,+0.36%,5.72,5.54,90800,2021-10-15
CAAS,"China Automotive Sys",3.23,-0.06,-1.82%,3.3,3.22,36900,2021-10-15
CAI,"Cai International",55.89,-0.030000000000001,-0.05%,55.98,55.89,168400,2021-10-15
CAKE,"Cheesecake Fact",43.04,-1.2,-2.71%,45.33,42.86,1045000,2021-10-15
CAR,"Avis Budget Group",150.97,3.78,+2.57%,152.46,145.32,1461400,2021-10-15
CBRL,"Cracker Barrel",134.69,-2.95,-2.14%,140.5,134.13,307500,2021-10-15
CCL,"Carnival Corp",23.67,-0.059999999999999,-0.25%,24.415,23.625,22362800,2021-10-15
CF,"Cf Industries Holdings",59,-1.54,-2.54%,61.21,58.97,3146500,2021-10-15
CGA,"China Green Agriculture",10.91,0.37,+3.51%,10.94,10.5,5100,2021-10-15
CHDN,"Churchill Downs IN",254.2,-2.71,-1.05%,262.2,253.96,120000,2021-10-15
CHPT,"Chargepoint Hldgs Inc",19.71,-0.21,-1.05%,20.035,19.4151,4576600,2021-10-15
CHRW,"C.H. Robinson Ww",94.63,0.69,+0.73%,96.39,94.57,1126000,2021-10-15
CHUY,"Chuy's Holdings Inc",30.28,-0.23,-0.75%,31.38,30.25,111800,2021-10-15
CLAR,"Clarus Corp",27.73,0.44,+1.61%,28.07,27.25,252700,2021-10-15
CLXT,"Calyxt Inc",2.95,-0.06,-1.99%,3.03,2.91,106200,2021-10-15
CMG,"Chipotle Mexican Grill",1830.9301,-9.7598,-0.53%,1854.73,1826.1,166500,2021-10-15
CMPR,"Cimpress N.V. Ord",87.38,0.21,+0.24%,88,86.92,108500,2021-10-15
CMRE,"Costamare Inc",13.94,-0.020000000000001,-0.14%,14.2038,13.9,893600,2021-10-15
CNI,"Canadian National Railway",122.69,1.06,+0.87%,122.84,121.51,890100,2021-10-15
CNK,"Cinemark Holdings Inc",20.18,-0.059999999999999,-0.30%,21.34,20.16,4444300,2021-10-15
CNNE,"Cannae Holdings Inc",31.68,0.24,+0.76%,32.38,31.56,552800,2021-10-15
CP,"Canadian Pacific Railway",72.85,1.23,+1.72%,72.94,71.79,7716400,2021-10-15
CPA,"Copa Holdings S.A.",83.79,-0.67999999999999,-0.81%,85.16,83.395,241400,2021-10-15
CPLP,"Capital Product Part",12.92,-0.08,-0.62%,13.3,12.88,61500,2021-10-15
CPS,"Cooper Std Holdings Inc",24.82,0.36,+1.47%,25.15,24.4423,159900,2021-10-15
CSX,"CSX Corp",34.16,0.73,+2.18%,34.42,33.57,20535100,2021-10-15
CTRM,"Castor Maritime Inc",2.38,-0.02,-0.83%,2.45,2.37,2427400,2021-10-15
CUK,"Carnival Plc ADR",21.9,0.059999999999999,+0.27%,22.42,21.85,949400,2021-10-15
CURI,"Curiositystream Inc",10.7,0,0.00%,10.95,10.63,222000,2021-10-15
CVGI,"Commercial Vehicle G",10.08,0.04,+0.40%,10.36,9.96,273800,2021-10-15
CVLG,"Covenant Logistics Group Inc",32.62,1,+3.16%,32.85,31.63,217600,2021-10-15
