Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2017,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 3,45,6,13.3,5,11.1,10,22.2,23,51.1,*,<= 5.0,20180117
2017,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 4,44,5,11.4,11,25,12,27.3,13,29.5,3,6.8,20180117
2017,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 5,35,5,14.3,10,28.6,8,22.9,11,31.4,*,<= 5.0,20180117
2017,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 3,45,5,11.1,9,20,16,35.6,14,31.1,*,<= 5.0,20180117
2017,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 4,44,6,13.6,19,43.2,13,29.5,6,13.6,*,<= 5.0,20180117
2017,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 5,35,9,25.7,9,25.7,13,37.1,3,8.6,*,<= 5.0,20180117
2017,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 3,77,31,40.3,11,14.3,13,16.9,22,28.6,*,<= 5.0,20180117
2017,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 4,68,15,22.1,15,22.1,17,25,18,26.5,*,<= 5.0,20180117
2017,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 5,65,10,15.4,20,30.8,22,33.8,13,20,*,<= 5.0,20180117
2017,01,Allegany,0401,South Penn Elementary,Mathematics Grade 3,76,24,31.6,12,15.8,20,26.3,19,25,*,<= 5.0,20180117
2017,01,Allegany,0401,South Penn Elementary,Mathematics Grade 4,68,14,20.6,12,17.6,12,17.6,26,38.2,4,5.9,20180117
2017,01,Allegany,0401,South Penn Elementary,Mathematics Grade 5,65,11,16.9,17,26.2,23,35.4,14,21.5,*,<= 5.0,20180117
2017,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 3,33,11,33.3,4,12.1,4,12.1,13,39.4,*,<= 5.0,20180117
2017,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 4,42,6,14.3,13,31,7,16.7,16,38.1,*,<= 5.0,20180117
2017,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 5,35,3,8.6,4,11.4,13,37.1,15,42.9,*,<= 5.0,20180117
2017,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 3,33,9,27.3,7,21.2,7,21.2,5,15.2,5,15.2,20180117
2017,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 4,42,10,23.8,11,26.2,7,16.7,14,33.3,*,<= 5.0,20180117
2017,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 5,35,6,17.1,10,28.6,10,28.6,9,25.7,*,<= 5.0,20180117
2017,01,Allegany,0405,Fort Hill High,English/Language Arts Grade 10,225,46,20.4,35,15.6,52,23.1,73,32.4,19,8.4,20180117
2017,01,Allegany,0405,Fort Hill High,English/Language Arts Grade 11,175,45,25.7,42,24,43,24.6,44,25.1,*,<= 5.0,20180117
2017,01,Allegany,0405,Fort Hill High,Algebra 1,184,44,23.9,82,44.6,40,21.7,18,9.8,*,<= 5.0,20180117
2017,01,Allegany,0405,Fort Hill High,Algebra 2,221,110,49.8,58,26.2,33,14.9,20,9,*,<= 5.0,20180117
2017,01,Allegany,0406,Washington Middle,English/Language Arts Grade 6,183,12,6.6,55,30.1,66,36.1,45,24.6,*,<= 5.0,20180117
2017,01,Allegany,0406,Washington Middle,English/Language Arts Grade 7,185,33,17.8,41,22.2,48,25.9,52,28.1,11,5.9,20180117
2017,01,Allegany,0406,Washington Middle,English/Language Arts Grade 8,181,40,22.1,35,19.3,41,22.7,57,31.5,*,<= 5.0,20180117
2017,01,Allegany,0406,Washington Middle,Mathematics Grade 6,183,20,10.9,39,21.3,55,30.1,60,32.8,*,<= 5.0,20180117
2017,01,Allegany,0406,Washington Middle,Mathematics Grade 7,184,23,12.5,40,21.7,70,38,44,23.9,*,<= 5.0,20180117
2017,01,Allegany,0406,Washington Middle,Mathematics Grade 8,119,31,26.1,18,15.1,28,23.5,42,35.3,*,<= 5.0,20180117
