Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AA,Alcoa Corporation Common Stock ,$49.25,-0.74,-1.48%,9212707167.00,,2016,7454336,Basic Industries,Metal Fabrications
ACH,Aluminum Corporation of China Limited American Depositary Shares,$17.39,-0.26,-1.473%,11840971304.00,China,2001,97183,Basic Industries,Aluminum
ADES,Advanced Emissions Solutions Inc. Common Stock,$6.45,-0.16,-2.421%,121603708.00,United States,,110332,Basic Industries,Industrial Specialties
AIN,Albany International Corporation Common Stock,$81.13,-0.61,-0.746%,2627044325.00,United States,,72875,Basic Industries,Textiles
ALAC,Alberton Acquisition Corporation Ordinary Shares,$11.47,0.04,0.35%,51387538.00,Hong Kong,2018,103757,Basic Industries,Engineering & Construction
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,$0.55,0.015,2.804%,0.00,Hong Kong,2018,57584,Basic Industries,Engineering & Construction
ALB,Albemarle Corporation Common Stock,$231.51,-2.65,-1.132%,27075063709.00,United States,,761826,Basic Industries,Industrial Specialties
ALTO,Alto Ingredients Inc. Common Stock,$5.73,0.03,0.526%,417186740.00,United States,,966542,Basic Industries,Industrial Specialties
AMCR,Amcor plc Ordinary Shares,$12.16,0.13,1.081%,18666095946.00,,2019,2672842,Basic Industries,Containers/Packaging
AMRC,Ameresco Inc. Class A Common Stock,$72.29,4.24,6.231%,3714875243.00,United States,2010,465912,Basic Industries,Water Supply
AMRS,Amyris Inc. Common Stock,$14.03,-0.14,-0.988%,4255533287.00,United States,2010,2441519,Basic Industries,Industrial Specialties
APD,Air Products and Chemicals Inc. Common Stock,$291.23,-2.66,-0.905%,64468029932.00,United States,,898513,Basic Industries,Major Chemicals
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),$2.99,-0.16,-5.079%,41320810.00,Taiwan,,7251,Basic Industries,Telecommunications Equipment
ASA,ASA  Gold and Precious Metals Limited,$21.27,0.25,1.189%,410296279.00,United States,,97386,Basic Industries,Precious Metals
ASH,Ashland Global Holdings Inc. Common Stock,$97.83,-0.13,-0.133%,5941543826.00,United States,,385259,Basic Industries,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,$45.27,0.92,2.074%,1272928433.00,United States,2016,266159,Basic Industries,Major Chemicals
ATC,Atotech Limited Common Shares,$23.95,0.04,0.167%,4662965176.00,,2021,401403,Basic Industries,Major Chemicals
ATI,Allegheny Technologies Incorporated Common Stock,$15.97,-0.35,-2.145%,2032112743.00,United States,,985443,Basic Industries,Steel/Iron Ore
AU,AngloGold Ashanti Limited Common Stock,$19.52,0.47,2.467%,8146581037.00,South Africa,,3529623,Basic Industries,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.4979,0.003,0.606%,81060416.00,United States,,795459,Basic Industries,Metal Mining
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),$15.75,0.04,0.255%,486331666.00,United States,,109161,Basic Industries,Agricultural Chemicals
AVNT,Avient Corporation Common Stock,$53.46,0.91,1.732%,4880756759.00,United States,,321076,Basic Industries,Major Chemicals
AVTR,Avantor Inc. Common Stock,$38.42,-0.35,-0.903%,23358312402.00,,2019,3781370,Basic Industries,Industrial Specialties
AXTA,Axalta Coating Systems Ltd. Common Shares,$32.69,-0.13,-0.396%,7523960409.00,United States,2014,2424672,Basic Industries,Paints/Coatings
BAK,Braskem SA ADR,$19.52,-0.65,-3.223%,7769606815.00,Brazil,,387205,Basic Industries,Major Chemicals
BCPC,Balchem Corporation Common Stock,$154.76,-0.82,-0.527%,5009663997.00,United States,,37088,Basic Industries,Industrial Specialties
BDC,Belden Inc Common Stock,$60.31,-0.25,-0.413%,2705111630.00,United States,,145246,Basic Industries,Telecommunications Equipment
BG,Bunge Limited Bunge Limited,$88.33,0.64,0.73%,12517855455.00,United States,2001,665484,Basic Industries,Agricultural Chemicals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$56.72,0.79,1.412%,143542436925.00,Australia,,3448565,Basic Industries,Precious Metals
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$13.45,0.06,0.448%,552849970.00,Argentina,,9991,Basic Industries,Agricultural Chemicals
BRCN,Burcon NutraScience Corp. Common Stock,$1.35,-0.10,-6.897%,146463687.00,Canada,,48347,Basic Industries,Precious Metals
BTB,Bit Brother Limited Ordinary Shares,$1.08,-0.02,-1.818%,8579748.00,China,,873203,Basic Industries,Major Chemicals
BVN,Buenaventura Mining Company Inc.,$8.67,-0.11,-1.253%,2202066137.00,Peru,1996,1777812,Basic Industries,Precious Metals
CBT,Cabot Corporation Common Stock,$53.69,-0.10,-0.186%,3045486702.00,United States,,180549,Basic Industries,Specialty Chemicals
CC,Chemours Company (The) Common Stock,$29.19,-0.34,-1.151%,4821128082.00,United States,2015,1299862,Basic Industries,Industrial Specialties
CCF,Chase Corporation Common Stock,$100.08,-1.55,-1.525%,945680740.00,United States,,11529,Basic Industries,Paints/Coatings
CDE,Coeur Mining Inc. Common Stock,$6.73,0.14,2.124%,1729783486.00,United States,,5509153,Basic Industries,Precious Metals
CE,Celanese Corporation Celanese Corporation Common Stock,$168.48,2.71,1.635%,18720729668.00,United States,2005,906312,Basic Industries,Major Chemicals
CENX,Century Aluminum Company Common Stock,$15.63,0.20,1.296%,1408718114.00,United States,1996,1049293,Basic Industries,Aluminum
CF,CF Industries Holdings Inc. Common Stock,$59.67,-0.32,-0.533%,12835015031.00,United States,2005,1451723,Basic Industries,Agricultural Chemicals
CGA,China Green Agriculture Inc. Common Stock,$11.15,0.115,1.042%,94637063.00,China,,9868,Basic Industries,Agricultural Chemicals
CHNR,China Natural Resources Inc. Common Stock,$1.24,-0.02,-1.587%,50775622.00,Hong Kong,,44279,Basic Industries,Precious Metals
CINR,Ciner Resources LP Common Units representing Limited Partner Interests,$16.02,-0.36,-2.198%,316865796.00,,2013,17082,Basic Industries,Specialty Chemicals
CLW,Clearwater Paper Corporation Common Stock,$43.37,-0.64,-1.454%,723729415.00,United States,,199397,Basic Industries,Paper
CMC,Commercial Metals Company Common Stock,$31.51,-0.30,-0.943%,3799807978.00,United States,,801038,Basic Industries,Steel/Iron Ore
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.94,-0.24,-1.821%,156817570.00,Canada,,22613,Basic Industries,Precious Metals
CMP,Compass Minerals Intl Inc Common Stock,$69.68,0.37,0.534%,2371818079.00,United States,2003,150107,Basic Industries,Precious Metals
CNEY,CN Energy Group Inc. Ordinary Shares,$8.70,-0.14,-1.584%,176777701.00,China,2021,590730,Basic Industries,Major Chemicals
CRS,Carpenter Technology Corporation Common Stock,$32.03,-0.73,-2.228%,1539591263.00,United States,,166720,Basic Industries,Steel/Iron Ore
CRWS,Crown Crafts Inc Common Stock,$7.59,-0.0112,-0.147%,76149764.00,United States,,2834,Basic Industries,Textiles
CSTM,Constellium SE Ordinary Shares (France),$18.00,-0.14,-0.772%,2550192588.00,Netherlands,2013,823539,Basic Industries,Aluminum
CSWI,CSW Industrials Inc. Common Stock,$136.49,0.19,0.139%,2147560958.00,United States,,22690,Basic Industries,Home Furnishings
CTVA,Corteva Inc. Common Stock ,$42.75,0.04,0.094%,31386408750.00,,2019,1875722,Basic Industries,Major Chemicals
CULP,Culp Inc. Common Stock,$13.23,0.04,0.303%,161449447.00,United States,,4648,Basic Industries,Textiles
CVCO,Cavco Industries Inc. Common Stock When Issued,$241.00,-5.06,-2.056%,2214074230.00,United States,,34809,Basic Industries,Homebuilding
DOW,Dow Inc. Common Stock ,$58.40,-0.86,-1.451%,43553072419.00,,2019,5886498,Basic Industries,Industrial Specialties
DRD,DRDGOLD Limited American Depositary Shares,$9.16,-0.07,-0.758%,783284232.00,South Africa,,261910,Basic Industries,Precious Metals
DY,Dycom Industries Inc. Common Stock,$79.88,2.69,3.485%,2410027528.00,United States,,454787,Basic Industries,Water Supply
ECVT,Ecovyst Inc. Common Stock,$11.36,0.07,0.62%,1555686737.00,United States,2017,178826,Basic Industries,Major Chemicals
EMN,Eastman Chemical Company Common Stock,$107.57,0.14,0.13%,14606147083.00,United States,,1060887,Basic Industries,Major Chemicals
ENR,Energizer Holdings Inc. Common Stock,$37.02,-0.36,-0.963%,2531121334.00,United States,2015,580200,Basic Industries,Metal Fabrications
ESI,Element Solutions Inc. Common Stock,$22.86,0.34,1.51%,5659402857.00,United States,2014,1099729,Basic Industries,Industrial Specialties
EVGN,Evogene Ltd Ordinary Shares,$2.69,-0.02,-0.738%,109270824.00,Israel,,285949,Basic Industries,Agricultural Chemicals
FCX,Freeport-McMoRan Inc. Common Stock,$37.67,-0.75,-1.952%,55301985308.00,United States,,19052039,Basic Industries,Precious Metals
FF,FutureFuel Corp.  Common shares,$7.73,-0.15,-1.904%,338289868.00,United States,,135862,Basic Industries,Major Chemicals
FMC,FMC Corporation Common Stock,$92.97,-0.67,-0.716%,11965182009.00,United States,,502734,Basic Industries,Agricultural Chemicals
FOE,Ferro Corporation Common Stock,$20.79,-0.24,-1.141%,1719422189.00,United States,,170504,Basic Industries,Paints/Coatings
FRD,Friedman Industries Inc. Common Stock,$13.9199,-0.0701,-0.501%,96040865.00,United States,,7170,Basic Industries,Steel/Iron Ore
FSTR,L.B. Foster Company Common Stock,$15.98,-0.48,-2.916%,173135006.00,United States,,21218,Basic Industries,Metal Fabrications
FUL,H. B. Fuller Company Common Stock,$69.71,-0.17,-0.243%,3663543035.00,United States,,286507,Basic Industries,Home Furnishings
GATO,Gatos Silver Inc. Common Stock,$12.83,0.03,0.234%,885156621.00,United States,2020,897945,Basic Industries,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$9.66,0.28,2.985%,8575349582.00,South Africa,,6451466,Basic Industries,Precious Metals
GGB,Gerdau S.A. Common Stock,$4.68,0.02,0.429%,7982097257.00,Brazil,,11671571,Basic Industries,Steel/Iron Ore
GLT,Glatfelter Corporation Common Stock,$16.35,0.03,0.184%,727985205.00,United States,,123342,Basic Industries,Paper
GORO,Gold Resource Corporation Common Stock,$1.69,-0.01,-0.588%,126043038.00,United States,,783584,Basic Industries,Precious Metals
GPK,Graphic Packaging Holding Company,$20.65,0.05,0.243%,6340558257.00,United States,,1820358,Basic Industries,Paper
GPP,Green Plains Partners LP Common Units,$15.50,-0.07,-0.45%,360028622.00,United States,2015,17610,Basic Industries,Major Chemicals
GPRE,Green Plains Inc. Common Stock,$36.30,0.02,0.055%,1947484473.00,United States,,524213,Basic Industries,Major Chemicals
GSM,Ferroglobe PLC Ordinary Shares,$7.39,0.14,1.931%,1382819091.00,United Kingdom,,1128756,Basic Industries,Precious Metals
GURE,Gulf Resources Inc. (NV) Common Stock,$5.355,-0.195,-3.514%,56064049.00,China,,7150,Basic Industries,Major Chemicals
HDSN,Hudson Technologies Inc. Common Stock,$3.53,-0.01,-0.282%,154856804.00,United States,,84191,Basic Industries,Specialty Chemicals
HL,Hecla Mining Company Common Stock,$5.84,0.15,2.636%,3135942947.00,United States,,7705166,Basic Industries,Precious Metals
HMY,Harmony Gold Mining Company Limited,$3.93,0.03,0.769%,2397735189.00,South Africa,,5132546,Basic Industries,Precious Metals
HUDI,Huadi International Group Co. Ltd. Ordinary Shares,$13.67,-0.52,-3.665%,179418750.00,China,2021,910716,Basic Industries,Steel/Iron Ore
HUN,Huntsman Corporation Common Stock,$32.52,-0.04,-0.123%,7217160315.00,United States,2005,1456711,Basic Industries,Major Chemicals
HURC,Hurco Companies Inc. Common Stock,$33.45,0.05,0.15%,220817031.00,United States,,15020,Basic Industries,Steel/Iron Ore
HWKN,Hawkins Inc. Common Stock,$37.88,-0.31,-0.812%,803526091.00,United States,,54023,Basic Industries,Industrial Specialties
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$1.74,0.03,1.754%,87278473.00,United States,2018,172608,Basic Industries,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.3201,-0.0298,-8.517%,0.00,United States,,11150,Basic Industries,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.308,-0.0631,-17.004%,0.00,United States,2018,204819,Basic Industries,Precious Metals
HYMCZ,Hycroft Mining Holding Corporation Warrant,$0.3024,0.0068,2.30%,0.00,United States,,11009,Basic Industries,Precious Metals
ICL,ICL Group Ltd. Ordinary Shares,$8.31,0.12,1.465%,10671296032.00,Israel,2014,187850,Basic Industries,Agricultural Chemicals
IEA,Infrastructure and Energy Alternatives Inc. Common Stock,$10.75,-0.33,-2.978%,476592349.00,United States,2016,303433,Basic Industries,Water Supply
IEAWW,Infrastructure and Energy Alternatives Inc. Warrant,$1.09,-0.10,-8.403%,0.00,United States,2016,14700,Basic Industries,Water Supply
IFF,International Flavors & Fragrances Inc. Common Stock,$145.32,-0.53,-0.363%,36987535507.00,United States,,581586,Basic Industries,Major Chemicals
IOSP,Innospec Inc. Common Stock,$88.47,1.11,1.271%,2180069247.00,United States,,196314,Basic Industries,Industrial Specialties
IP,International Paper Company Common Stock,$53.03,-0.13,-0.245%,20725959580.00,United States,,2279704,Basic Industries,Containers/Packaging
IPI,Intrepid Potash Inc Common Stock,$48.69,3.08,6.753%,655073312.00,United States,2008,164886,Basic Industries,Major Chemicals
ITP,IT Tech Packaging Inc. Common Stock,$0.3599,-0.0155,-4.129%,35648059.00,China,,1535991,Basic Industries,Paper
JRSH,Jerash Holdings (US) Inc. Common Stock,$6.50,-0.03,-0.459%,80173067.00,United States,2018,22003,Basic Industries,Industrial Specialties
KALU,Kaiser Aluminum Corporation Common Stock,$99.67,-1.65,-1.629%,1580748259.00,United States,,192007,Basic Industries,Aluminum
KMB,Kimberly-Clark Corporation Common Stock,$133.04,1.76,1.341%,44802828054.00,United States,,2154475,Basic Industries,Paper
KOP,Koppers Holdings Inc. Koppers Holdings Inc. Common Stock,$34.46,-0.33,-0.949%,735354552.00,United States,2006,83035,Basic Industries,Industrial Specialties
KRA,Kraton Corporation Common Stock,$45.55,0.00,0.00%,1464347595.00,United States,2009,301130,Basic Industries,Major Chemicals
KRO,Kronos Worldwide Inc Common Stock,$13.17,0.02,0.152%,1521792407.00,United States,,54581,Basic Industries,Major Chemicals
KWR,Quaker Chemical Corporation Common Stock,$234.14,-2.76,-1.165%,4186012753.00,United States,,23061,Basic Industries,Automotive Aftermarket
LEGH,Legacy Housing Corporation Common Stock (TX),$17.59,0.20,1.15%,425724279.00,United States,2018,17862,Basic Industries,Homebuilding
LEVI,Levi Strauss & Co Class A Common Stock,$26.18,0.44,1.709%,10525239884.00,United States,2019,1169884,Basic Industries,Industrial Specialties
LIN,Linde plc Ordinary Share,$314.15,2.84,0.912%,162230616178.00,,2018,1214752,Basic Industries,Major Chemicals
