Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ADNT,"Adient Plc",43.97,-2,-4.35%,46.24,43.55,445721,"15:33 ET"
AEVA,"Aeva Technologies Inc",7.51,-0.16,-2.09%,7.835,7.525,370926,"15:30 ET"
ALSN,"Allison Transmission Holdings",35,-0.11,-0.31%,35.16,34.6101,280889,"15:32 ET"
ALV,"Autoliv Inc",95.11,-1.62,-1.67%,96.06,94.68,422420,"15:33 ET"
ARVL,Arrival,14.31,-0.11,-0.76%,14.69,14.24,406343,"15:29 ET"
AUTO,"Autoweb Inc",3.02,0,0.00%,3.04,2.9,31998,"15:13 ET"
AXL,"American Axle & Manufacturing",10.41,-0.2,-1.89%,10.65,10.37,672098,"15:29 ET"
AYRO,"Ayro Inc",2.91,-0.05,-1.69%,2.96,2.89,279220,"15:31 ET"
BEEM,"Beam Global",28.69,-0.059999999999999,-0.21%,29.485,28,128285,"15:30 ET"
BLBD,"Blue Bird Corp",19.85,0.080000000000002,+0.40%,20.06,19.68,21252,"15:19 ET"
BWA,"Borgwarner Inc",45.96,-1.07,-2.28%,46.97,45.4627,1895108,"15:33 ET"
CAAS,"China Automotive Sys",3.2878,0.0578,+1.79%,3.33,3.21,36885,"15:12 ET"
CARG,"Cargurus Inc Cl A",34.63,-0.029999999999994,-0.09%,34.7512,34.2,402011,"15:33 ET"
CHPT,"Chargepoint Hldgs Inc",19.71,0.055,+0.28%,19.915,19.4605,3765737,"15:31 ET"
CMI,"Cummins Inc",236.83,-1.45,-0.61%,237.8094,235.5354,329236,"15:33 ET"
CNHI,"CNH Industrial N.V.",16.68,-0.21,-1.24%,16.73,16.58,920347,"15:33 ET"
CPS,"Cooper Std Holdings Inc",24.64,-0.18,-0.73%,24.88,23.83,161853,"15:33 ET"
CTOS,"Custom Truck One Source",8.35,-0.030000000000001,-0.36%,8.46,8.21,96150,"15:31 ET"
CVGI,"Commercial Vehicle G",9.95,-0.13,-1.29%,10.08,9.9,74987,"15:29 ET"
CYD,"China Yuchai International",13.56,-0.14,-1.02%,13.81,13.56,6236,"14:50 ET"
CZOO,"Cazoo Group Ltd",7.19,0.04,+0.56%,7.31,7.08,381671,"15:32 ET"
DAN,"Dana Inc",24.32,-0.76,-3.03%,24.91,24.2592,311156,"15:33 ET"
