Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AM,"Antero Midstream Corp",11.35,0.28,+2.53%,11.52,11.12,3352000,2021-10-15
AMPY,"Amplify Energy Corp",3.66,-0.11,-2.92%,3.89,3.65,1231800,2021-10-15
AMRC,"Ameresco Inc",62.9,0.19,+0.30%,64.19,62.74,201400,2021-10-15
AMTX,"Aemetis Inc",18.01,-2.39,-11.72%,20.86,18,2750400,2021-10-15
APA,"Apa Corp",26.37,0.15,+0.57%,27.02,26.3,11901800,2021-10-15
AR,"Antero Resources Corp",19.59,0.010000000000002,+0.05%,20.19,19.54,5290300,2021-10-15
ARCH,"Arch Resources Inc",94.35,-0.94000000000001,-0.99%,98.95,94.33,296500,2021-10-15
ARLP,"Alliance Resource Pt",11.74,0.25,+2.18%,11.84,11.44,470700,2021-10-15
AROC,"Archrock Inc",8.64,-0.08,-0.92%,8.9,8.64,744500,2021-10-15
ARRY,"Array Technologies Inc",18.87,-1.13,-5.65%,20.24,18.85,8671399,2021-10-15
AZRE,"Azure Power Global Ltd",21.67,-0.57,-2.56%,22.63,21.6,252700,2021-10-15
BCEI,"Bonanza Creek Energy Inc",53.57,1.72,+3.32%,53.86,52.575,617400,2021-10-15
BE,"Bloom Energy Corp Cl A",21.13,-0.7,-3.21%,22.4,21.06,5043000,2021-10-15
BEPC,"Brookfield Renewable Corp",40.08,0.11,+0.28%,40.23,39.57,580900,2021-10-15
BKEP,"Blueknight Energy LP",3.4,-0.01,-0.29%,3.49,3.36,85900,2021-10-15
BKR,"Baker Hughes A Ge Co. Cl A",26.89,0.060000000000002,+0.22%,27.655,26.74,13012700,2021-10-15
BP,"BP Plc ADR",29.93,0.48,+1.63%,30.11,29.8601,11813000,2021-10-15
BPMP,"BP Midstream Partners LP",13.85,-0.0099999999999998,-0.07%,13.95,13.7997,505600,2021-10-15
BPT,"BP Prudhoe Bay Royalty Trust",3.84,0.05,+1.32%,3.86,3.7844,69500,2021-10-15
BRY,"Berry Pete Corp",8.27,0.03,+0.36%,8.48,8.25,387700,2021-10-15
BSM,"Black Stone Minerals LP",12.25,-0.25,-2.00%,12.69,12.25,331300,2021-10-15
BTU,"Peabody Energy Corp",15.96,0.29,+1.85%,16.74,15.62,5878800,2021-10-15
CAPL,"Crossamerica Partners LP",21.16,0.4,+1.93%,21.2,20.705,59400,2021-10-15
CCLP,"CSI Compressco",1.69,-0.045,-2.59%,1.75,1.6801,30200,2021-10-15
CDEV,"Centennial Resource Development Inc",6.82,-0.24,-3.40%,7.21,6.8,7290300,2021-10-15
CEI,"Camber Energy Inc",1.37,0.1,+7.87%,1.46,1.19,204569400,2021-10-15
CEIX,"Consol Energy Inc",32.66,0.56,+1.74%,34,32.57,470400,2021-10-15
CEQP,"Crestwood Equity Partners LP",29.9,-0.26,-0.86%,30.44,29.86,462500,2021-10-15
CGRN,"Capstone Green Energy Corp",5.32,0.13,+2.50%,5.4,5.21,59200,2021-10-15
CHK,"Chesapeake Energy Corp",62.75,-1.26,-1.97%,65.24,62.54,949700,2021-10-15
CHRA,"Charah Solutions Inc",4.55,-0.11,-2.36%,4.68,4.41,33900,2021-10-15
CLB,"Core Laboratories N.V.",31.54,-0.17,-0.54%,32.2177,31.5,284400,2021-10-15
CLMT,"Calumet Specialty Pr",10.51,-0.12,-1.13%,10.77,10.02,221600,2021-10-15
