Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",215.43,0.56999999999999,+0.27%,218.82,215.42,357100,2021-10-15
ABG,"Asbury Automotive Group Inc",210.63,-0.28999999999999,-0.14%,215.92,210.1,91100,2021-10-15
ACVA,"Acv Auctions Inc Cl A",20.64,0.32,+1.57%,21.19,20.16,768100,2021-10-15
AEO,"American Eagle Outfitters",24.48,0.17,+0.70%,25.09,24.48,2639500,2021-10-15
AMZN,"Amazon.com Inc",3409.02,109.16,+3.31%,3410.42,3304,5179900,2021-10-15
AN,"Autonation Inc",116.71,0.66999999999999,+0.58%,119.03,116.55,672200,2021-10-15
ANF,"Abercrombie & Fitch Company",39.16,0.51,+1.32%,39.85,38.52,1587500,2021-10-15
ARCO,"Arcos Dorados Holdings Inc",4.76,-0.07,-1.45%,4.89,4.75,456100,2021-10-15
AZO,Autozone,1736.03,18.48,+1.08%,1741.91,1722.4301,177200,2021-10-15
BABA,"Alibaba Group Holding ADR",168,1.22,+0.73%,169.8,165.435,20762700,2021-10-15
BARK,"The Original Bark CO",6.21,-0.19,-2.97%,6.6,6.195,1127300,2021-10-15
BBBY,"Bed Bath & Beyond",13.99,-0.43,-2.98%,14.7,13.93,4817100,2021-10-15
BBW,"Build-A-Bear Workshop",15.52,-0.41,-2.57%,16.41,15.47,114900,2021-10-15
BBWI,"Bath & Body Works Inc",64.89,-0.81999999999999,-1.25%,66.97,64.74,2426600,2021-10-15
BBY,"Best Buy Company",113.64,0.98,+0.87%,114.69,113.1,2133500,2021-10-15
BECN,"Beacon Roofing Suppl",52.6,0.97,+1.88%,53.69,52.15,339200,2021-10-15
BFI,"Burgerfi Intl Inc",8.78,-0.03,-0.34%,8.97,8.75,93700,2021-10-15
BGFV,"Big 5 Sporting",23.92,-0.14,-0.58%,24.8,23.87,704200,2021-10-15
BIG,"Big Lots",46.46,0.090000000000003,+0.19%,47.46,46.11,839100,2021-10-15
BIGC,"Bigcommerce Holdings Inc",53.59,-1.46,-2.65%,55.45,53.31,1437300,2021-10-15
BJRI,"Bj's Restaurants Inc",37.48,-0.9,-2.34%,39.42,37.44,227500,2021-10-15
BKE,"Buckle Inc",42.31,1.02,+2.47%,43.16,41.9,413500,2021-10-15
BKNG,"Booking Holdings Inc",2538.34,42.12,+1.69%,2540,2515.5,233300,2021-10-15
BLDR,"Builders Firstsource",57.07,0.26,+0.46%,57.93,56.93,1886500,2021-10-15
BLMN,"Bloomin' Brands Inc",23.46,-0.63,-2.62%,24.75,23.43,1294600,2021-10-15
BOOT,"Boot Barn Holdings Inc",96.48,0.14,+0.15%,100.5,96.41,350600,2021-10-15
BQ,"Boqii Holding Ltd ADR",2,-0.22,-9.91%,2.2473,2,610300,2021-10-15
BURL,"Burlington Stores Inc",268.93,-0.86000000000001,-0.32%,273.07,268.11,658300,2021-10-15
CAKE,"Cheesecake Fact",43.04,-1.2,-2.71%,45.33,42.86,1045000,2021-10-15
CARS,"Cars.com Inc",12.25,-0.050000000000001,-0.41%,12.67,12.23,536500,2021-10-15
CASY,"Casey's General Stor",187.43,-1.98,-1.05%,190.84,187,121600,2021-10-15
CATO,"Cato Corp",17.05,0.21,+1.25%,17.21,16.86,165200,2021-10-15
CBD,"Companhia Brasileira DE Distribuicao ADR",5.71,0.68,+13.52%,6.02,5.68,5111200,2021-10-15
CBRL,"Cracker Barrel",134.69,-2.95,-2.14%,140.5,134.13,307500,2021-10-15
CHS,"Chico's Fas",4.97,0.12,+2.47%,5.24,4.95,2546900,2021-10-15
CHUY,"Chuy's Holdings Inc",30.28,-0.23,-0.75%,31.38,30.25,111800,2021-10-15
CMG,"Chipotle Mexican Grill",1830.9301,-9.7598,-0.53%,1854.73,1826.1,166500,2021-10-15
CNXN,"PC Connection Inc",44.2,-0.24,-0.54%,44.99,44.08,42500,2021-10-15
CONN,"Conn's Inc",23.01,0.47,+2.09%,23.48,22.98,205700,2021-10-15
COST,"Costco Wholesale",452.39,1.73,+0.38%,453.94,449.18,1494700,2021-10-15
CPNG,"Coupang Inc Cl A",27.59,0.33,+1.21%,27.6,27.195,3988500,2021-10-15
CPRI,"Capri Holdings Ltd",52.45,0.7,+1.35%,52.855,51.75,1188400,2021-10-15
CRMT,"America's Car-Mart",113.03,-0.02,-0.02%,117.09,112.6,66000,2021-10-15
CSPR,"Casper Sleep Inc",4.2,-0.1,-2.33%,4.44,4.165,373200,2021-10-15
CTRN,"Citi Trends Inc",69.84,-2.77,-3.81%,74.07,69.76,451900,2021-10-15
CVNA,"Carvana Co. Cl A",287.06,2.98,+1.05%,291.615,285,615900,2021-10-15
CVS,"CVS Corp",85.84,1.28,+1.51%,86.29,84.94,5449000,2021-10-15
DBI,"Designer Brands Inc",13.13,-0.14,-1.06%,13.78,13.095,699200,2021-10-15
DDS,Dillard's,205.34,2.55,+1.26%,210,204.15,153800,2021-10-15
DENN,"Dennys Corp",15.2,-0.13,-0.85%,15.79,15.2,584200,2021-10-15
DG,"Dollar General Corp",212.8,0,0.00%,214.64,212.67,991300,2021-10-15
DIN,"Dineequity Inc",80.1,-1.36,-1.67%,83.49,80.04,133300,2021-10-15
DKS,"Dick's Sporting Goods Inc",119.74,0.61,+0.51%,122.83,119.53,1348100,2021-10-15
DLTR,"Dollar Tree Inc",99.27,0.63,+0.64%,99.82,98.81,1981700,2021-10-15
DPZ,"Domino's Pizza Inc",454.91,-22.57,-4.73%,475,453.34,1369400,2021-10-15
DRI,"Darden Restaurants",149.15,-1.43,-0.95%,153.25,149.1,1218900,2021-10-15
EAT,"Brinker International",47.54,-1.76,-3.57%,50.605,47.505,819600,2021-10-15
EBAY,"Ebay Inc",74.9,0.22,+0.29%,75.42,74.64,4358500,2021-10-15
ELA,"Envela Corp",4.08,-0.04,-0.97%,4.2105,4.04,16500,2021-10-15
ETD,"Ethan Allen Interiors Inc",23.32,-0.18,-0.77%,23.97,23.31,212800,2021-10-15
EXPE,"Expedia Group Inc",171.99,3.1,+1.84%,174.85,170.23,2118100,2021-10-15
EXPR,"Express Inc",4.36,-0.06,-1.36%,4.54,4.36,3372300,2021-10-15
FARM,"Farmer Brothers",7.78,0.02,+0.26%,8.15,7.65,105700,2021-10-15
FAST,"Fastenal Company",55.74,0.12,+0.22%,56.14,55.56,2849400,2021-10-15
FBHS,"Fortune Brands Home & Security",94.75,-0.36,-0.38%,96.55,94.68,585000,2021-10-15
FIVE,"Five Below Inc",190.06,2.28,+1.21%,192.67,187.16,742800,2021-10-15
FL,"Footlocker Inc",47.61,0.16,+0.34%,48.53,47.5,1440400,2021-10-15
